,,,Command area,,,,,,,,,,,,Non-Command area,,,,,,,,,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
1,Kri-D-48-Budawada,DW,3571.428571,,30,80,857.1428571,,120,240,3571.428571,,120,240,3571.428571,,30,90,857.1428571,,120,240,3571.428571,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
2,Kri-D-48-Budawada,DW+PS/DCB,5714.285714,,30,80,1428.571429,,120,240,3571.428571,,120,240,5000,,30,90,3571.428571,,120,240,3571.428571,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
3,Kri-D-48-Budawada,BWs,9285.714286,,30,80,14285.71429,,120,240,10714.28571,,120,240,8000,,30,90,28571.42857,,120,240,154.2857143,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
4,Kri-D-48-Budawada,STW,0,,30,80,0,,120,240,0,,120,240,0,,30,90,0,,120,240,0,,120,240,22000,,40,90,,,,,7142.857143,,120,240
5,Kri-D-48-Budawada,MTW,0,,30,80,0,,120,240,0,,120,240,0,,30,90,0,,120,240,0,,120,240,45000,,40,90,,,,,7142.857143,,120,240
6,Kri-D-48-Budawada,Deep TW,0,,30,80,0,,120,240,0,,120,240,0,,30,90,0,,120,240,0,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
7,Kri-D-48-Budawada,Filter Points,12000,,30,80,7142.857143,,120,240,7142.857143,,120,240,12000,,30,90,7142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
8,Kri-D-48-Jaggaiahpeta,DW,2428.571429,,30,90,857.1428571,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
9,Kri-D-48-Jaggaiahpeta,DW+PS/DCB,7142.857143,,30,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
10,Kri-D-48-Jaggaiahpeta,BWs,10000,,30,90,19285.71429,,120,240,1428.571429,,120,240,0,,40,90,0,,120,240,0,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
11,Kri-D-48-Jaggaiahpeta,STW,0,,30,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,22000,,40,90,,,,,7142.857143,,120,240
12,Kri-D-48-Jaggaiahpeta,MTW,0,,30,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,45000,,40,90,,,,,7142.857143,,120,240
13,Kri-D-48-Jaggaiahpeta,Deep TW,0,,30,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
14,Kri-D-48-Jaggaiahpeta,Filter Points,0,,30,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
15,Kri-D-49-Vatsavai,DW,3857.142857,,20,80,1142.857143,,120,240,0,,120,240,3857.142857,,40,90,857.1428571,,120,240,3857.142857,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
16,Kri-D-49-Vatsavai,DW+PS/DCB,7142.857143,,20,80,0,,120,240,0,,120,240,5714.285714,,40,90,3857.142857,,120,240,3857.142857,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
17,Kri-D-49-Vatsavai,BWs,9000,,20,80,21428.57143,,120,240,1428.571429,,120,240,8000,,40,90,7000,,120,240,9000,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
18,Kri-D-49-Vatsavai,STW,0,,20,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,22000,,40,90,,,,,7142.857143,,120,240
19,Kri-D-49-Vatsavai,MTW,0,,20,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,45000,,40,90,,,,,7142.857143,,120,240
20,Kri-D-49-Vatsavai,Deep TW,0,,20,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
21,Kri-D-49-Vatsavai,Filter Points,15000,,20,80,0,,120,240,0,,120,240,15000,,40,90,15000,,120,240,15000,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
22,Kri-D-49-Penuganchiprolu,DW,3857.142857,,20,80,857.1428571,,120,240,0,,120,240,2142.857143,,40,90,2142.857143,,120,240,2142.857143,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
