S.no,GW watershed  name,IWM Micro basin,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,Dependancy factor nca,Dependancy factor ca,Normal annual rainfall mm,Normal Monsoon rainfall mm,Normal Non-monsoon rainfall mm,Annual rainfall for the year of assessment mm,Monsoon rainfall for the year of assessment mm,Non-monsoon rainfall for the year of assessment mm
1,Kri-D-48-Budawada,KRI-D-48-BUDAWADA-MB,7.25,1.93,7.45,1.62,7.25,1.93,7.45,1.62,0.9,0.9,904.1,683.3,220.8,1363,908,455
2,Kri-D-48-Jaggaiahpeta,KRI-D-48-JAGGAYYAPETA-MB,,,,,3.56,1.37,4.37,2.07,0.8,0.8,904.1,683.3,220.8,1363,908,455
3,Kri-D-49-Vatsavai,KRI-D-49-VATSAVAI-MB,,,,,7.5,2.4,6.33,2.01,0.9,0.9,980.7,706.4,274.3,1586,1073,513
4,Kri-D-49-Penuganchiprolu,KRI-D-49-PENUGANCHIPROLU-MB,,,,,3.73,0.7,3.53,0.7,0.9,0.9,991.1,735.5,255.6,1247,854,393
5,Kri-D-49-Nandigama,KRI-D-49-NANDIGAMA-MB,5.96,2.88,5.3,2.13,4.14,1.27,3.68,1.28,0.9,0.9,961.4,698.8,262.6,1361,772,589
6,Kri-D-51-Chandarlapadu,KRI-D-51-CHANDARLAPADU-MB,6.18,1.23,3.23,0.67,5.5,2.75,5.35,2.55,0.9,0.9,959.1,680.2,278.9,1570,963,607
7,Kri-D-49-Nemali,KRI-D-49-NEMALI-MB,,,,,6.56,0.62,6.72,2.29,0.9,0.9,1120.4,840.9,279.5,1656,1185,471
8,Kri-D-49-Utukuru,KRI-D-49-UTUKURU-MB,,,,,5.7,0.9,4.9,2.77,0.9,0.9,1120.4,840.9,279.5,1656,1185,471
9,Kri-D-49-Talluru,KRI-D-49-TALLURU-MB,,,,,4.55,0.65,3.55,0.9,0.9,0.9,991.1,735.5,255.6,1247,854,393
10,Kri-D-49--K.Atmakuru,KRI-D-49-K.ATMAKURU-MB,,,,,5.65,0.75,3.65,,0.82,0.95,961.4,698.8,262.6,1361,772,589
11,Kri-D-49-Veerulapadu,KRI-D-49-VEERULAPADU-MB,,,,,5.65,0.75,3.65,0.11,0.9,0.9,1121.8,811.2,310.6,1294,862,432
12,Kri-D-49-Peddavaram,KRI-D-49-PEDDAVARAM-MB,,,,,3.15,0.7,3.7,1.05,0.9,0.9,1147.9,870.4,277.5,1980.6,1592.4,388.2
13,Kri-D-49-Tiruvuru,KRI-D-49-TIRUVURU-MB,,,,,6.99,0.94,5.89,2.12,0.9,0.9,1147.9,870.4,277.5,2161,1538,623
14,Kri-D-49-A.Konduru,KRI-D-49-A.KONDURU-MB,,,,,6.99,0.94,5.89,2.12,0.9,0.9,1096.9,820.6,276.3,1194,724,470
15,Kri-D-49-Vissannapeta,KRI-D-49-VISSANNAPETA-MB,,,,,11.85,1.11,8.58,1.72,0.9,0.9,1087.5,786.2,301.3,2069,1225,844
16,Kri-D-49-Gampalagudem,KRI-D-49-GAMPALAGUDEM-MB,,,,,5.69,1.18,4.98,2.22,0.9,0.9,1120.4,840.9,279.5,1656,1185,471
17,Kri-D-49-Jayanthi,KRI-D-49-JAYANTHI-MB,,,,,5.65,0.75,3.65,0.11,0.9,0.9,1121.8,811.2,310.6,1294,862,432
18,Kri-D-51-Kanchikacherla ,KRI-D-51-KANCHIKACHERLA-MB,,,,,7.2,1.9,6.2,1.59,0.7,0.7,1000.1,728.1,272,1337,888,449
19,Kri-I-40-Chatrai,KRI-I-40-CHATRAI-MB,26.23,10.2,17.66,11.59,15.23,0.31,16.36,1.57,0.9,0.9,1081.6,776.6,305,2050,1319,731
20,Kri-I-41-Nuzvid,KRI-I-41-NUZIVIDU-MB,45.25,24.5,33.35,20.2,16.58,1.35,7.4,1.61,1,0.9,975.1,699.8,275.3,1965,1390,575
21,kri-I-42-Ganginenipalem,KRI-I-42-GANGINENIPALEM-MB,,,,,5.56,1.8,4.16,1.68,0.9,0.9,1091,775.8,315.2,1983,1192,791
22,Kri-I-42-Mylavaram,KRI-I-42-MYLAVARAM-MB,8.1,1.82,8.42,2.18,7.85,0.45,6.45,1,0.9,0.9,1061,749,312,1744,1093,651
23,Kri-I-42-Reddigudem,KRI-I-42-REDDIGUDEM-MB,,,,,6.53,1.9,7.2,4.73,0.9,0.9,1000.6,692.5,308.1,1772,1196,576
24,Kri-I-42-G.Konduru,KRI-I-42-G.KONDURU-MB,,,,,3.26,0.9,2.93,0.76,0.9,0.9,1091,775.8,315.2,1983,1192,791
25,Kri-I-42-Gannavaram,KRI-I-42-GANNAVARAM-MB,,,,,7.76,5.01,7.78,4.49,0.15,0.15,906.2,609.5,296.7,2027,1185,842
26,Kri-I-42-Agiripalli,KRI-I-42-AGIRIPALLI-MB,,,,,15.18,3.73,10.62,3.79,0.9,0.9,1046.5,727.1,319.4,1719,1089,630
27,Kri-I-42-Bapulapadu,KRI-I-42-BAPULAPADU-MB,11.43,2.62,9.46,8.46,3.15,0.17,2.9,0.05,0.9,0.9,1041.3,741.2,300.1,1571,1067,504
30,Kri-I-42-Unguturu,UNGUTURU-MB,,,,,4.75,1.25,5.07,0.17,0.9,0.9,885.9,595.3,290.6,1496,850,646
31,Kri-I-42-Bapulapadu delta,BAPULAPADU_DELTA-MB,,,,,3.15,0.17,2.9,0.05,0.5,0.5,1041.2,741.2,300,1197,915,282
32,Kri-I-52-Penamaluru,PENAMALURU-MB,,,,,8.86,6.1,9.6,5.65,0.9,0.9,1015.8,676.8,339,1443,898.6,544.4
33,Kri-I-52-Kankipadu,KANKIPADU-MB,,,,,9.01,6.76,9.7,6.11,0.9,0.9,1088.5,704.7,383.8,1834,1099,735
34,Kri-I-52-Vuyyuru,VUYYURU-MB,,,,,7.9,5.75,8.92,5.89,0.9,0.9,1008,644.2,363.3,1202,659,543
35,Kri-I-52-Pedaparupudi,PEDAPARUPUDI-MB,,,,,4.6,2.75,4.02,2.15,0.8,0.8,1012,649.8,362,1394,808,586
36,Kri-I-52-Gudivada,GUDIVADA-MB,,,,,3.15,1.35,3.45,0.84,0.5,0.5,1057,694.6,362.4,1587,887,700
37,Kri-I-52-Thotlavalluru,THOTLAVALLURU-MB,,,,,8.87,7.63,8.9,5.5,0.9,0.9,1043,652,391.4,1817,1049,768
38,Kri-I-52-Pamidimukkala,PAMIDIMUKKALA-MB,,,,,4.75,1.8,5.65,1.8,0.9,0.9,1030,653.9,376.3,1320,688,632
39,Kri-I-52-Pamarru,PAMARRU-MB,,,,,6.32,5.72,7.13,5.73,0.5,0.5,943.7,589.4,354.3,1876,1058,818
40,Kri-I-52-Movva,MOVVA-MB,,,,,3.25,0.85,3.73,1.15,0.7,0.7,1001.8,608.1,393.7,1611,907,704
41,Kri-I-52-Ghantasala,GHANTASALA-MB,,,,,2.37,1.45,2.85,1.25,0.7,0.7,973.3,591.5,381.8,1148,644,504
42,Kri-I-52-Challapalli,CHALLAPALLI-MB,,,,,2.65,1,2.95,0.95,0.7,0.7,1164.4,680.9,483.5,1611,908,703
43,Kri-I-52-Mopidevi,MOPIDEVI-MB,,,,,4.5,2.8,7.16,2.33,0.7,0.7,1165.5,625.6,539.9,1400,678,722
44,Avanigadda,AVANIGADDA-MB,,,,,4.5,2.8,7.16,2.33,0.2,0.2,1229.2,654.4,574.8,1589,829,760
45,Kri-I-52-Nandiwada,NANDIVADA-MB,,,,,4.12,4.05,4.33,2.08,0.5,0.5,1123.2,746.6,376.6,1516,904,612
46,Kri-I-52-Mandavalli,MANDAVALLI-MB,,,,,1.35,0.35,3.85,0.55,0.2,0.2,1096,757.2,338.8,338.8,1142,704
47,Kri-I-52-Kaikaluru,KAIKALURU-MB,,,,,0.8,0.24,1.4,0.54,0.2,0.2,832.3,569.9,262.4,1690,1155,535
48,Kri-I-52-Kalidindi,KALIDINDI-MB,,,,,3.15,1.23,2.2,0.55,0.2,0.2,991,650.3,340.7,1592,964,628
49,Kri-I-52-Kruthivennu,KRUTHIVENNU-MB,,,,,2.25,1.02,2.37,0.97,0.2,0.2,1057,657.1,399.5,1601,924,677
50,Kri-I-52-Bantumilli,BANTUMILLI-MB,,,,,3.45,1.42,3.65,1.45,0.2,0.2,1056,686.9,368.8,1600,995,605
51,Kri-I-52-Mudinepalli,MUDINEPALLI-MB,,,,,3.45,1.42,3.65,1.45,0.3,0.3,823,550.2,272.4,1378,926.2,452
52,Kri-I-52-Gudlavalleru,GUDLAVALLERU-MB,,,,,1.93,0.25,1.95,0.65,0.3,0.3,1038,682.7,355.4,1419,909,510
53,Kri-I-52-Pedana,PEDANA-MB,,,,,2.23,0.5,1.95,0.53,0.2,0.2,1084.5,651.8,432.7,1049,651,398
54,Kri-I-52-Guduru,GUDUR-MB,,,,,3.15,2.15,3.15,2.15,0.2,0.2,1109,643.4,465.9,1450,749,701
55,Kri-I-52-Machilipatnam,MACHILIPATNAM-MB,,,,,2.45,1.3,2.55,1.45,0.2,0.2,1125.4,654.3,471.1,1466,701,765
56,Kri-I-52-Koduru,KODURU-MB,,,,,2.53,0.65,2.65,1.05,0.2,0.2,917,462.5,454.6,1146,487,659
57,Kri-I-52-Nagayalanka,NAGAYALANKA-MB,,,,,2.53,0.65,2.65,1.05,0.2,0.2,1116.9,579,537.9,2053.6,1231.8,821.8
58,Kri-I-40-Musunuru,KRI-I-40-MUSUNURU-MB,57.77,34.84,46.42,35.32,,,,,1,,1038.8,714.5,324.3,1573,1154,419
59,Kri-I-42-Chillaboinapalli,KRI-I-40-CHILLABOYINAPAL-MB,58.13,20.38,40.61,21.47,,,,,1,,1038.8,714.5,324.3,1573,1154,419
