S.No,Watershed code,Watershed Name,Village Name,command area,,,,Non command area,,,,Poor GW quality area,,,
,,,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,
,,,,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi
1,06-I-42-24,Kri-I-42-Unguturu,Thelaprolu,1689.19,0,0,0,,,,,,,,
2,06-I-42-24,Kri-I-42-Unguturu,Pottipadu,542.7,0,0,0,,,,,,,,
3,06-I-42-24,Kri-I-42-Unguturu,Tharigoppulakandrika,67.18,0,0,0,,,,,,,,
4,06-I-42-24,Kri-I-42-Unguturu,Velinuthala,263.05,0,0,0,,,,,,,,
5,06-I-42-24,Kri-I-42-Unguturu,Thuttagunta,172,0,0,0,,,,,,,,
6,06-I-42-24,Kri-I-42-Unguturu,Ponukumadu,420.88,0,0,0,,,,,,,,
7,06-I-42-24,Kri-I-42-Unguturu,Garapadu,294.21,0,0,0,,,,,,,,
8,06-I-42-24,Kri-I-42-Unguturu,Dibbanapudi,130.31,0,0,0,,,,,,,,
9,06-I-42-24,Kri-I-42-Unguturu,Amudalapalli,286.12,0,0,0,,,,,,,,
10,06-I-42-24,Kri-I-42-Unguturu,Unguturu,309.19,0,0,0,,,,,,,,
11,06-I-42-24,Kri-I-42-Unguturu,Nagavarappadu,2169.16,0,0,0,,,,,,,,
12,06-I-42-24,Kri-I-42-Unguturu,Veldipadu,214.49,0,0,0,,,,,,,,
13,06-I-42-24,Kri-I-42-Unguturu,Tharigoppula,451.23,0,0,0,,,,,,,,
14,06-I-42-24,Kri-I-42-Unguturu,Vempadu,174.42,0,0,0,,,,,,,,
15,06-I-42-24,Kri-I-42-Unguturu,Bokinala,0,0,0,0,,,,,,,,
16,06-I-42-24,Kri-I-42-Unguturu,Manikonda,1157.43,0,0,0,,,,,,,,
17,06-I-42-24,Kri-I-42-Unguturu,Chikinala,0,0,0,0,,,,,,,,
18,06-I-42-24,Kri-I-42-Unguturu,Chagantipadu,275.19,0,0,0,,,,,,,,
19,06-I-42-24,Kri-I-42-Unguturu,Veldipadu kandrika,62.73,0,0,0,,,,,,,,
20,06-I-42-24,Kri-I-42-Unguturu,Ondrampadu,81.75,0,0,0,,,,,,,,
21,06-I-42-24,Kri-I-42-Unguturu,Elukapadu,225.82,0,0,0,,,,,,,,
22,06-I-42-24,Kri-I-42-Unguturu,Lankapalliagraharam,188.59,0,0,0,,,,,,,,
23,06-I-42-24,Kri-I-42-Unguturu,Mukkapadu,176.04,0,0,0,,,,,,,,
24,06-I-42-24,Kri-I-42-Unguturu,Koyyagurapadu,214.89,0,0,0,,,,,,,,
25,06-I-42-24,Kri-I-42-Unguturu,Nandamuru,154.19,0,0,0,,,,,,,,
26,06-I-42-24,Kri-I-42-Unguturu,Madhirapadu,139.62,0,0,0,,,,,,,,
27,06-I-42-24,Kri-I-42-Unguturu,Indupalli,926.35,0,0,0,,,,,,,,
28,06-I-42-24,Kri-I-42-Unguturu,Vemanda,436.26,0,0,0,,,,,,,,
29,06-I-42-15,Kri-I-42-Bapulapadu delta,Venkatarajugudem,80.1,0,0,0,,,,,,,,
30,06-I-42-15,Kri-I-42-Bapulapadu delta,Tippanagunta,655.6,0,0,0,,,,,,,,
31,06-I-42-15,Kri-I-42-Bapulapadu delta,Kanumolu,839.7,0,0,0,,,,,0,,,
32,06-I-42-15,Kri-I-42-Bapulapadu delta,Dantagunta,158.6,0,0,0,,,,,,,,
33,06-I-42-15,Kri-I-42-Bapulapadu delta,Kakulapadu,998,0,0,0,,,,,,,,
34,06-I-42-15,Kri-I-42-Bapulapadu delta,Ramannagudem,4.9,0,0,0,,,,,,,,
35,06-I-42-15,Kri-I-42-Bapulapadu delta,Ogirala,321.7,0,0,0,,,,,,,,
36,06-I-42-15,Kri-I-42-Bapulapadu delta,Kuripirala,25.9,0,0,0,,,,,,,,
37,06-I-42-15,Kri-I-42-Bapulapadu delta,Arugolanu,795.2,0,0,0,,,,,,,,
38,06-I-42-15,Kri-I-42-Bapulapadu delta,Chirivada,399,0,0,0,,,,,,,,
39,06-I-42-15,Kri-I-42-Bapulapadu delta,Venkatapuram,184.1,0,0,0,,,,,,,,
40,06-I-52-35,Kri-I-52-Penamaluru,Kanuru,0,0,0,0,,,,,,,,
41,06-I-52-35,Kri-I-52-Penamaluru,Poranki,112.51,0,0,0,,,,,,,,
42,06-I-52-35,Kri-I-52-Penamaluru,Pedapulipaka,159.04,0,0,0,,,,,,,,
43,06-I-52-35,Kri-I-52-Penamaluru,Penamaluru,212.87,0,0,0,,,,,,,,
44,06-I-52-35,Kri-I-52-Penamaluru,Ganguru,205.58,0,0,0,,,,,,,,
45,06-I-52-35,Kri-I-52-Penamaluru,Chodavaram,498.58,0,0,0,,,,,,,,
46,06-I-52-35,Kri-I-52-Penamaluru,Yanamalakuduru,31.97,0,0,0,,,,,,,,
47,06-I-52-35,Kri-I-52-Penamaluru,Tadigadapa,58.28,0,0,0,,,,,,,,
48,06-I-52-35,Kri-I-52-Penamaluru,Gosala,32.38,0,0,0,,,,,,,,
49,06-I-52-35,Kri-I-52-Penamaluru,Vanukuru,272.36,0,0,0,,,,,,,,
50,06-I-52-34,Kri-I-52-Kankipadu,Uppuluru,439.5,0,327.4,0,,,,,,,,
51,06-I-52-34,Kri-I-52-Kankipadu,Kunderu,616.35,0,597.33,0,,,,,,,,
52,06-I-52-34,Kri-I-52-Kankipadu,Kandulampadu,38.85,0,25.9,0,,,,,,,,
53,06-I-52-34,Kri-I-52-Kankipadu,Neppalli,263.05,0,239.98,0,,,,,,,,
54,06-I-52-34,Kri-I-52-Kankipadu,Kolavennu,844.6,0,767.71,0,,,,,,,,
55,06-I-52-34,Kri-I-52-Kankipadu,Punadipadu,469.45,0,415.22,0,,,,,,,,
56,06-I-52-34,Kri-I-52-Kankipadu,Tenneru,594.5,0,503.04,0,,,,,,,,
57,06-I-52-34,Kri-I-52-Kankipadu,Maredumaka,227.44,0,217.32,0,,,,,,,,
58,06-I-52-34,Kri-I-52-Kankipadu,Kankipadu,155,0,147.71,0,,,,,,,,
59,06-I-52-34,Kri-I-52-Kankipadu,Konathanapadu,135.57,0,129.5,0,,,,,,,,
60,06-I-52-34,Kri-I-52-Kankipadu,Prodduturu,130.72,0,125.86,0,,,,,,,,
61,06-I-52-34,Kri-I-52-Kankipadu,Godavarru,709.43,0,694.46,0,,,,,,,,
62,06-I-52-34,Kri-I-52-Kankipadu,Edupugallu,520.84,0,460.54,0,,,,,,,,
63,06-I-52-34,Kri-I-52-Kankipadu,Madduru,298.26,0,289.76,0,,,,,,,,
64,06-I-52-34,Kri-I-52-Kankipadu,Jagannathapuram,348.44,0,340.75,0,,,,,,,,
65,06-I-52-34,Kri-I-52-Kankipadu,Davuluru,220.15,0,199.11,0,,,,,,,,
66,06-I-52-34,Kri-I-52-Kankipadu,Chalivendrapalem,60.7,0,48.97,0,,,,,,,,
67,06-I-52-34,Kri-I-52-Kankipadu,Mantena,338.73,0,284.1,0,,,,,,,,
68,06-I-52-34,Kri-I-52-Kankipadu,Velpuru,584.78,0,518.01,0,,,,,,,,
69,06-I-52-38,Kri-I-52-Vuyyuru,Vuyyuru(Rural),1025.5,0,0,0,,,,,,,,
70,06-I-52-38,Kri-I-52-Vuyyuru,Ramachandrapuram,78.92,0,0,0,,,,,,,,
71,06-I-52-38,Kri-I-52-Vuyyuru,Kadavatikollu,63.54,0,0,0,,,,,,,,
72,06-I-52-38,Kri-I-52-Vuyyuru,Veeravalli mukasa,214.49,0,0,0,,,,,,,,
73,06-I-52-38,Kri-I-52-Vuyyuru,Katuru,1261.03,0,0,0,,,,,,,,
74,06-I-52-38,Kri-I-52-Vuyyuru,Kaluvapamula,611.09,0,0,0,,,,,,,,
75,06-I-52-38,Kri-I-52-Vuyyuru,Bollapadu,168.35,0,0,0,,,,,,,,
76,06-I-52-38,Kri-I-52-Vuyyuru,Jabbarlapudi,191.83,0,0,0,,,,,,,,
77,06-I-52-38,Kri-I-52-Vuyyuru,Saipuram,101.17,0,0,0,,,,,,,,
78,06-I-52-38,Kri-I-52-Vuyyuru,Mudunuru,1054.63,0,0,0,,,,,,,,
79,06-I-52-38,Kri-I-52-Vuyyuru,Pedavogirala,425.33,0,0,0,,,,,,,,
80,06-I-52-38,Kri-I-52-Vuyyuru,Akunuru,193.85,0,0,0,,,,,,,,
81,06-I-52-38,Kri-I-52-Vuyyuru,Chinavogirala,240.79,0,0,0,,,,,,,,
82,06-I-52-33,Kri-I-52-Pedaparupudi,Yelamarru,1726.83,1.62,0,0,,,,,,,,
83,06-I-52-33,Kri-I-52-Pedaparupudi,Chinaparapudi,278.83,0,0,0,,,,,,,,
84,06-I-52-33,Kri-I-52-Pedaparupudi,Edulamaddali,477.94,0,0,0,,,,,,,,
85,06-I-52-33,Kri-I-52-Pedaparupudi,Pedaparapudi,480.78,0,0,0,,,,,,,,
