"Sr.no",,,"Village name","T.Area (ha)","Watershed command area ",,,,"Watershed Non command Area",,,,"Watershed poor quality Area",,,,,,,,,,,,,,,,,
,"Water shed code","Watershed name",,,"Recghare","Hilly","Forest","Total","Recghare","Hilly","Forest","Total","Recghare","Hilly","Forest","Total",,,,,,,,,,,,,,
1,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Kesavaram",3019,0,,0,,3019,,1027,3019,0,,,,,,"Penna",,"Chippaleru","09_C_62_6","NLR_C_62_BRAHMANAKRAKA",9,"Nellore",4,"Jaladanki ",9125040020202,2,"Kesavaram"
2,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Annavaram",2003,2003,,,2003,0,,,,0,,,,,,"Penna",,"Chippaleru","09_C_62_6","NLR_C_62_BRAHMANAKRAKA",9,"Nellore",4,"Jaladanki ",9125040060108,6,"Annavaram"
3,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Chinakraka",2900,2900,,,2900,0,,,,0,,,,,,"Penna",,"Chippaleru","09_C_62_6","NLR_C_62_BRAHMANAKRAKA",9,"Nellore",4,"Jaladanki ",9125040070109,7,"Chinakraka"
4,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Kodandaramapuram",292,0,,,,292,,,292,0,,,,,,"Penna",,"Chippaleru","09_C_62_6","NLR_C_62_BRAHMANAKRAKA",9,"Nellore",4,"Jaladanki ",9125040080110,8,"Kodandaramapuram"
5,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Brahmanakraka",6147,6147,,,6147,0,,,,0,,,,,,"Penna",,"Chippaleru","09_C_62_6","NLR_C_62_BRAHMANAKRAKA",9,"Nellore",4,"Jaladanki ",9125040090111,9,"Brahmanakraka"
6,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Chamadala",1736,1736,,,1736,0,,,,0,,,,,,"Penna",,"Chippaleru","09_C_62_6","NLR_C_62_BRAHMANAKRAKA",9,"Nellore",4,"Jaladanki ",9126040100113,10,"Chamadala"
7,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Krishnampadu",652,618,34,,652,0,,,,0,,,,,,"Penna",,"Chippaleru","09_C_62_6","NLR_C_62_BRAHMANAKRAKA",9,"Nellore",4,"Jaladanki ",9126040110114,11,"Krishnampadu"
8,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Somavarampadu",1371,1341,30,,1371,0,,,,0,,,,,,"Penna",,"Chippaleru","09_C_62_6","NLR_C_62_BRAHMANAKRAKA",9,"Nellore",4,"Jaladanki ",9126040120115,12,"Somavarampadu"
9,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Mungamuru",1505,1505,,0,1505,0,,,,0,,,,,,"Penna",,"Chippaleru","09_C_62_6","NLR_C_62_BRAHMANAKRAKA",9,"Nellore",6,"Bogole ",9126060080112,8,"Mungamuru"
10,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Sambasivapuram",263,263,,0,263,0,,,,0,,,,,,"Penna",,"Chippaleru","09_C_62_6","NLR_C_62_BRAHMANAKRAKA",9,"Nellore",6,"Bogole ",9126060090112,9,"Sambasivapuram"
11,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Krakutur",2258,0,0,,0,2258,,130,2258,0,,,,,,"Penna",,"Chippaleru","09_C_62_6","NLR_C_62_BRAHMANAKRAKA",9,"Nellore",7,"Kaligiri ",9125070040107,4,"Krakutur"
12,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Pedakonduru",3840,0,,,,3832,8,0,3840,0,,,,,,"Penna",,"Chippaleru","09_C_62_6","NLR_C_62_BRAHMANAKRAKA",9,"Nellore",7,"Kaligiri ",9125070120112,12,"Pedakonduru"
13,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Kummarakonduru",937,0,,,,937,,0,937,202.4291497976,,,202.4291497976,,,"Penna",,"Chippaleru","09_C_62_6","NLR_C_62_BRAHMANAKRAKA",9,"Nellore",7,"Kaligiri ",9125070130114,13,"Kummarakonduru"
14,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Parrikota agraharam",847,0,,,,843,4,0,847,0,,,,,,"Penna",,"Chippaleru","09_C_62_6","NLR_C_62_BRAHMANAKRAKA",9,"Nellore",7,"Kaligiri ",9125070140115,14,"Parrikota agraharam"
15,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Siddanakonduru",1200,0,,,,1160,40,0,1200,0,,,,,,"Penna",,"Chippaleru","09_C_62_6","NLR_C_62_BRAHMANAKRAKA",9,"Nellore",7,"Kaligiri ",9125070150116,15,"Siddanakonduru"
16,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Anantapuram",1405,0,,,,1405,,0,1405,0,,,,,,"Penna",,"Chippaleru","09_C_62_6","NLR_C_62_BRAHMANAKRAKA",9,"Nellore",7,"Kaligiri ",9125070180118,18,"Anantapuram"
17,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Lakshmipuram",934,934,,,934,0,,0,,0,,,,,,"Penna",,"Chippaleru","09_C_62_6","NLR_C_62_BRAHMANAKRAKA",9,"Nellore",7,"Kaligiri ",9125070190119,19,"Lakshmipuram"
18,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Gudladona",3509,3475,34,,3509,0,,0,,0,,,,,,"Penna",,"Chippaleru","09_C_62_6","NLR_C_62_BRAHMANAKRAKA",9,"Nellore",7,"Kaligiri ",9125070200120,20,"Gudladona"
19,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Manubolupadu",1777,1777,,360,1777,0,,,,0,,,,,,"Penna",,"Chippaleru","09_C_62_6","NLR_C_62_BRAHMANAKRAKA",9,"Nellore",14,"Dagadarti ",9125140030103,3,"Manubolupadu"
