,,,,Command Area,,Non command Area,,Poor quality area,,
Sr.no,Watershed code,GW watershed name,village name,Residential,,Residential,,Residential,,
1,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Kesavaram,,,11,1,,,12
2,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Annavaram,19,1,,,,,20
3,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Chinakraka,16,1,,,,,17
4,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Kodandaramapuram,,,5,1,,,6
5,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Brahmanakraka,6,1,,,,,7
6,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Chamadala,,1,,,,,1
7,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Krishnampadu,6,1,,,,,7
8,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Somavarampadu,30,1,,,,,31
9,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Mungamuru,4,1,,,,,5
10,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Sambasivapuram,5,1,,,,,6
11,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Krakutur,,,21,1,,,22
12,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Pedakonduru,,,8,1,,,9
13,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Kummarakonduru,,,8,1,,,9
14,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Parrikota agraharam,,,8,1,,,9
15,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Siddanakonduru,,,3,1,,,4
16,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Anantapuram,,,13,1,,,14
17,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Lakshmipuram,15,1,,,,,16
18,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Gudladona,25,1,,,,,26
19,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Manubolupadu,13,1,,,,,14
20,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Bodagudipadu,7,1,,,,,8
21,09_C_62_7,NLR_C_62_BRAHMANAKRAKA,Total,146,12,77,8,0,0,243
