,,,,CA,NCA,PQA,
,,,,Industrial,Industrial,Industrial,
Sr.no,Watershed code,GW watershed name,village name,Industrial Wells,Industrial Wells,Industrial Wells,Total 
1,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Kesavaram,,,,0
2,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Annavaram,,,,0
3,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Chinakraka,,,,0
4,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Kodandaramapuram,,,,0
5,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Brahmanakraka,,,,0
6,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Chamadala,,,,0
7,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Krishnampadu,,,,0
8,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Somavarampadu,,,,0
9,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Mungamuru,,,,0
10,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Sambasivapuram,,,,0
11,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Krakutur,,,,0
12,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Pedakonduru,,,,0
13,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Kummarakonduru,,,,0
14,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Parrikota agraharam,,,,0
15,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Siddanakonduru,,,,0
16,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Anantapuram,,,,0
17,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Lakshmipuram,,,,0
18,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Gudladona,,,,0
19,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Manubolupadu,,,,0
20,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Bodagudipadu,,,,0
21,09_C_62_7,NLR_C_62_BRAHMANAKRAKA,Total,0,0,0,0
22,09_C_62_9,NLR_C_62_BOGOLE,Gowravaram,,,,0
23,09_C_62_9,NLR_C_62_BOGOLE,Bitragunta,,,,0
24,09_C_62_9,NLR_C_62_BOGOLE,Talluru,,,,0
25,09_C_62_9,NLR_C_62_BOGOLE,Jakkapalliguduru,,,,0
26,09_C_62_9,NLR_C_62_BOGOLE,Bogole,,,,0
27,09_C_62_9,NLR_C_62_BOGOLE,Kovurpalli,,,,0
28,09_C_62_9,NLR_C_62_BOGOLE,Umamaheswarapuram,,,,0
29,09_C_62_9,NLR_C_62_BOGOLE,Allimadugu,,,,0
30,09_C_62_9,NLR_C_62_BOGOLE,Juvvaladinne,,,,0
31,09_C_62_9,NLR_C_62_BOGOLE,Siddavarapu Venkatesupalem,,,,0
32,09_C_62_9,NLR_C_62_BOGOLE,Mallayapalem,,,,0
33,09_C_62_9,NLR_C_62_BOGOLE,Kaminenipalem,,,,0
34,09_C_62_9,NLR_C_62_BOGOLE,Damavaram,,,,0
35,09_C_62_9,NLR_C_62_BOGOLE,Anantavaram,,,,0
36,09_C_62_9,NLR_C_62_BOGOLE,Ulavapalla,,,,0
37,09_C_62_9,NLR_C_62_BOGOLE,Kottapallikowregunta,,,,0
38,09_C_62_9,NLR_C_62_BOGOLE,Velicherla,,,,0
39,09_C_62_9,NLR_C_62_BOGOLE,Singapeta,,,,0
40,09_C_62_9,NLR_C_62_BOGOLE,Allurupeta,,,,0
41,09_C_62_9,NLR_C_62_BOGOLE,Iskapalli,,,,0
42,09_C_62_9,NLR_C_62_BOGOLE,Gogulapalli,,,,0
43,09_C_62_9,NLR_C_62_BOGOLE,Allur,,,,0
44,09_C_62_9,NLR_C_62_BOGOLE,Graddagunta,,,,0
45,09_C_62_9,NLR_C_62_BOGOLE,Batrakagollu,,,,0
46,09_C_62_9,NLR_C_62_BOGOLE,Total,0,0,0,0
47,09_C_62_7,NLR_C_62_JALADANKI,Gattupalli,,,,0
48,09_C_62_7,NLR_C_62_JALADANKI,Jaladanki,,,,0
49,09_C_62_7,NLR_C_62_JALADANKI,Rajovari Chintalapalem,,,,0
50,09_C_62_7,NLR_C_62_JALADANKI,Total,0,0,0,0
51,09_C_62_8,NLR_C_62_KAVALI,Jammalapalem,,,,0
52,09_C_62_8,NLR_C_62_KAVALI,Chelamcherla,,,,0
53,09_C_62_8,NLR_C_62_KAVALI,Kottapalli,,,,0
