S.No,Watershed code,Watershed Name, Village Name,Length ,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor, No.of operating days of canal,, Recharge from canal (ha.m),,Annual Recharge,,,,,,,,,
,,,,mts,mts,mts,( degrees ),mts,( m.sq mts.),( ha.m/d/m.sq.m ),Monsoon ,N-Monsoon,Monsoon ,Non-Monsoon,( ha.m ),,,,,,,,,
1,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Kesavaram,,,,45,0,0,3.5,90,90,0,0,0,,,,,,,,,
2,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Annavaram,2000,2,8,45,11.4,0.023,3.5,30,90,2.39,7.18,9.57,,,,,,,,,
3,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Chinakraka,3500,2.5,8,45,12.2,0.043,3.5,30,90,4.5,13.5,18,,,,,,,,,
4,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Kodandaramapuram,8000,2.5,8,45,12.2,0.098,3.5,30,90,10.28,30.85,41.14,,,,,,,,,
5,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Brahmanakraka,7750,2,8,45,11.4,0.088,3.5,30,90,9.27,27.82,37.09,,,,,,,,,
6,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Chamadala,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
7,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Krishnampadu,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
8,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Somavarampadu,7500,2,8,45,11.4,0.085,3.5,30,90,8.97,26.92,35.89,,,,,,,,,
9,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Mungamuru,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
10,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Sambasivapuram,0,0,0,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
