GW Watershed Name,Iwm basin names,GW Village Name,iwm village names
NLR_C_76_YEKOLLU,NLR_C_76_YEKOLLU-MB,Aabaka,Abaka
NLR_C_62_CHINNA ANNALUR,NLR_C_62_CHINNA ANNALUR-MB,Aadimurtipuram,Audimurthipuram
NLR_C_74_OZILI,NLR_C_74_OZILI-MB,Acharlaparlapalli,Acharlaparlapalle
NLR_C_76_YEKOLLU,NLR_C_76_YEKOLLU-MB,Adapamudi,Adapamudi
NLR_C_73_CHINTAVARAM,NLR_C_73_CHINTAVARAM-MB,Addepalli,Addepalle
NLR_C_74_NELAPATTU,NLR_C_74_NELAPATTU-MB,Addepudi,Addepudi
NLR_C_73_RAMASAGARAM,NLR_C_73_RAMASAGARAM-MB,Adhvnnapu Narayanakat,Adhvanna Punarayanakattubadi
NLR_C_73_DEGAPUDI,NLR_C_73_DEGAPUDI-MB,Adurupalle,Adurupalle
NLR_C_72_A.S.PETA,NLR_C_72_A.S.PETA-MB,Akbarabad,Akbarabad
NLR_C_73_VENKATAGIRI,NLR_C_73_VENKATAGIRI-MB,Akbarnivasa Khandrika,Akbarnivasa Khandrika
NLR_C_73_GONUPALLE,NLR_C_73_GONUPALLI-MB,Akhilavalasa,Akilavalasa
NLR_C_72_NELLORE,NLR_C_72_NELLORE-MB,Akkacheruvupadu,Akkacheruvupadu
NLR_C_73_PALUGODU,NLR_C_73_PALUGODU-MB,AKKAMAMBAPURAM,Akkamambapuram
NLR_C_76_TADA,NLR_C_76_TADA-MB,AKKAMPETA,Akkampeta-1
NLR_C_73_KASUMUR,NLR_C_73_KASUMUR-MB,Akkampeta,Akkampeta
NLR_C_76_YEKOLLU,NLR_C_76_YEKOLLU-MB,Akkarabaka,Akkarapaka
NLR_C_73_BALAYAPALLE,NLR_C_73_BALAYAPALLE-MB,Akkasamudram,Akkasamudram
NLR_C_72_KOVUR,NLR_C_72_KOVUR-MB,Alaganipadu,Alaganipadu
NLR_C_73_BALAYAPALLE,NLR_C_73_BALAYAPALLE-MB,Alimili,Alimili
NLR_C_61_S.R.PURAM,NLR_C_61_SR_PURAM-MB,Alivelumangapuram,Alivelumangapuram
NLR_C_74_PERIMIDI,NLR_C_74_PERIMIDI-MB,Alivelumangapuram,Alivelumangapuram
NLR_C_72_ALLAMPADU,NLR_C_72_ALLAMPADU-MB,Allampadu,Allampadu
NLR_C_74_KOTA,NLR_C_74_KOTA-MB,Allampadu,Allampadu
NLR_C_62_BOGOLE,NLR_C_62_BOGOLE-MB,Allimadugu,Allimadugu
NLR_C_72_NELLORE,NLR_C_72_NELLORE-MB,Allipuram,Allipuram (Rural)
NLR_C_62_BOGOLE,NLR_C_62_BOGOLE-MB,Allur ,Allur-4
NLR_C_72_KOVUR,NLR_C_72_KOVUR-MB,Allurpadu,Alurupadu
NLR_C_62_BOGOLE,NLR_C_62_BOGOLE-MB,Allurupeta,Allurupeta
NLR_C_73_PALUGODU,NLR_C_73_PALUGODU-MB,Althrupadu,Althurupadu
NLR_C_72_PRABHUGIRIPATNAM,NLR_C_72_PRABHUGIRIPATN-MB,Althurti,Althurthi
NLR_C_73_KASUMUR,NLR_C_73_KASUMUR-MB,Amancherla,Amancherla
NLR_C_72_ANANTASAGARAM,NLR_C_72_ANANTASAGARAM-MB,Amanichiruvella,Amanichiruvella
NLR_C_73_BALAYAPALLE,NLR_C_73_BALAYAPALLE-MB,Ambalapudi,Ambalapudi
NLR_C_72_NELLORE,NLR_C_72_NELLORE-MB,Ambapuram,Ambapuram-3
NLR_C_73_BALAYAPALLE,NLR_C_73_BALAYAPALLE-MB,Ammapalem,Ammapalem
NLR_C_73_BALAYAPALLE,NLR_C_73_BALAYAPALLE-MB,Ammavaripeta (Venkatagiri muncipality ),Ammavaripeta
