sr.no,,,village name,No. M.I.Tanks command area,,Number of M.I.Tanks [Non command area],,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,Watershed code ,GW watershed name,,Number,spread ha,Number,spread ha,Number,spread ha
1,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Kesavaram,,,2,13,,
2,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Annavaram,2,297,,,,
3,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Chinakraka,,,,,,
4,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Kodandaramapuram,,,,,1,3
5,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Brahmanakraka,4,291,,,,
6,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Chamadala,3,134,,,,
7,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Krishnampadu,0,0,,,,
8,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Somavarampadu,1,28,,,,
9,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Mungamuru,1,256,,,,
10,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Sambasivapuram,1,50,,,,
11,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Krakutur,,,4,150,,
12,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Pedakonduru,,,2,40,,
13,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Kummarakonduru,,,0,0,,
14,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Parrikota agraharam,,,1,60,,
15,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Siddanakonduru,,,1,20,,
16,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Anantapuram,,,2,50,,
17,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Lakshmipuram,,,,,,
18,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Gudladona,2,138,,,,
19,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Manubolupadu,,,,,,
20,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,Bodagudipadu,2,130,,,,
21,09_C_62_7,NLR_C_62_BRAHMANAKRAKA,Total,16,1324,12,333,1,3
22,09_C_62_9,NLR_C_62_BOGOLE,Gowravaram,2,120,,,,
23,09_C_62_9,NLR_C_62_BOGOLE,Bitragunta,2,212,,,,
24,09_C_62_9,NLR_C_62_BOGOLE,Talluru,2,122,,,,
25,09_C_62_9,NLR_C_62_BOGOLE,Jakkapalliguduru,2,180,,,1,3
26,09_C_62_9,NLR_C_62_BOGOLE,Bogole,5,184,,,,
27,09_C_62_9,NLR_C_62_BOGOLE,Kovurpalli,1,73,,,,
28,09_C_62_9,NLR_C_62_BOGOLE,Umamaheswarapuram,1,40,,,,
29,09_C_62_9,NLR_C_62_BOGOLE,Allimadugu,3,135,,,,
30,09_C_62_9,NLR_C_62_BOGOLE,Juvvaladinne,4,226,,,,
31,09_C_62_9,NLR_C_62_BOGOLE,Siddavarapu Venkatesupalem,2,142,,,,
32,09_C_62_9,NLR_C_62_BOGOLE,Mallayapalem,1,60,,,,
33,09_C_62_9,NLR_C_62_BOGOLE,Kaminenipalem,,,1,20,,
34,09_C_62_9,NLR_C_62_BOGOLE,Damavaram,,,1,96,,
35,09_C_62_9,NLR_C_62_BOGOLE,Anantavaram,,,1,4,,
36,09_C_62_9,NLR_C_62_BOGOLE,Ulavapalla,,,1,9,,
37,09_C_62_9,NLR_C_62_BOGOLE,Kottapallikowregunta,,,4,77,,
38,09_C_62_9,NLR_C_62_BOGOLE,Velicherla,,,,,,
39,09_C_62_9,NLR_C_62_BOGOLE,Singapeta,,,,,,
40,09_C_62_9,NLR_C_62_BOGOLE,Allurupeta,,,,,,
41,09_C_62_9,NLR_C_62_BOGOLE,Iskapalli,1,210,,,,
42,09_C_62_9,NLR_C_62_BOGOLE,Gogulapalli,1,250,,,,
43,09_C_62_9,NLR_C_62_BOGOLE,Allur,,,,,,
44,09_C_62_9,NLR_C_62_BOGOLE,Graddagunta,,,,,,
45,09_C_62_9,NLR_C_62_BOGOLE,Batrakagollu,,,2,102,,
46,09_C_62_9,NLR_C_62_BOGOLE,Total,27,1954,10,308,1,3
47,09_C_62_7,NLR_C_62_JALADANKI,Gattupalli,,,3,231,,
48,09_C_62_7,NLR_C_62_JALADANKI,Jaladanki,5,344,,,,
49,09_C_62_7,NLR_C_62_JALADANKI,Rajovari Chintalapalem,,,,,,
50,09_C_62_7,NLR_C_62_JALADANKI,Total,5,344,3,231,0,0
51,09_C_62_8,NLR_C_62_KAVALI,Jammalapalem,,,1,70,,
52,09_C_62_8,NLR_C_62_KAVALI,Chelamcherla,,,5,154,,
53,09_C_62_8,NLR_C_62_KAVALI,Kottapalli,,,1,70,,
54,09_C_62_8,NLR_C_62_KAVALI,Maddurupadu,,,3,64,,
55,09_C_62_8,NLR_C_62_KAVALI,Rudrakota,,,2,156,,
56,09_C_62_8,NLR_C_62_KAVALI,Chennayapalem,,,1,154,,
57,09_C_62_8,NLR_C_62_KAVALI,Anemadugu,,,1,140,,
58,09_C_62_8,NLR_C_62_KAVALI,Tummalapenta,1,226,,,,
59,09_C_62_8,NLR_C_62_KAVALI,Kavali  II,2,500,,,,
60,09_C_62_8,NLR_C_62_KAVALI,Kavali I (U),,,,,,
61,09_C_62_8,NLR_C_62_KAVALI,Budamgunta,2,1122,,,,
62,09_C_62_8,NLR_C_62_KAVALI,Musanuru,,2,292,,,
63,09_C_62_8,NLR_C_62_KAVALI,Mannangidinne,,,,1,,
64,09_C_62_8,NLR_C_62_KAVALI,Tallapalem,,1,350,,,
65,09_C_62_8,NLR_C_62_KAVALI,Total,5,1851,656,809,0,0
66,09_C_76_42,NLR_C_76_TADA,Mizuru,,,1,75,,
67,09_C_76_42,NLR_C_76_TADA,Krishna reddi tagelu,,,1,16,,
68,09_C_76_42,NLR_C_76_TADA,Davidagunta,,,1,82,,
69,09_C_76_42,NLR_C_76_TADA,Pandalagunta,,,,,,
70,09_C_76_42,NLR_C_76_TADA,Jangalapalli,,,,,,
71,09_C_76_42,NLR_C_76_TADA,Mannemutturu,,,,,,
72,09_C_76_42,NLR_C_76_TADA,Degapalem,,,,,,
73,09_C_76_42,NLR_C_76_TADA,K.C.N.gunta,,,1,66,,
74,09_C_76_42,NLR_C_76_TADA,Gopala reddy palem,,,1,50,,
75,09_C_76_42,NLR_C_76_TADA,Kudiri,,,1,16,,
76,09_C_76_42,NLR_C_76_TADA,Kudiritippa kandriga,,,1,16,,
77,09_C_76_42,NLR_C_76_TADA,Pulivendra,,,,18,,
78,09_C_76_42,NLR_C_76_TADA,Konduru,,,,75,,
79,09_C_76_42,NLR_C_76_TADA,GOLLAMULUVU,,,,,,
80,09_C_76_42,NLR_C_76_TADA,VELAGALA VAGU,,,,,,
