Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD,,
1,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,2,Kesavaram,0,2161,2161,118855,,
2,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,6,Annavaram,3344,,3344,183920,,
3,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,7,Chinakraka,2965,,2965,163075,,
4,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,8,Kodandaramapuram,,504,504,27720,,
5,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,9,Brahmanakraka,9904,,9904,544720,,
6,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,10,Chamadala,5073,,5073,279015,,
7,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,11,Krishnampadu,1112,,1112,61160,,
8,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,12,Somavarampadu,2654,,2654,145970,,
9,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,8,Mungamuru,2271,,2271,124905,,
10,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,9,Sambasivapuram,510,,510,28050,,
11,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,4,Krakutur,,2472,2472,135960,,
12,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,12,Pedakonduru,,3220,3220,177100,,
13,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,13,Kummarakonduru,,1410,1410,77550,,
14,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,14,Parrikota agraharam,,608,608,33440,,
15,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,15,Siddanakonduru,,1409,1409,77495,,
16,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,18,Anantapuram,,1743,1743,95865,,
17,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,19,Lakshmipuram,1594,,1594,87670,,
18,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,20,Gudladona,2756,,2756,151580,,
19,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,3,Manubolupadu,1993,,1993,109615,,
20,09_C_62_6,NLR_C_62_BRAHMANAKRAKA,4,Bodagudipadu,1812,,1812,99660,,
22,09_C_62_9,NLR_C_62_BOGOLE,15,Gowravaram,3346,,3346,184030,,
23,09_C_62_9,NLR_C_62_BOGOLE,1,Bitragunta,3382,,3382,186010,,
24,09_C_62_9,NLR_C_62_BOGOLE,2,Talluru,1995,,1995,109725,,
25,09_C_62_9,NLR_C_62_BOGOLE,3,Jakkapalliguduru,3854,,3854,211970,,
26,09_C_62_9,NLR_C_62_BOGOLE,4,Bogole,13733,,13733,755315,,
27,09_C_62_9,NLR_C_62_BOGOLE,5,Kovurpalli,7045,,7045,387475,,
28,09_C_62_9,NLR_C_62_BOGOLE,6,Umamaheswarapuram,590,,590,32450,,
29,09_C_62_9,NLR_C_62_BOGOLE,7,Allimadugu,2664,,2664,146520,,
30,09_C_62_9,NLR_C_62_BOGOLE,10,Juvvaladinne,10675,,10675,587125,,
31,09_C_62_9,NLR_C_62_BOGOLE,11,Siddavarapu Venkatesupalem,1904,,1904,104720,,
32,09_C_62_9,NLR_C_62_BOGOLE,12,Mallayapalem,205,,205,11275,,
33,09_C_62_9,NLR_C_62_BOGOLE,11,Kaminenipalem,,312,312,17160,,
34,09_C_62_9,NLR_C_62_BOGOLE,12,Damavaram,,2817,2817,154935,,
35,09_C_62_9,NLR_C_62_BOGOLE,13,Anantavaram,,1386,1386,76230,,
36,09_C_62_9,NLR_C_62_BOGOLE,14,Ulavapalla,,1901,1901,104555,,
37,09_C_62_9,NLR_C_62_BOGOLE,15,Kottapallikowregunta,,1636,1636,89980,,
38,09_C_62_9,NLR_C_62_BOGOLE,1,Velicherla,326,,326,17930,,
39,09_C_62_9,NLR_C_62_BOGOLE,2,Singapeta,2955,,2955,162525,,
40,09_C_62_9,NLR_C_62_BOGOLE,3,Allurupeta,7630,,7630,419650,,
41,09_C_62_9,NLR_C_62_BOGOLE,4,Iskapalli,10041,,10041,552255,,
42,09_C_62_9,NLR_C_62_BOGOLE,5,Gogulapalli,4384,,4384,241120,,
43,09_C_62_9,NLR_C_62_BOGOLE,6,Allur ,11656,,11656,641080,,
44,09_C_62_9,NLR_C_62_BOGOLE,7,Graddagunta,616,,616,33880,,
