,,7,"Command area",,,,,,,,,,,,"Non-Command area",,,,,,,,,,,,"Poor quality",,,,,,,,,,,
"Sr.No","Watershed name",,"Agriculture",,,,"Domestic",,,,"Industrial",,,,"Agriculture",,,,"Domestic",,,,"Industrial",,,,"Agriculture",,,,,,,,"Industrial",,,
,,"Type of well","yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,,,,,"yield","No.of ","Days of operation of wells          ",
,,,"lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon",,,,,"lph","wells","Monsoon","Non - Monsoon"
1,"NLR_C_62_BRAHMANAKRAKA","DW",3857.142857,,60,90,857.1428571,,120,240,2857.142857,,120,240,3857.142857,,60,90,571.4285714,,120,240,2857.142857,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
2,"NLR_C_62_BRAHMANAKRAKA","DW+PS/DCB",4285.714286,,60,90,2857.142857,,120,240,5000,,120,240,5000,,60,90,2142.857143,,120,240,4285.714286,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
3,"NLR_C_62_BRAHMANAKRAKA","BWs",10000,,60,90,4285.714286,,120,240,6428.571429,,120,240,7857.142857,,60,90,3571.428571,,120,240,5714.285714,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
4,"NLR_C_62_BRAHMANAKRAKA","STW",21428.57143,,60,90,7142.857143,,120,240,7142.857143,,120,240,20000,,60,90,5714.285714,,120,240,7142.857143,,120,240,22000,,40,90,,,,,7142.857143,,120,240
5,"NLR_C_62_BRAHMANAKRAKA","MTW",28571.42857,,60,90,10285.71429,,120,240,7142.857143,,120,240,25714.28571,,60,90,7142.857143,,120,240,7142.857143,,120,240,45000,,40,90,,,,,7142.857143,,120,240
6,"NLR_C_62_BRAHMANAKRAKA","Deep TW",41428.57143,,60,90,10285.71429,,120,240,14285.71429,,120,240,38571.42857,,60,90,10285.71429,,120,240,14285.71429,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
7,"NLR_C_62_BRAHMANAKRAKA","Filter Points",15714.28571,,60,90,5142.857143,,120,240,7142.857143,,120,240,14285.71429,,60,90,5142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
8,"NLR_C_62_BOGOLE","DW",3857.142857,,60,90,857.1428571,,120,240,2857.142857,,120,240,3857.142857,,60,90,571.4285714,,120,240,2857.142857,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
9,"NLR_C_62_BOGOLE","DW+PS/DCB",4285.714286,,60,90,2857.142857,,120,240,5000,,120,240,5000,,60,90,2142.857143,,120,240,4285.714286,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
10,"NLR_C_62_BOGOLE","BWs",10000,,60,90,4285.714286,,120,240,6428.571429,,120,240,7857.142857,,60,90,3571.428571,,120,240,5714.285714,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
11,"NLR_C_62_BOGOLE","STW",21428.57143,,60,90,7142.857143,,120,240,7142.857143,,120,240,20000,,60,90,5714.285714,,120,240,7142.857143,,120,240,22000,,40,90,,,,,7142.857143,,120,240
12,"NLR_C_62_BOGOLE","MTW",28571.42857,,60,90,10285.71429,,120,240,7142.857143,,120,240,25714.28571,,60,90,7142.857143,,120,240,7142.857143,,120,240,45000,,40,90,,,,,7142.857143,,120,240
13,"NLR_C_62_BOGOLE","Deep TW",41428.57143,,60,90,10285.71429,,120,240,14285.71429,,120,240,38571.42857,,60,90,10285.71429,,120,240,14285.71429,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
14,"NLR_C_62_BOGOLE","Filter Points",15714.28571,,60,90,5142.857143,,120,240,7142.857143,,120,240,14285.71429,,60,90,5142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
15,"NLR_C_62_JALADANKI","DW",3857.142857,,60,90,857.1428571,,120,240,2857.142857,,120,240,3857.142857,,60,90,571.4285714,,120,240,2857.142857,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
16,"NLR_C_62_JALADANKI","DW+PS/DCB",4285.714286,,60,90,2857.142857,,120,240,5000,,120,240,5000,,60,90,2142.857143,,120,240,4285.714286,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
17,"NLR_C_62_JALADANKI","BWs",10000,,60,90,4285.714286,,120,240,6428.571429,,120,240,7857.142857,,60,90,3571.428571,,120,240,5714.285714,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
18,"NLR_C_62_JALADANKI","STW",21428.57143,,60,90,7142.857143,,120,240,7142.857143,,120,240,20000,,60,90,5714.285714,,120,240,7142.857143,,120,240,22000,,40,90,,,,,7142.857143,,120,240
19,"NLR_C_62_JALADANKI","MTW",28571.42857,,60,90,10285.71429,,120,240,7142.857143,,120,240,25714.28571,,60,90,7142.857143,,120,240,7142.857143,,120,240,45000,,40,90,,,,,7142.857143,,120,240
