S.no,GW watershed  name,IWM Micro basin,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,Dependancy factor nca,Dependancy factor ca,Normal annual rainfall mm,Normal Monsoon rainfall mm,Normal Non-monsoon rainfall mm,Annual rainfall for the year of assessment mm,Monsoon rainfall for the year of assessment mm,Non-monsoon rainfall for the year of assessment mm
1,NLR_C_62_BRAHMANAKRAKA,NLR_C_62_BRAHMANAKRAKA-MB,8.75,6.01,10.44,,8.75,6.01,10.44,,1,0.5,1109,1011,98,824,704,120
2,NLR_C_62_BOGOLE,NLR_C_62_BOGOLE-MB,4.81,3.43,5.26,,4.64,3.17,6.14,,1,0.8,1136,1041,95,835,742,93
3,NLR_C_62_JALADANKI,NLR_C_62_JALADANKI-MB,6.9,2.71,7.87,,6.9,2.71,7.87,,1,1,1214,1102,112,820,720,100
4,NLR_C_62_KAVALI,NLR_C_62_KAVALI-MB,12.26,3.88,14.59,,12.26,3.88,14.59,,1,1,1214,1102,112,820,720,100
5,NLR_C_76_TADA,NLR_C_76_TADA-MB,8.75,1.97,11.84,,8.75,1.97,11.84,,1,0.9,1344,1243,101,1313,1171,142
6,NLR_C_72_A.S.PETA,NLR_C_72_A.S.PETA-MB,8.3,4.21,9.98,,8.3,4.21,9.98,,1,1,934,853,81,802,678,124
7,NLR_C_72_ANANTASAGARAM,NLR_C_72_ANANTASAGARAM-MB,5.99,3.92,7.5,,5.99,3.92,7.5,,1,0.75,912,846,66,686.2,646,40.2
8,NLR_C_72_CHEJARLA,NLR_C_72_CHEJARLA-MB,4.25,2.37,5.65,,4.25,2.37,5.65,,1,0.9,1005,927,78,857,762,95
9,NLR_C_72_GANDLAVEEDU,NLR_C_62_GANDLAVEEDU-MB,7.42,5.09,9.06,,7.42,5.09,9.06,,1,0.8,940,860,80,735,641,94
10,NLR_C_72_KALUVOYA,NLR_C_72_KALUVOYA-MB,6.38,3.42,8.26,,6.38,3.42,8.26,,1,0.75,1029,949,80,901.5,826,75.5
11,NLR_C_72_KODAVALUR,NLR_C_72_KODAVALUR-MB,6.53,4.35,7.71,,6.53,4.35,7.71,,1,0.8,1102,1020,82,761,648,113
12,NLR_C_72_KOVUR,NLR_C_72_KOVUR-MB,8.24,3.72,7.14,,8.24,3.72,7.14,,1,0.8,1048,975,73,743.5,657,86.5
13,NLR_C_72_NELLORE,NLR_C_72_NELLORE-MB,8.46,4.42,7.91,,8.46,4.42,7.91,,0.9,0.7,1135,1043,92,709,668,41
14,NLR_C_72_PRABHUGIRIPATNAM,NLR_C_72_PRABHUGIRIPATN-MB,6.84,3.86,7.66,,6.84,3.86,7.66,,1,0.7,1050,972,78,767,706,61
15,NLR_C_75_IRKAM,NLR_C_75_IRKAM-MB,8.75,1.97,11.84,,8.75,1.97,11.84,,1,0,1396,1291,105,1505.6,1318,187.6
16,NLR_C_75_SHAR,NLR_C_75_SHAR-MB,2.97,0.7,4.9,,2.97,0.7,4.9,,1,0,1344,1243,101,1313,1171,142
17,NLR_C_73_DEGAPUDI,NLR_C_73_DEGAPUDI-MB,5.89,2.99,8.04,,5.89,2.99,8.04,,1,1,1033,960,73,946,846,100
18,NLR_C_73_KASUMUR,NLR_C_73_KASUMUR-MB,11.45,7.3,11.39,,11.45,7.3,11.39,,1,1,1075,995,80,863,811,52
19,NLR_C_73_MUTTUKUR,NLR_C_73_MUTTUKUR-MB,2.42,1.36,2.34,,2.42,1.36,2.34,,1,1,1155,1054,101,777,757,20
20,NLR_C_62_CHINNA ANNALUR,NLR_C_62_CHINNA ANNALUR-MB,8.99,6.46,10.64,,,,,,1,,1076,970,106,732,630,102
21,NLR_C_62_GOTTIGUNDALA,NLR_C_62_GOTTIGUNDALA-MB,7.31,4.46,9,,,,,,1,,975,877,98,765,626,139
22,NLR_C_76_KADALUR,NLR_C_76_KADALUR-MB,6.63,0.9,4.05,,,,,,0.98,,1364,1260,104,1331,1177,154
23,NLR_C_76_VEDURUPATTU,NLR_C_76_VEDURUPATTU-MB,1.89,0.69,4.48,,,,,,1,,1256,1157,99,1218,1077,141
24,NLR_C_76_YEKOLLU,NLR_C_76_YEKOLLU-MB,7.73,3.66,8.33,,,,,,1,,1256,1157,99,1218,1077,141
25,NLR_C_72_ALLAMPADU,NLR_C_72_ALLAMPADU-MB,12.16,9.07,16.35,,,,,,1,,979,884,95,727,615,112
26,NLR_C_61_KOTTAPETA,NLR_C_61_KOTTAPETA-MB,11.29,5.98,15.54,,,,,,1,,983,874,109,1131.5,1120.3,11.2
27,NLR_C_61_S.R.PURAM,NLR_C_61_SR_PURAM-MB,8.1,4.03,11.11,,,,,,1,,1076,993,83,1355.8,1312.6,43.2
28,NLR_C_61_VEMPADU,NLR_C_61_VEMPADU-MB,3.97,2.14,6.37,,,,,,1,,983,874,109,1131.5,1120.3,11.2
29,NLR_C_75_REDDYPALEM,NLR_C_75_REDDYPALEM-MB,6.3,0.7,3.59,,,,,,1,,1170,1083,87,908,842,66
30,NLR_C_74_CHAVALI,NLR_C_74_CHAVALI-MB,8.59,2.05,7.70,,,,,,1,,1131,1033,98,1219,1037,182
31,NLR_C_74_DUGGARAJUPATNAM,NLR_C_74_DUGGARAJUPATNA-MB,9.58,3.8,6.97,,,,,,1,,1170,1083,87,908,842,66
32,NLR_C_74_KOTA,NLR_C_74_KOTA-MB,7.03,3.15,7.24,,,,,,1,,1154,1064,90,1043,971,72
33,NLR_C_74_NELAPATTU,NLR_C_74_NELAPATTU-MB,7.1,1.38,5.2,,,,,,1,,1170,1083,87,1053,948,105
34,NLR_C_74_OZILI,NLR_C_74_OZILI-MB,7.33,4.22,10.31,,,,,,1,,1135,1036,99,1065,957,108
35,NLR_C_74_PERIMIDI,NLR_C_74_PERIMIDI-MB,4.36,0.58,5.32,,,,,,1,,1123,1026,97,1153,1021,132
36,NLR_C_74_YAKASIRI,NLR_C_74_YAKASIRI-MB,11.05,2.83,9.72,,,,,,1,,1113,1025,88,1033,907,126
37,NLR_C_73_BALAYAPALLE,NLR_C_73_BALAYAPALLE-MB,5.01,2.01,4.96,,,,,,1,,1101,1012,89,1173,1055,118
38,NLR_C_73_CHINTAVARAM,NLR_C_73_CHINTAVARAM-MB,6.99,2.59,6.2,,,,,,1,,1128,1041,87,1091,1006,85
39,NLR_C_73_DAKKILI,NLR_C_73_DAKKILI-MB,5.75,3.98,7.18,,,,,,1,,1072,982,90,1104,992,112
40,NLR_C_73_GONUPALLE,NLR_C_73_GONUPALLI-MB,7.28,4.11,10.13,,,,,,1,,1076,992,84,970,882,88
