"S.No","Watershed code","Watershed Name"," Village Name","Artificial recharge structure [comand area]",,,,,,,,,,"Artificial recharge structure [Non-comand area]",,,,,,,,,,"Artificial recharge structure [Poor-comand area]",,,,,,,,,
,,,,"Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ farm ponds","Storage 
ha-m","other structures","Storage [ha.m]","Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ farm ponds","Storage 
ha-m","other structures","Storage [ha.m]","Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ form ponds","Storage 
ha-m","other structures","Storage [ha.m]"
1,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Kesavaram",,0,,,,0,,,,,,,,,3,0.84,,,,,,,,,,,,,,
2,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Annavaram",,0,,,,0,,,,,1,10,1,0.5,6,0.6,3,0.3,10,1,1,10,1,0.5,6,0.6,3,0.3,10,1
3,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Chinakraka",3,0.6,,,3,0.3,,,,,,,,,,,,,,,,,,,,,,,,
4,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Kodandaramapuram",,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
5,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Brahmanakraka",,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
6,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Chamadala",,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
7,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Krishnampadu",,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
8,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Somavarampadu",,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
9,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Mungamuru",,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
10,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Sambasivapuram",,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Krakutur",,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
12,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Pedakonduru",,0,,,,0,,,,,4,2.24,,,2,0.56,,,,,,,,,,,,,,
13,"09_C_62_6","NLR_C_62_BRAHMANAKRAKA","Kummarakonduru",,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
