"Sr.no",,,"Village name","T.Area (ha)","Watershed command area ",,,,"Watershed Non command Area",,,,"Watershed poor quality Area",,,
,"Water shed code","Watershed name",,,"Recghare","Hilly","Forest","Total","Recghare","Hilly","Forest","Total","Recghare","Hilly","Forest","Total"
1,"08_C_58_47","PKM_C_G&M_Kothapatnam","Aluru",1981,1981,0,0,1981,0,0,0,0,1000,0,0,1000
2,"08_C_58_47","PKM_C_G&M_Kothapatnam","Padarthi",3349,3349,0,0,3349,0,0,0,0,0,0,0,0
3,"08_C_58_47","PKM_C_G&M_Kothapatnam","Kothapatnam ",6719,6719,0,0,6719,0,0,0,0,0,0,0,0
4,"08_C_58_47","PKM_C_G&M_Kothapatnam","Rajupalem",555,555,0,0,555,0,0,0,0,0,0,0,0
5,"08_C_58_47","PKM_C_G&M_Kothapatnam","P.kandrika",193,193,0,0,193,0,0,0,0,0,0,0,0
6,"08_C_58_47","PKM_C_G&M_Kothapatnam","Ethamukkala",1607,1607,0,0,1607,0,0,0,0,0,0,0,0
7,"08_C_58_47","PKM_C_G&M_Kothapatnam","Madanuru",2040,2040,0,0,2040,0,0,0,0,0,0,0,0
8,"08_C_56_17","PKM_C_Romperu_Ballikurava","Vemavaram",738,738,0,,738,0,0,,0,,,,
9,"08_C_56_17","PKM_C_Romperu_Ballikurava","Konidena",3730,0,0,,,3615,115,,3730,,,,
10,"08_C_56_17","PKM_C_Romperu_Ballikurava","Ballikurava ",955,955,0,,955,0,0,,0,,,,
11,"08_C_56_17","PKM_C_Romperu_Ballikurava","Chennupalli",1847,1797,50,,1847,0,0,,0,,,,
12,"08_C_56_17","PKM_C_Romperu_Ballikurava","Muktheswaram",1271,1271,0,,1271,0,0,,0,,,,
13,"08_C_56_17","PKM_C_Romperu_Ballikurava","Guntupalli",1891,1871,20,,1891,0,0,,0,,,,
14,"08_C_56_17","PKM_C_Romperu_Ballikurava","Vallapalli",1198,1148,50,,1198,0,0,,0,,,,
15,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Garlapadu",448,448,,,448,0,,,,,,,
16,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Gadiyapudi",541,541,,,541,0,,,,,,,
17,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Mallavaram",814,814,,,814,0,,,,,,,
18,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Venkateswarapuram",148,148,,,148,0,,,,,,,
19,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Doddavaram ",1510,1510,,,1510,0,,,,,,,
20,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Nelaturu",963,963,,,963,0,,,,,,,
21,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Maddipadu ",1193,1193,,,1193,0,,,,,,,
22,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Lingamguntla",869,869,,,869,0,,,,,,,
23,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Ilapavuluru",1432,1432,,,1432,0,,,,,,,
24,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Rangasaipuram",242,242,,,242,0,,,,,,,
25,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Pallamalli",2106,2006,100,,2106,0,,,,,,,
26,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Nekunambad",578,578,,,578,0,,,,,,,
27,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Chandrapadu",1435,1435,,,1435,0,,,,,,,
28,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","T.Gudipadu",352,352,,,352,0,,,,,,,
29,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Bandlamudi",533,533,,,533,0,,,,,,,
30,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","P. Naidupalem",496,496,,,496,0,,,,,,,
31,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Cheemakurthy",2788,2788,,,2788,0,,,,,,,
32,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","K.Agraharam",292,292,,,292,0,,,,,,,
33,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Yerragudipadu",850,850,,,850,0,,,,,,,
34,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Manchikalapadu",1010,1010,,,1010,0,,,,,,,
35,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Lakshmipuram",265,265,,,265,0,,,,,,,
36,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Rudravaram",1201,1201,,,1201,0,,,,,,,
37,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Guravareddipalem",349,349,,,349,0,,,,,,,
38,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Minampadu",2270,2270,,,2270,0,,,,,,,
39,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Endluru",1107,1107,,,1107,0,,,,,,,
40,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Pernamitta",2760,2760,,,2760,0,,,,,,,
41,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","S.N.Padu (Gangavaram)",3752,3752,,,3752,0,,,,0,,,
42,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Throvagunta",1402,1402,,,1402,0,,,,1402,,,1402
43,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Devarampadu",2993,2993,,,2993,0,,,,0,,,
44,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Gudimendlapadu",175,175,,,175,0,,,,0,,,
45,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Mukthinuthalapadu",870,870,,,870,0,,,,870,,,870
46,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Vellampalli",576,0,,,,576,,,576,0,,,
47,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Kolachinakota",432,0,,,,432,,,432,0,,,
48,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Seetharampuram",349,0,,,,349,,,349,0,,,
49,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Nandipadu",345,0,,,,345,,,345,0,,,
50,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Inamanamellur",2040,0,,,,2040,,,2040,0,,,
