,,,,Command Area,,Non command Area,,Poor quality area,,
,,,,Residential,,Residential,,Residential,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total
1,08_C_58_47,PKM_C_G&M_Kothapatnam,Aluru,10,1,0,0,0,0,11
2,08_C_58_47,PKM_C_G&M_Kothapatnam,Padarthi,70,3,0,0,0,0,73
3,08_C_58_47,PKM_C_G&M_Kothapatnam,Kothapatnam ,69,7,0,0,0,0,76
4,08_C_58_47,PKM_C_G&M_Kothapatnam,Rajupalem,20,2,0,0,0,0,22
5,08_C_58_47,PKM_C_G&M_Kothapatnam,P.kandrika,2,0,0,0,0,0,2
6,08_C_58_47,PKM_C_G&M_Kothapatnam,Ethamukkala,29,1,0,0,0,0,30
7,08_C_58_47,PKM_C_G&M_Kothapatnam,Madanuru,30,7,0,0,0,0,37
8,08_C_56_17,PKM_C_Romperu_Ballikurava,Vemavaram,32,2,,,,,34
9,08_C_56_17,PKM_C_Romperu_Ballikurava,Konidena,,,100,2,,,102
10,08_C_56_17,PKM_C_Romperu_Ballikurava,Ballikurava ,32,3,,,,,35
11,08_C_56_17,PKM_C_Romperu_Ballikurava,Chennupalli,25,2,,,,,27
12,08_C_56_17,PKM_C_Romperu_Ballikurava,Muktheswaram,45,2,,,,,47
13,08_C_56_17,PKM_C_Romperu_Ballikurava,Guntupalli,55,2,,,,,57
14,08_C_56_17,PKM_C_Romperu_Ballikurava,Vallapalli,40,3,,,,,43
15,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Garlapadu,3,,,,,1,4
16,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Gadiyapudi,7,1,,,,,8
17,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Mallavaram,15,1,,,,,16
18,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Venkateswarapuram,,,,,,1,1
19,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Doddavaram ,28,1,,,,,29
20,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Nelaturu,5,1,,,,,6
21,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Maddipadu ,5,1,,,,,6
22,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Lingamguntla,20,1,,,,,21
23,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Ilapavuluru,25,0,,,,,25
24,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Rangasaipuram,18,1,,,,,19
25,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Pallamalli,40,1,,,,,41
26,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Nekunambad,15,0,,,,,15
27,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Chandrapadu,35,2,,,,,37
28,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,T.Gudipadu,20,2,,,,,22
29,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Bandlamudi,18,1,,,,,19
30,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,P. Naidupalem,25,1,,,,,26
31,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Cheemakurthy,169,1,,,,,170
32,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,K.Agraharam,10,1,,,,,11
33,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Yerragudipadu,12,1,,,,,13
34,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Manchikalapadu,26,1,,,,,27
35,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Lakshmipuram,9,0,,,,,9
36,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Rudravaram,0,0,,,,,0
37,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Guravareddipalem,0,0,,,,,0
38,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Minampadu,0,0,,,,,0
39,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Endluru,0,0,,,,,0
40,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Pernamitta,89,1,,,,,90
41,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,S.N.Padu (Gangavaram),45,0,,,,,45
42,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Throvagunta,20,3,,,,,23
43,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Devarampadu,18,1,,,,,19
44,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Gudimendlapadu,5,0,,,,,5
45,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Mukthinuthalapadu,1,1,,,,,2
46,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Vellampalli,,,8,1,,,9
47,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Kolachinakota,,,16,1,,,17
48,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Seetharampuram,,,2,1,,,3
49,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Nandipadu,,,4,1,,,5
