,,,,CA,NCA,PQA,,,,,
,,,,Industrial,Industrial,Industrial,,,,,
Sr.no,Watershed code,GW watershed name,village name,Industrial Wells,Industrial Wells,Industrial Wells,Total ,,,,
1,08_C_58_47,PKM_C_G&M_Kothapatnam,Aluru,0,0,0,0,,,,
2,08_C_58_47,PKM_C_G&M_Kothapatnam,Padarthi,0,0,0,0,,,,
3,08_C_58_47,PKM_C_G&M_Kothapatnam,Kothapatnam ,0,0,0,0,,,,
4,08_C_58_47,PKM_C_G&M_Kothapatnam,Rajupalem,0,0,0,0,,,,
5,08_C_58_47,PKM_C_G&M_Kothapatnam,P.kandrika,0,0,0,0,,,,
6,08_C_58_47,PKM_C_G&M_Kothapatnam,Ethamukkala,0,0,0,0,,,,
7,08_C_58_47,PKM_C_G&M_Kothapatnam,Madanuru,0,0,0,0,,,,
8,08_C_56_17,PKM_C_Romperu_Ballikurava,Vemavaram,,,,0,,,,
9,08_C_56_17,PKM_C_Romperu_Ballikurava,Konidena,,,,0,,,,
10,08_C_56_17,PKM_C_Romperu_Ballikurava,Ballikurava ,,,,0,,,,
11,08_C_56_17,PKM_C_Romperu_Ballikurava,Chennupalli,,,,0,,,,
12,08_C_56_17,PKM_C_Romperu_Ballikurava,Muktheswaram,,,,0,,,,
13,08_C_56_17,PKM_C_Romperu_Ballikurava,Guntupalli,,,,0,,,,
14,08_C_56_17,PKM_C_Romperu_Ballikurava,Vallapalli,,,,0,,,,
15,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Garlapadu,,,,0,,,,
16,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Gadiyapudi,,,,0,,,,
17,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Mallavaram,,,,0,,,,
18,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Venkateswarapuram,,,,0,,,,
19,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Doddavaram ,,,,0,,,,
20,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Nelaturu,,,,0,,,,
21,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Maddipadu ,,,,0,,,,
22,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Lingamguntla,,,,0,,,,
23,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Ilapavuluru,,,,0,,,,
24,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Rangasaipuram,,,,0,,,,
25,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Pallamalli,,,,0,,,,
26,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Nekunambad,,,,0,,,,
27,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Chandrapadu,,,,0,,,,
28,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,T.Gudipadu,,,,0,,,,
29,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Bandlamudi,,,,0,,,,
30,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,P. Naidupalem,,,,0,,,,
31,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Cheemakurthy,,,,0,,,,
32,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,K.Agraharam,,,,0,,,,
33,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Yerragudipadu,,,,0,,,,
34,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Manchikalapadu,,,,0,,,,
35,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Lakshmipuram,,,,0,,,,
36,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Rudravaram,,,,0,,,,
37,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Guravareddipalem,,,,0,,,,
38,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Minampadu,,,,0,,,,
39,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Endluru,,,,0,,,,
40,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Pernamitta,,,,0,,,,
41,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,S.N.Padu (Gangavaram),,,,0,,,,
42,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Throvagunta,,,,0,,,,
43,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Devarampadu,,,,0,,,,
44,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Gudimendlapadu,,,,0,,,,
