"S.No","Watershed code","Watershed Name"," Village Name","Length ","Design depth of flow","Bed width","Side Slopes","WettedPerimeter","Wetted area","Canal seepage factor"," No.of operating days of canal",," Recharge from canal (ha.m)",,"Annual Recharge"
,,,,"mts","mts","mts","( degrees )","mts","( m.sq mts.)","( ha.m/d/m.sq.m )","Monsoon ","N-Monsoon","Monsoon ","Non-Monsoon","( ha.m )"
1,"08_C_58_47","PKM_C_G&M_Kothapatnam","Aluru",2329,1.5,4,30,7.6,0.0177004,15,90,90,23.89554,23.89554,47.79108
2,"08_C_58_47","PKM_C_G&M_Kothapatnam","Padarthi",1500,1.5,4,30,7.6,0.0114,15,90,90,15.39,15.39,30.78
3,"08_C_58_47","PKM_C_G&M_Kothapatnam","Kothapatnam ",1500,1.5,4,30,7.6,0.0114,15,90,90,15.39,15.39,30.78
4,"08_C_58_47","PKM_C_G&M_Kothapatnam","Rajupalem",402,1.5,4,30,7.6,0.0030552,15,90,90,4.12452,4.12452,8.24904
5,"08_C_58_47","PKM_C_G&M_Kothapatnam","P.kandrika",200,1.5,4,30,7.6,0.00152,15,90,90,2.052,2.052,4.104
6,"08_C_58_47","PKM_C_G&M_Kothapatnam","Ethamukkala",1012,1.5,4,30,7.6,0.0076912,15,90,90,10.38312,10.38312,20.76624
7,"08_C_58_47","PKM_C_G&M_Kothapatnam","Madanuru",1000,1.5,4,30,7.6,0.0076,15,90,90,10.26,10.26,20.52
8,"08_C_56_17","PKM_C_Romperu_Ballikurava","Vemavaram",2000,1.5,3.5,30,7.1,0.0142,15,90,90,19.17,19.17,38.34
9,"08_C_56_17","PKM_C_Romperu_Ballikurava","Konidena",4000,1.5,3.5,30,7.1,0.0284,15,90,90,38.34,38.34,76.68
10,"08_C_56_17","PKM_C_Romperu_Ballikurava","Ballikurava ",1500,1.5,3.5,30,7.1,0.01065,15,90,90,14.3775,14.3775,28.755
11,"08_C_56_17","PKM_C_Romperu_Ballikurava","Chennupalli",2000,1.5,3.5,30,7.1,0.0142,15,90,90,19.17,19.17,38.34
12,"08_C_56_17","PKM_C_Romperu_Ballikurava","Muktheswaram",2000,1.5,3.5,30,7.1,0.0142,15,90,90,19.17,19.17,38.34
13,"08_C_56_17","PKM_C_Romperu_Ballikurava","Guntupalli",2000,1.5,3.5,30,7.1,0.0142,15,90,90,19.17,19.17,38.34
14,"08_C_56_17","PKM_C_Romperu_Ballikurava","Vallapalli",2000,1.5,3.5,30,7.1,0.0142,15,90,90,19.17,19.17,38.34
15,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Garlapadu",1800,1.5,4,30,7.6,0.01368,15,60,90,12.312,18.468,30.78
16,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Gadiyapudi",1800,1.5,4,30,7.6,0.01368,15,60,90,12.312,18.468,30.78
17,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Mallavaram",3200,1.5,4,30,7.6,0.02432,15,60,90,21.888,32.832,54.72
18,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Venkateswarapuram",3200,1.5,4,30,7.6,0.02432,15,60,90,21.888,32.832,54.72
19,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Doddavaram ",1800,1.5,4,30,7.6,0.01368,15,60,90,12.312,18.468,30.78
20,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Nelaturu",3200,1.5,4,30,7.6,0.02432,15,60,90,21.888,32.832,54.72
21,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Maddipadu ",1800,1.5,4,30,7.6,0.01368,15,60,90,12.312,18.468,30.78
22,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Lingamguntla",7800,1.5,4,30,7.6,0.05928,15,60,90,53.352,80.028,133.38
23,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Ilapavuluru",2100,1.5,4,30,7.6,0.01596,15,60,90,14.364,21.546,35.91
24,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Rangasaipuram",1000,1.5,4,30,7.6,0.0076,15,60,90,6.84,10.26,17.1
25,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Pallamalli",3400,1.5,4,30,7.6,0.02584,15,60,90,23.256,34.884,58.14
26,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Nekunambad",1000,1.5,4,30,7.6,0.0076,15,60,90,6.84,10.26,17.1
27,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Chandrapadu",1600,1.5,4,30,7.6,0.01216,15,60,90,10.944,16.416,27.36
28,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","T.Gudipadu",200,1.5,4,30,7.6,0.00152,15,60,90,1.368,2.052,3.42
29,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Bandlamudi",200,1.5,4,30,7.6,0.00152,15,60,90,1.368,2.052,3.42
30,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","P. Naidupalem",200,1.5,4,30,7.6,0.00152,15,60,90,1.368,2.052,3.42
31,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Cheemakurthy",5400,1.5,4,30,7.6,0.04104,15,60,90,36.936,55.404,92.34
32,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","K.Agraharam",1800,2,6,30,10.8,0.01944,15,60,90,17.496,26.244,43.74
33,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Yerragudipadu",200,1.5,4,30,7.6,0.00152,15,60,90,1.368,2.052,3.42
34,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Manchikalapadu",1800,2,6,30,10.8,0.01944,15,60,90,17.496,26.244,43.74
35,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Lakshmipuram",2100,1.5,4,30,7.6,0.01596,15,60,90,14.364,21.546,35.91
36,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Rudravaram",2100,1.5,4,30,7.6,0.01596,15,60,90,14.364,21.546,35.91
37,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Guravareddipalem",200,1.5,4,30,7.6,0.00152,15,60,90,1.368,2.052,3.42
38,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Minampadu",200,1.5,4,30,7.6,0.00152,15,60,90,1.368,2.052,3.42
