GW Watershed Name,Iwm basin names,GW Village Name,iwm village names
PKM-C-GKM-DORNALA,PKM_C-57-DORNALA-MB,Aambapuram,Ambapuram
PKM_C_Musi_Donakonda,PKM_C-59-DONAKONDA-MB,Abbayapalem,Abbaya Palem
PKM_C_Romperu_Parchuru,PKM_C-56-PARCHURU-MB,Adusumilli,Adusumalle
PKM-C-GKM-DORNALA,PKM_C-57-DORNALA-MB,Ainamukkala,Ayinamukkala
Pkm_C-Gkm_Racherla,PKM_C-57-RACHERLA-MB,Akaveedu,Akaveedu-1
PKM-C-GKM-PEDDARAVEEDU,PKM_C-57-PEDDARAVEEDU-MB,Akkacheruvu,Akkacheruvu
PKM_C_Musi_Podili,PKM_C-59-PODILI-MB,Akkacheruvu,Akka Cheruvu
PKM_C_GKM_Darsi,PKM_C-57-DARSI-MB,Akkamambapuram,Akkamamba Puram
PKM-D-KRISHNA-PALUTLA,PKM_D-44-PALUTLA-MB,Alatam,Allatam
PKM_C_Musi_Donakonda,PKM_C-59-DONAKONDA-MB,Alavalapadu,Alavalapadu
PKM_C_Romperu_J.Panguluru,PKM_C-56-J.PANGALURU-MB,Alavalapadu,Alavalapadu-1
PKM_C_Sagileru_Allinagaram,PKM_C-70-ALLINAGARAM-MB,Allinagaram,Allinagaram
PKM-C-GKM-Y.PALEM,PKM_C-57-YERRAGONDAPALEM-MB,Allipalem(RF),Alli Palem
PKM_C_G&M_Kothapatnam,PKM_C-58-KOTHAPATNAM-MB,Aluru,Allur-2
PKM_C_G&M_Kothapatnam,PKM_C-58-KOTHAPATNAM-MB,Aluru,Allur-2
PKM-C-GKM-Boyalapalli,PKM_C-57-BOYALAPALLI-MB,Amanigudipadu,Ammani Gudi Padu
PKM-C-MUSI-K.K.MITLA,PKM_C-59-KKMITLA-MB,Ambapuram,Ambapuram-1
PKM_C_MN_C.S.Puram,PKM_C-61-C.S.PURAM-MB,Ambavaram,Ambavaram-1
