"sr.no",,,"village name","No. M.I.Tanks command area",,"Number of M.I.Tanks [Non command area]",,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,"Watershed code ","GW watershed name",,"Number","spread ha","Number","spread ha","Number","spread ha"
1,"08_C_58_47","PKM_C_G&M_Kothapatnam","Aluru",0.01,0.01,0,0,0,0
2,"08_C_58_47","PKM_C_G&M_Kothapatnam","Padarthi",1,10,0,0,0,0
3,"08_C_58_47","PKM_C_G&M_Kothapatnam","Kothapatnam ",1,25,0,0,0,0
4,"08_C_58_47","PKM_C_G&M_Kothapatnam","Rajupalem",0,0,0,0,0,0
5,"08_C_58_47","PKM_C_G&M_Kothapatnam","P.kandrika",0,0,0,0,0,0
6,"08_C_58_47","PKM_C_G&M_Kothapatnam","Ethamukkala",0,0,0,0,0,0
7,"08_C_58_47","PKM_C_G&M_Kothapatnam","Madanuru",0,0,0,0,0,0
8,"08_C_56_17","PKM_C_Romperu_Ballikurava","Vemavaram",0,0,0,0,,
9,"08_C_56_17","PKM_C_Romperu_Ballikurava","Konidena",,,2,15,,
10,"08_C_56_17","PKM_C_Romperu_Ballikurava","Ballikurava ",0,0,0,0,,
11,"08_C_56_17","PKM_C_Romperu_Ballikurava","Chennupalli",1,6,0,0,,
12,"08_C_56_17","PKM_C_Romperu_Ballikurava","Muktheswaram",0,0,0,0,,
13,"08_C_56_17","PKM_C_Romperu_Ballikurava","Guntupalli",1,15,0,0,,
14,"08_C_56_17","PKM_C_Romperu_Ballikurava","Vallapalli",0,0,0,0,,
15,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Garlapadu",,,,,,
16,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Gadiyapudi",,,,,,
17,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Mallavaram",,,,,,
18,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Venkateswarapuram",,,,,,
19,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Doddavaram ",,,,,,
20,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Nelaturu",,,,,,
21,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Maddipadu ",,,,,,
22,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Lingamguntla",,,,,,
23,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Ilapavuluru",1,8,,,,
24,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Rangasaipuram",,,,,,
25,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Pallamalli",2,15,,,,
26,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Nekunambad",1,6,,,,
27,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Chandrapadu",1,7,,,,
28,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","T.Gudipadu",,,,,,
29,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Bandlamudi",,,,,,
30,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","P. Naidupalem",,,,,,
31,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Cheemakurthy",1,7,,,,
32,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","K.Agraharam",,,,,,
33,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Yerragudipadu",,,,,,
34,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Manchikalapadu",,,,,,
35,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Lakshmipuram",,,,,,
36,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Rudravaram",,,,,,
37,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Guravareddipalem",,,,,,
38,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Minampadu",1,8,,,,
39,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Endluru",1,6,,,,
40,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Pernamitta",1,8,,,,
41,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","S.N.Padu (Gangavaram)",2,50,,,,
42,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Throvagunta",,,,,,
43,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Devarampadu",,,,,,
44,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Gudimendlapadu",,,,,,
45,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Mukthinuthalapadu",,,,,,
46,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Vellampalli",,,,,,
47,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Kolachinakota",,,,,,
