Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD,,,
1,08_C_58_47,PKM_C_G&M_Kothapatnam,1,Aluru,2246,0,2246,123530,,,
2,08_C_58_47,PKM_C_G&M_Kothapatnam,2,Padarthi,8439,0,8439,464145,,,
3,08_C_58_47,PKM_C_G&M_Kothapatnam,3,Kothapatnam ,21729,0,21729,1195095,,,
4,08_C_58_47,PKM_C_G&M_Kothapatnam,4,Rajupalem,3427,0,3427,188485,,,
5,08_C_58_47,PKM_C_G&M_Kothapatnam,5,P.kandrika,572,0,572,31460,,,
6,08_C_58_47,PKM_C_G&M_Kothapatnam,6,Ethamukkala,6995,0,6995,384725,,,
7,08_C_58_47,PKM_C_G&M_Kothapatnam,7,Madanuru,6598,0,6598,362890,,,
8,08_C_56_17,PKM_C_Romperu_Ballikurava,3,Vemavaram,1695,,1695,93225,,,
9,08_C_56_17,PKM_C_Romperu_Ballikurava,4,Konidena,,8163,8163,448965,,,
10,08_C_56_17,PKM_C_Romperu_Ballikurava,5,Ballikurava ,2066,,2066,113630,,,
11,08_C_56_17,PKM_C_Romperu_Ballikurava,6,Chennupalli,1622,,1622,89210,,,
12,08_C_56_17,PKM_C_Romperu_Ballikurava,8,Muktheswaram,3039,,3039,167145,,,
13,08_C_56_17,PKM_C_Romperu_Ballikurava,9,Guntupalli,4459,,4459,245245,,,
14,08_C_56_17,PKM_C_Romperu_Ballikurava,14,Vallapalli,4919,,4919,270545,,,
15,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,1,Garlapadu,947,,947,52085,,,
16,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,2,Gadiyapudi,1142,,1142,62810,,,
17,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,9,Mallavaram,2116,,2116,116380,,,
18,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,10,Venkateswarapuram,0,,0,0,,,
19,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,11,Doddavaram ,4760,,4760,261800,,,
20,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,12,Nelaturu,2807,,2807,154385,,,
21,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,13,Maddipadu ,6480,,6480,356400,,,
22,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,19,Lingamguntla,2831,,2831,155705,,,
23,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,1,Ilapavuluru,3048,,3048,167640,,,
24,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,2,Rangasaipuram,921,,921,50655,,,
25,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,3,Pallamalli,3436,,3436,188980,,,
26,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,4,Nekunambad,976,,976,53680,,,
27,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,5,Chandrapadu,3095,,3095,170225,,,
28,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,6,T.Gudipadu,1311,,1311,72105,,,
