,,,Command area,,,,,,,,,,,,Non-Command area,,,,,,,,,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,3.401360544,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
1,PKM_C_G&M_Kothapatnam,DW,2857.142857,,40,90,285.7142857,,120,240,1428.571429,,120,240,2857.142857,,40,90,285.7142857,,120,240,1428.571429,,120,240,2857.142857,,40,90,,,,,1428.571429,,120,240
2,PKM_C_G&M_Kothapatnam,DW+PS/DCB,4285.714286,,40,90,571.4285714,,120,240,2857.142857,,120,240,4285.714286,,40,90,571.4285714,,120,240,2857.142857,,120,240,4285.714286,,40,90,,,,,2857.142857,,120,240
3,PKM_C_G&M_Kothapatnam,BWs,7142.857143,,40,90,857.1428571,,120,240,5714.285714,,120,240,7142.857143,,40,90,857.1428571,,120,240,4285.714286,,120,240,7142.857143,,40,90,,,,,4285.714286,,120,240
4,PKM_C_G&M_Kothapatnam,STW,22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,,,,,7142.857143,,120,240
5,PKM_C_G&M_Kothapatnam,MTW,45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,,,,,7142.857143,,120,240
6,PKM_C_G&M_Kothapatnam,Deep TW,64285.71429,,40,90,10285.71429,,120,240,14285.71429,,120,240,64285.71429,,40,90,10285.71429,,120,240,14285.71429,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
7,PKM_C_G&M_Kothapatnam,Filter Points,7142.857143,,30,80,4285.714286,,120,240,7142.857143,,120,240,7857.142857,,40,90,5142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,4285.714286,,120,240
