S.no,GW watershed  name,IWM Micro basin,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,Dependancy factor nca,Dependancy factor ca,Normal annual rainfall mm,Normal Monsoon rainfall mm,Normal Non-monsoon rainfall mm,Annual rainfall for the year of assessment mm,Monsoon rainfall for the year of assessment mm,Non-monsoon rainfall for the year of assessment mm
1,PKM_C_G&M_Kothapatnam,PKM_C-58-KOTHAPATNAM-MB,,,,,3.33,0.83,3.12,,0,0.8,1133,686,447,1208,362.6,845.4
2,PKM_C_Romperu_Ballikurava,PKM_C-56-BALLIKURVA-MB,2.5,0.2,3.25,,4.45,2.23,3.4,,0.9,0.9,789,584,205,793,554,239
3,PKM-C-G&M-CHEEMAKUTHY,PKM_C-58-CHIMAKURTHY-MB,4.72,1.36,2.73,,9.83,4.71,9.11,,0.8,0.8,924,624,300,1715,629.6,1085.2
4,PKM-C-MUSI-CHILAKAPADU,PKM_C-59-CHILAKAPADU-MB,4.5,2.62,5.07,,8.03,3.02,6.91,,0.9,0.9,924,624,300,1152,435.4,717
9,PKM-c-Romperu-Karamchedu,PKM_C-56-KARAMCHEDU-MB,,,,,1.9,1.25,4.5,2.15,0,0,1000,701,299,894,370,524
10,PKM_C_GKM_Tripuranthakam,PKM_C-57-TRIPURANTHKAM-MB,33.9,16.77,22.62,,5.17,3.23,6.47,,1,0.75,729,554,175,754,337.2,416.4
11,PKM-C-GKM-PULLALACHERUVU,PKM_C-57-PULLACHERUVU-MB,38.97,17.5,36.27,,8.1,1.5,7.28,,0.9,0.9,709,528,181,744,314.2,429.4
12,PKM_C_Romperu_Vetapalem ,PKM_C-56-VETAPALEM-MB,,,,,4.72,3.21,3.39,,1,0.5,984,678,306,1151,646.4,504.6
13,PKM_C_GKM_Kurichedu,PKM_C-57-KURICHEDU-MB,2.5,0.5,2.6,,6.02,1.24,4.06,,0.9,0.5,771,558,213,1223,854,369
14,PKM_C_ROMPERU_INKOLLU,PKM_C-56-INKOLLU-MB,,,,,2.65,2.45,3.98,,0.5,0.5,898,665,233,691,343.6,347.4
15,PKM_C_GKM_Darsi,PKM_C-57-DARSI-MB,,,,,6.2,2.79,6.33,,0.6,0.4,816,587,229,797,280,517
16,PKM_C_Ogeru_S.Maguluru,PKM_C-55-S.MAGULURU-MB,,,,,3.22,2.37,2.22,,0.9,0.5,740,568,172,650,314,336.2
17,PKM-C-GKM-ONGOLE,PKM_C-58-ONGOLE-MB,,,,,6.79,2.04,4.96,,0.5,0.5,1001,694,307,1083,333.8,749.4
18,PKM_C_Romperu_Chirala,PKM_C-56-CHEERALA-MB,,,,,4.02,2.33,2.38,,0.5,0.5,1016,701,315,1033,467,565.8
19,PKM_C_GKM_Mundlamuru,PKM_C-57-MUNDLAMURU-MB,,,,,7.21,3.03,7.28,,0.9,0.5,816,582,234,836,313.1,522.6
20,PKM_C_GKM_Edara,PKM_C-57-EDARA-MB,,,,,5.5,0.85,4.15,,0.9,0.9,816,582,234,836,313.1,522.6
21,PKM-C-GKM-MARRIVEMULA,PKM_C-57-MARRIVEMULA-MB,33.9,16.77,22.62,,5.25,2.4,8.45,,0.9,0.9,709,528,181,744,314.2,429.4
22,PKM_C_Musi_Donakonda,PKM_C-59-DONAKONDA-MB,9.5,3.6,9.12,,4.55,2.44,4.1,,1,1,727,530,197,963,373,590.4
23,PKM_C_GKM_Kunduru,PKM_C-57-KUNDURU-MB,,,,,3.35,2.45,4.56,,0.1,0.5,739,568,171,924,246,677.8
24,PKM-C-GKM-RUDRASAMUDRAM,PKM_C-57-RUDRASAMUDRAM-MB,9.4,4.86,9.39,,6.85,4.63,7.93,,0.9,0.9,728,531,197,767,308.6,458.8
25,PKM_C_Romperu_J.Panguluru,PKM_C-56-J.PANGALURU-MB,3.65,1.2,3.05,,4.95,2.93,5.17,,0.8,0.5,807,579,228,1031,443.2,587.8
26,PKM_C_GKM_Addanki,PKM_C-57-ADDANKI-MB,,,,,5.78,1.31,3.39,0.63,1,0.9,819,603,216,1327,605.3,721.2
27,PKM_C_Romperu_Parchuru,PKM_C-56-PARCHURU-MB,3.5,1.25,4.35,,2.6,0.74,2.47,,0.3,0.5,919,696,223,970,482.6,487.2
28,PKM-D-KRISHNA-PEDDARUTLA,PKM_D-44-PEDDARUTLA-MB,33.9,16.77,22.62,,,,,,0.98,,711,510,201,857.2,365,492.2
29,PKM-C-MN-RALLAPADU,PKM_C-61-RALLAPADU-MB,4.86,3.79,7.09,,,,,,1,,1139,694,445,769,348,421
30,PKM-C-MN-Tiragalladinne,PKM_C-61-TIRAGALADENNE-MB,6.15,5.66,8.26,,,,,,0.9,,725,480,245,395,123.2,271.8
31,PKM-C-MN-ULAVAPADU,PKM_C-61-ULAVAPADU-MB,5.09,3.79,5.96,,,,,,1,,928,567,361,599,191.6,407.4
32,PKM-C-GKM-Boyalapalli,PKM_C-57-BOYALAPALLI-MB,33.9,16.77,22.62,,,,,,0.9,,732,542,190,857.2,365,492.2
33,PKM-C-MN-Pedda Rajupalem,PKM_C-61-PEDDARAJUPALEM-MB,6.12,4.35,5.92,,,,,,1,,777,510,267,482.2,196.8,285.4
34,PKM_C_PL_H.M.Padu,PKM_C-60-H.M.PADU-MB,7.38,7.23,8.37,,,,,,0.9,,803,492,311,871.2,396,475.2
35,PKM-C-GKM-KONAPALLI,PKM_C-57-KONAPALLI-MB,18.24,5.1,16.72,,,,,,0.9,,763,554,209,482.2,196.8,285.4
36,PKM_C_MN_C.S.Puram,PKM_C-61-C.S.PURAM-MB,8.3,5.61,9.9,,,,,,1,,777,510,267,482.2,196.8,285.4
37,PKM-C-GKM-KAVALAKUNTLA,PKM_C-57-KAVALAKUNTLA-MB,58.79,19.01,49.5,,,,,,0.9,,709,528,181,743.6,314.2,429.4
38,PKM_C_SAGILERU_GIDDALURU,PKM_C-70-GIDDALUR-MB,21.73,11.19,24.38,,,,,,0.8,,636,486,150,957,646.4,310.6
39,PKM-C-PL-S.KONDA,PKM_C-60-S.KONDA-MB,4.16,3,5.07,,,,,,0.98,,1220,730,490,698.2,247.8,450.4
40,PKM_C_Sagileru_Allinagaram,PKM_C-70-ALLINAGARAM-MB,18.24,5.1,16.72,,,,,,0.9,,738,557,181,780,490,290
41,PKM_D_LK_Garinipenta,PKM_D-44_GARNIPENTA-MB,33.9,16.77,22.62,,,,,,0.98,,733,543,190,857.2,365,492.2
42,PKM_C_GKM_Korisapadu,PKM_C-57-KORISAPADU-MB,8.85,5.95,6.63,,,,,,0.9,,865,642,223,1269.8,447.2,822.6
