"S.No","Watershed code","Watershed Name"," Village Name","Artificial recharge structure [comand area]",,,,,,,,,,"Artificial recharge structure [Non-comand area]",,,,,,,,,,"Artificial recharge structure [Poor-comand area]",,,,,,,,,
,,,,"Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ farm ponds","Storage 
ha-m","other structures","Storage [ha.m]","Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ farm ponds","Storage 
ha-m","other structures","Storage [ha.m]","Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ form ponds","Storage 
ha-m","other structures","Storage [ha.m]"
1,"08_C_58_47","PKM_C_G&M_Kothapatnam","Aluru",2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"08_C_58_47","PKM_C_G&M_Kothapatnam","Padarthi",2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"08_C_58_47","PKM_C_G&M_Kothapatnam","Kothapatnam ",2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"08_C_58_47","PKM_C_G&M_Kothapatnam","Rajupalem",1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"08_C_58_47","PKM_C_G&M_Kothapatnam","P.kandrika",2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"08_C_58_47","PKM_C_G&M_Kothapatnam","Ethamukkala",2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"08_C_58_47","PKM_C_G&M_Kothapatnam","Madanuru",1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"08_C_56_17","PKM_C_Romperu_Ballikurava","Vemavaram",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"08_C_56_17","PKM_C_Romperu_Ballikurava","Konidena",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"08_C_56_17","PKM_C_Romperu_Ballikurava","Ballikurava ",3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"08_C_56_17","PKM_C_Romperu_Ballikurava","Chennupalli",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"08_C_56_17","PKM_C_Romperu_Ballikurava","Muktheswaram",1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"08_C_56_17","PKM_C_Romperu_Ballikurava","Guntupalli",1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"08_C_56_17","PKM_C_Romperu_Ballikurava","Vallapalli",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Garlapadu",2,0.4,2,0.2,12,0.12,12,0.6,10,0.1,,,,,,,,,,,,,,,,,,,,
16,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Gadiyapudi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Mallavaram",1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Venkateswarapuram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Doddavaram ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Nelaturu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Maddipadu ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Lingamguntla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Ilapavuluru",2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Rangasaipuram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Pallamalli",2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Nekunambad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Chandrapadu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","T.Gudipadu",2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Bandlamudi",3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","P. Naidupalem",2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Cheemakurthy",8,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","K.Agraharam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Yerragudipadu",5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Manchikalapadu",4,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
