Sr.no,,,Village name,T.Area (ha),Watershed command area ,,,,Watershed Non command Area,,,,Watershed poor quality Area,,,
,Water shed code,Watershed name,,,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total
1,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,G.K.VALASA,114,0,0,0,0,114,0,0,114,,,,0
2,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,KORAPAM,286,0,0,0,0,286,0,0,286,,,,0
3,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,M.K.VALASA,193,0,0,0,0,193,0,0,193,,,,0
4,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,NIMMATHORLAVADA,315,0,0,0,0,315,0,0,315,,,,0
5,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,VEDULLAVALASA,291,0,0,0,0,291,0,0,291,,,,0
6,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,THURAKAPETA,66,0,0,0,0,66,0,0,66,,,,0
7,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,DANDEMVALASA,132,0,0,0,0,132,0,0,132,,,,0
8,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,CHINTALAPETA,116,0,0,0,0,116,0,0,116,,,,0
9,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,BOBBILIPETA,202,0,,0,0,202,0,,202,,,,0
10,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,SRINIVASACHARYULUPETA,68,0,0,0,0,68,0,0,68,,,,0
11,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,AKKULAPETA,168,0,0,0,0,168,0,0,168,,,,0
12,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,MALLUSASTRULUPETA,59,0,0,0,0,59,0,0,59,,,,0
13,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,SRIRAMVALASA(UI),102,102,0,0,102,0,0,0,0,,,,0
14,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,HANUMANTHAPURAM,117,0,0,0,0,117,0,0,117,,,,0
15,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,KATYACHARYULAPETA,127,0,0,0,0,127,0,0,127,,,,0
16,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,KORLAKOTA,733,0,0,0,0,733,0,0,733,,,,0
17,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,KOTHAVALASA,316,0,0,0,0,316,0,0,316,,,,0
