S.No,Watershed code,Watershed Name, Village Name,Length ,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor, No.of operating days of canal,, Recharge from canal (ha.m),,Annual Recharge,,,,,,,,,,,,,,
1,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,G.K.VALASA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180010101,001,G.K.VALASA
2,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,KORAPAM,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180020102,002,KORAPAM
3,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,M.K.VALASA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180030103,003,M.K.VALASA
4,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,NIMMATHORLAVADA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180040103,004,NIMMATHORLAVADA
5,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,VEDULLAVALASA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180050104,005,VEDULLAVALASA
6,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,THURAKAPETA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180060105,006,THURAKAPETA
7,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,DANDEMVALASA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180070106,007,DANDEMVALASA
8,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,CHINTALAPETA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180080106,008,CHINTALAPETA
9,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,BOBBILIPETA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180090107,009,BOBBILIPETA
10,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,SRINIVASACHARYULUPETA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180200108,020,SRINIVASACHARYULUPETA
