GW Watershed Name,Iwm basin names,GW Village Name,iwm village names
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,AHOBALACHARYULAPETA,Ahobalacharyula Peta
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,AKKULAPETA,Akkulapeta
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,AMUDALAVALASA (M),Amadalavalasa-2
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,ANNAMPETA,Annampeta
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,APPALAPATNAYAKUNIPETA,Appalapatnayakuni Peta
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,ARASAVILLI(RURAL),Arasavilli (Rural)
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,BALAGA (RURAL),Balaga (Rural)
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,BOBBILIPETA,Bobbilipeta
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,BODDAPADU,Boddapadu-4
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,BURJA,Burja-2
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,C,CHINTADA-3
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,CHALIKAM,Chalikam
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,CHEEDIVALASA,Cheedivalasa
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,CHINTALAPETA,Chintalapeta
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,DANDEMVALASA,Dandemvalasa
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,DEVANAPURAM,Devanapuram-1
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,DUSI,Dusi
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,G.K.PURAM,Gopalakrishnarangarayapuram-1
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,G.K.VALASA,Garimellakotha Valasa
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,GANGAMPETA,Gangampeta
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,GOPIDEVIPETA,Gopidevipeta
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,GUDEM,Gudem-1
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,GUDIGEDDA V.PURAM(UI),Gudigeddavenkata Puram
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,GUTTAVALLI,Guttavalli
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,HANUMANTHAPURAM,Hanumanthapuram-2
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,IPPILI,Ippili
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,ISSADIVALASA (UI),Issadivalasa
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,KAKANDYAM,Kakandyam
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,KALAPAPTHI,Kalaparthi
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,KALIVARAM,Kalivaram
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,KALLEPALLE,Kallepalle
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,KANTLAM,Kantlam
Skl_F_Nagavali_Nagavali_E_Srikakulam,SKL_F_06_SRIKAKULAM-MB,KANUGULAVALASA,Kanugulavalasa
