"Sr.no",,,"village name","No. M.I.Tanks command area",,"Number of M.I.Tanks [Non command area]",,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,"Watershed code ","GW watershed name",,"Number","spread ha","Number","spread ha","Number","spread ha"
1,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","G.K.VALASA",,0,,0,,
2,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","KORAPAM",,0,,0,,
3,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","M.K.VALASA",,0,,0,,
4,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","NIMMATHORLAVADA",,0,,0,,
5,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","VEDULLAVALASA",,0,,0,,
6,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","THURAKAPETA",,0,,0,,
7,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","DANDEMVALASA",,0,5,50.8,,
8,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","CHINTALAPETA",,0,3,16.8,,
9,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","BOBBILIPETA",,0,8,79.6,,
10,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","SRINIVASACHARYULUPETA",,0,8,72.4,,
11,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","AKKULAPETA",,0,22,96,,
12,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","MALLUSASTRULUPETA",,0,,0,,
13,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","SRIRAMVALASA(UI)",5,65.6,,0,,
14,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","HANUMANTHAPURAM",,0,3,50.4,,
15,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","KATYACHARYULAPETA",,0,3,40.4,,
16,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","KORLAKOTA",,0,4,83.2,,
17,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","KOTHAVALASA",,0,5,42.4,,
18,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","THOGARAGAM",,0,,0,,
19,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","KALIVARAM",,0,,0,,
20,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","KANUGULAVALASA",8,86,,0,,
21,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","VANAJANGI",9,52.8,,0,,
22,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","VANAJANGIPETA",,0,,0,,
23,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","DUSI",,0,,0,,
24,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","AMUDALAVALASA (M)",,0,6,84.4,,
25,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","APPALAPATNAYAKUNIPETA",,0,1,4,,
26,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","GOPIDEVIPETA",,0,,0,,
27,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","SOMIDAVALASA",,0,,0,,
28,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","ISSADIVALASA (UI)",,0,,0,,
29,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","KORIKANAKURMIRAJAPURAM",,0,,0,,
30,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","BURJA",,0,4,20,,
31,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","VAVAM",,0,,0,,
32,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","NEELADEVIPURAM",,0,3,10.4,,
33,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","TURUPURAMABHADRARAJUPET",,0,,0,,
34,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","NARENDRAPURAM",,0,,0,,
35,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","PENDYALALAKSHIMIDEVIPET",,0,,0,,
36,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","SANKURADA",,0,,0,,
37,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","THOTAVADA",,0,,0,,
38,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","THIMADAM",,0,,0,,
39,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","ANNAMPETA",,0,,0,,
40,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","T.D.R.RAJUPETA",,0,3,13.6,,
41,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","NEELAKANTAPURAM",,0,,0,,
42,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","DEVANAPURAM",,0,,0,,
43,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","SINGANNAPALEM",,0,,0,,
44,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","CHEEDIVALASA",1,7.2,,0,,
45,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","KOLLIVALASA",4,34,,0,,
46,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","GANGAMPETA",,0,2,40.8,,
47,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","MAMIDIVALASA",,0,,0,,
48,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","KAKANDYAM",,0,,0,,
49,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","LANKAM",,0,,0,,
50,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","LABHAM",,0,,0,,
51,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","LATCHAYYAPETA",,0,,0,,
52,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","KANTLAM",7,64.4,,0,,
53,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","O.V.PETA",,0,7,124.8,,
54,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","AHOBALACHARYULAPETA",,0,6,36.18,,
55,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","UPPINIVALASA",,0,17,111.6,,
56,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","VYKUNTAPURAM",9,65.6,,0,,
57,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","GUDIGEDDA V.PURAM(UI)",,0,,0,0,0
58,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","BODDAPADU",,0,6,48.4,,
59,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","MAHAJANAMVARIPETA (UI)",,0,4,27.2,,
60,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","CHALIKAM",,0,32,380.8,,
61,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","G.K.PURAM",6,37.2,,0,,
62,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","KALAPAPTHI",,0,12,110.4,,
63,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","GUTTAVALLI",,0,,0,,
64,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","NELLIPARTHI",,0,,0,,
65,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","C",5,135.6,,0,,
66,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","VADADA",,0,,0,,
