,,,Command area,,0.8,,,,,,,,,,Non-Command area,,,,,,,,,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
1,Skl_F_Nagavali_Nagavali_E_Srikakulam,DW,2160,159,75,120,480,225,120,240,0,,120,240,2159.92,224,75,120,480,,120,240,0,,120,240,,,,,,,,,,,,
2,Skl_F_Nagavali_Nagavali_E_Srikakulam,DW+PS/DCB,2400,5,75,120,2400,5.8141862519,120,240,0,,120,240,3199.84,209,75,120,2400,,120,240,0,,120,240,,,,,,,,,,,,
3,Skl_F_Nagavali_Nagavali_E_Srikakulam,BWs,6400,0,75,120,2880,442,120,240,0,,120,240,6400.24,0,75,120,2880,,120,240,0,,120,240,,,,,,,,,,,,
4,Skl_F_Nagavali_Nagavali_E_Srikakulam,STW,6400,159,75,120,2880,18.37203371,120,240,0,,120,240,6400.24,483,75,120,2880,,120,240,0,,120,240,,,,,,,,,,,,
5,Skl_F_Nagavali_Nagavali_E_Srikakulam,MTW,6400,0,75,120,0,,120,240,0,,120,240,6400.24,0,75,120,0,,120,240,0,,120,240,,,,,,,,,,,,
6,Skl_F_Nagavali_Nagavali_E_Srikakulam,Deep TW,6400,0,75,120,0,,120,240,0,,120,240,6400.24,0,75,120,0,,120,240,0,,120,240,,,,,,,,,,,,
7,Skl_F_Nagavali_Nagavali_E_Srikakulam,Filter Points,6400,82,75,120,0,,120,240,0,,120,240,6400.24,0,75,120,0,,120,240,0,,120,240,,,,,,,,,,,,
8,Skl_F_Vamsadhara_Vamsadhara_E__Narasannapeta,DW,2160,1344,70,110,480,819,120,240,0,,120,240,2160,2154,75,110,480,384,120,240,0,,120,240,,,,,,,,,,,,
9,Skl_F_Vamsadhara_Vamsadhara_E__Narasannapeta,DW+PS/DCB,2400,72,70,110,2400,92,120,240,0,,120,240,2400,0,75,110,2400,25,120,240,0,,120,240,,,,,,,,,,,,
10,Skl_F_Vamsadhara_Vamsadhara_E__Narasannapeta,BWs,5600,41,75,110,2880,,120,240,0,,120,240,5600,36,75,110,2880,,120,240,0,,120,240,,,,,,,,,,,,
11,Skl_F_Vamsadhara_Vamsadhara_E__Narasannapeta,STW,5600,0,75,110,0,,120,240,6400,,120,240,5600,62,75,110,0,,120,240,0,,120,240,,,,,,,,,,,,
12,Skl_F_Vamsadhara_Vamsadhara_E__Narasannapeta,MTW,5600,0,75,110,0,,120,240,0,,120,240,5600,0,75,110,0,,120,240,0,,120,240,,,,,,,,,,,,
13,Skl_F_Vamsadhara_Vamsadhara_E__Narasannapeta,Deep TW,5600,0,75,110,0,,120,240,0,,120,240,5600,0,75,110,0,,120,240,0,,120,240,,,,,,,,,,,,
14,Skl_F_Vamsadhara_Vamsadhara_E__Narasannapeta,Filter Points,5600,1843,75,110,0,,120,240,0,,120,240,5600,131,75,110,0,,120,240,0,,120,240,,,,,,,,,,,,
15,Skl_F_Nagavali_Relligedda_Rajam,DW,800,1374,75,110,480,377,120,240,800,,120,240,800,1374,40,90,480,,120,240,2000,,120,240,,,,,,,,,,,,
16,Skl_F_Nagavali_Relligedda_Rajam,DW+PS/DCB,1200,148,75,110,480,23.7334235453,120,240,2000,,120,240,800,148,40,90,480,,120,240,2000,,120,240,,,,,,,,,,,,
17,Skl_F_Nagavali_Relligedda_Rajam,BWs,5600,0,75,110,2400,1006,120,240,4000,,120,240,1200,0,40,90,2400,,120,240,4000,,120,240,,,,,,,,,,,,
18,Skl_F_Nagavali_Relligedda_Rajam,STW,5600,535,75,110,2880,74,120,240,4000,,120,240,5600,535,75,110,2880,,120,240,4000,,120,240,,,,,,,,,,,,
19,Skl_F_Nagavali_Relligedda_Rajam,MTW,5600,0,75,110,2880,,120,240,4000,,120,240,5600,0,75,110,2880,,120,240,4000,,120,240,,,,,,,,,,,,
20,Skl_F_Nagavali_Relligedda_Rajam,Deep TW,5600,0,75,110,5760,,120,240,4000,,120,240,5600,0,75,110,5760,,120,240,4000,,120,240,,,,,,,,,,,,
21,Skl_F_Nagavali_Relligedda_Rajam,Filter Points,5600,0,75,110,5760,,120,240,8000,,120,240,5600,0,75,110,5760,,120,240,8000,,120,240,,,,,,,,,,,,
22,Skl_F_Nagavali_Suvarnamukhi_Vangara,DW,2160,798.4088436119,40,90,480,472,120,240,0,,120,240,2160,472,40,90,480,,120,240,0,,120,240,,,,,,,,,,,,
23,Skl_F_Nagavali_Suvarnamukhi_Vangara,DW+PS/DCB,2400,0,40,90,2400,22.4690041906,120,240,0,,120,240,2400,22.4690041906,40,90,2400,,120,240,0,,120,240,,,,,,,,,,,,
