"S.No","Watershed code","Watershed Name"," Village Name","Artificial recharge structure [comand area]",,,,,,,,,,"Artificial recharge structure [Non-comand area]",,,,,,,,,,"Artificial recharge structure [Poor-comand area]",,,,,,,,,
,,,,"Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ farm ponds","Storage 
ha-m","other structures","Storage [ha.m]","Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ farm ponds","Storage 
ha-m","other structures","Storage [ha.m]","Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ form ponds","Storage 
ha-m","other structures","Storage [ha.m]"
1,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","G.K.VALASA",,0,,,,0,,,,0,1,0.2,,,7,0.7,,,120,12,,,,,,,,,,
2,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","KORAPAM",,0,,,,0,,,,0,,0,,,,0,,,,0,,,,,,,,,,
3,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","M.K.VALASA",,0,,,,0,,,,0,,0,,,1,0.1,,,,0,,,,,,,,,,
4,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","NIMMATHORLAVADA",,0,,,,0,,,,0,,0,,,2,0.2,,,,0,,,,,,,,,,
5,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","VEDULLAVALASA",,0,,,,0,,,,0,8,1.6,,,8,0.8,,,,0,,,,,,,,,,
6,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","THURAKAPETA",,0,,,,0,,,,0,12,2.4,2,0.2,22,2.2,6,0.06,6,0.6,,,,,,,,,,
7,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","DANDEMVALASA",,0,,,,0,,,,0,1,0.2,,,,0,,,,0,,,,,,,,,,
8,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","CHINTALAPETA",,0,,,,0,,,,0,6,1.2,,,2,0.2,,,100,10,,,,,,,,,,
9,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","BOBBILIPETA",,0,,,,0,,,,0,1,0.2,,,,0,,,,0,,,,,,,,,,
10,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","SRINIVASACHARYULUPETA",,0,,,,0,,,,0,,0,,,2,0.2,,,,0,,,,,,,,,,
11,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","AKKULAPETA",,0,,,,0,,,,0,2,0.4,,,,0,,,,0,,,,,,,,,,
12,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","MALLUSASTRULUPETA",,0,,,,0,,,,0,,0,,,,0,,,,0,,,,,,,,,,
13,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","SRIRAMVALASA(UI)",4,0.8,,,,0,,,,0,,0,,,,0,,,,0,,,,,,,,,,
14,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","HANUMANTHAPURAM",,0,,,,0,,,,0,,0,,,,0,,,,0,,,,,,,,,,
15,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","KATYACHARYULAPETA",,0,,,,0,,,,0,,0,,,,0,,,,0,,,,,,,,,,
16,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","KORLAKOTA",,0,,,,0,,,,0,,0,,,,0,,,,0,,,,,,,,,,
17,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","KOTHAVALASA",,0,,,,0,,,,0,,0,,,,0,,,,0,,,,,,,,,,
18,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","THOGARAGAM",,0,,,,0,,,,0,,0,,,,0,,,,0,,,,,,,,,,
19,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","KALIVARAM",,0,,,,0,,,,0,,0,,,,0,,,,0,,,,,,,,,,
20,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","KANUGULAVALASA",2,0.4,,,,0,,,,0,,0,,,,0,,,,0,,,,,,,,,,
21,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","VANAJANGI",,0,,,,0,,,,0,,0,,,,0,,,,0,,,,,,,,,,
22,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","VANAJANGIPETA",,0,,,,0,,,,0,,0,,,,0,,,,0,,,,,,,,,,
23,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","DUSI",,0,,,,0,,,,0,,0,,,,0,,,,0,,,,,,,,,,
24,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","AMUDALAVALASA (M)",,0,,,,0,,,,0,1,0.2,,,,0,,,,0,,,,,,,,,,
25,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","APPALAPATNAYAKUNIPETA",,0,,,,0,,,,0,1,0.2,,,2,0.2,,,,0,,,,,,,,,,
26,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","GOPIDEVIPETA",,0,,,,0,,,,0,1,0.2,,,16,1.6,,,,0,,,,,,,,,,
27,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","SOMIDAVALASA",,0,,,,0,,,,0,5,1,,,11,1.1,,,,0,,,,,,,,,,
28,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","ISSADIVALASA (UI)",,0,,,,0,,,,0,,0,,,,0,,,,0,,,,,,,,,,
