Sr.no,,,Village name,T.Area (ha),Watershed command area ,,,,Watershed Non command Area,,,,Watershed poor quality Area,,,
,Water shed code,Watershed name,,,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total
1,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Allikhanudupalem,190,190,0,0,190,0,0,0,0,0,0,0,0
2,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Oderu,484,434,50,0,484,0,0,0,0,0,0,0,0
3,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Govada,1131,931,200,0,1131,0,0,0,0,0,0,0,0
4,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Cheemanapalle,647,567,80,0,647,0,0,0,0,0,0,0,0
5,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Rayapurajupeta,761,761,0,0,761,0,0,0,0,0,0,0,0
6,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Ambherupuram,135,135,0,0,135,0,0,0,0,0,0,0,0
7,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Venkannapalem,404,0,0,0,0,404,0,0,404,0,0,0,0
8,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Duddupalem,643,0,0,0,0,643,0,0,643,0,0,0,0
9,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Kottapalle,355,205,150,0,355,0,0,0,0,0,0,0,0
10,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Bhogapuram,376,0,0,0,0,276,100,0,376,0,0,0,0
11,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Muddurti,1022,0,0,0,0,1022,0,0,1022,0,0,0,0
12,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Gandhavaram,605,0,0,0,0,555,50,0,605,0,0,0,0
13,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Adduru,1796,0,0,0,0,1796,0,0,1796,0,0,0,0
14,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Chouduvada,1234,54,0,0,54,880,300,0,1180,0,0,0,0
15,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Garugubilli,290,0,0,0,0,290,0,0,290,0,0,0,0
16,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Gullepalle,466,0,0,0,0,291,175,0,466,0,0,0,0
17,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Pydammapeta,451,0,0,0,0,451,0,0,451,0,0,0,0
18,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Gondupalem,699,0,0,0,0,524,175,0,699,0,0,0,0
19,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Kintada,1090,0,0,0,0,910,180,0,1090,0,0,0,0
20,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,K.Kotapadu,407,0,0,0,0,407,0,0,407,0,0,0,0
21,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Singannadorapalem,667,0,0,0,0,667,0,0,667,0,0,0,0
22,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Dalivalasa,591,0,0,0,0,591,0,0,591,0,0,0,0
23,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Medicherla,662,0,0,0,0,662,0,0,662,0,0,0,0
24,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Surreddipalem,197,0,0,0,0,197,0,0,197,0,0,0,0
25,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Gavarapalem,1020,0,0,0,0,720,300,0,1020,0,0,0,0
26,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Jagannadhapuram,373,0,0,0,0,373,0,0,373,0,0,0,0
27,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Koruvada,360,0,0,0,0,360,0,0,360,0,0,0,0
28,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Kavi.Kondala Agraharam,129,129,0,0,129,0,0,0,0,0,0,0,0
29,03_F_14_89,VSP_F_14_C_SARADA-5_KOTAPADU,Mamidipalem,605,605,0,0,605,0,0,0,0,0,0,0,0
30,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Seemunapalle,581,581,0,0,581,0,0,0,0,0,0,0,0
31,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Deekshitula Agraharam,144,144,0,0,144,0,0,0,0,0,0,0,0
32,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Ramayogi Agraharam,259,259,0,0,259,0,0,0,0,0,0,0,0
33,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Rongalinaidupalem,311,311,0,0,311,0,0,0,0,0,0,0,0
34,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Rajakoduru,624,624,0,0,624,0,0,0,0,0,0,0,0
35,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Pudi,253,0,0,0,0,253,0,0,253,0,0,0,0
36,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Moturupalem,219,0,0,0,0,219,0,0,219,0,0,0,0
37,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Panchadarla,783,683,100,0,783,0,0,0,0,0,0,0,0
38,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Haripuram,399,0,0,0,0,399,0,0,399,0,0,0,0
39,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Gokivada,389,0,0,0,0,289,100,0,389,0,0,0,0
40,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Mulajampa,285,0,0,0,0,235,50,0,285,0,0,0,0
41,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Kavlapalli,910,0,0,0,0,510,400,0,910,0,0,0,0
42,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,RAMBILLI,1484,0,0,0,0,1484,0,0,1484,0,0,0,0
43,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Seethapalem,157,0,0,0,0,157,0,0,157,0,0,0,0
44,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Zirayati Chintuva,429,0,0,0,0,429,0,0,429,0,0,0,0
45,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Gorapudi,273,0,0,0,0,253,20,0,273,0,0,0,0
46,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Velchuru,509,0,0,0,0,409,100,0,509,0,0,0,0
47,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Vijayarampuram,109,0,0,0,0,85,24,0,109,0,0,0,0
48,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Lalam Koduru,922,0,0,0,0,922,0,0,922,0,0,0,0
49,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Manyapuchintuva,263,0,0,0,0,263,0,0,263,0,0,0,0
50,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Krishnapalem,382,0,0,0,0,382,0,0,382,0,0,0,0
51,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Anandapuram,222,0,0,0,0,222,0,0,222,0,0,0,0
52,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Chatametta,261,0,0,0,0,261,0,0,261,0,0,0,0
53,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Gurjapalem,360,0,0,0,0,360,0,0,360,0,0,0,0
54,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Nakkapalem,95,0,0,0,0,95,0,0,95,0,0,0,0
55,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Chebrolu Veerappakondra,269,0,0,0,0,269,0,0,269,0,0,0,0
56,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Bhogapuram,208,0,0,0,0,158,50,0,208,0,0,0,0
57,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Dibbapalem,360,0,0,0,0,360,0,0,360,0,0,0,0
58,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Duppituru,885,0,0,0,0,885,0,0,885,0,0,0,0
59,03_F_14_25,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Veduruvada,881,0,0,0,0,881,0,0,881,0,0,0,0
60,03_F_14_26,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Janguluru,279,0,0,0,0,279,0,0,279,0,0,0,0
61,03_F_14_27,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Marturu,262,0,0,0,0,262,0,0,262,0,0,0,0
62,03_F_14_28,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Chodapalli,802,0,0,0,0,802,0,0,802,0,0,0,0
63,03_F_14_29,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Khajipalem,149,149,0,0,149,0,0,0,0,0,0,0,0
64,03_F_14_30,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Jaggampeta,182,182,0,0,182,0,0,0,0,0,0,0,0
65,03_F_14_31,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Haripalem,195,145,50,0,195,0,0,0,0,0,0,0,0
66,03_F_14_32,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Timmarajupeta,156,156,0,0,156,0,0,0,0,0,0,0,0
67,03_F_14_33,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Pedapadu,272,272,0,0,272,0,0,0,0,0,0,0,0
68,03_F_14_34,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Vupparavaram,422,422,0,0,422,0,0,0,0,0,0,0,0
69,03_F_14_35,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,M.Jagannadhapuram,393,393,0,0,393,0,0,0,0,0,0,0,0
70,03_F_14_36,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Yerravaram,310,310,0,0,310,0,0,0,0,0,0,0,0
71,03_F_14_37,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Pudimadaka,736,0,0,0,0,736,0,0,736,0,0,0,0
72,03_F_14_38,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Jogannapalem,235,0,0,0,0,190,45,0,235,0,0,0,0
73,03_F_14_39,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Tallapalem,54,0,0,0,0,54,0,0,54,0,0,0,0
74,03_F_14_40,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Uddapalem,125,0,0,0,0,125,0,0,125,0,0,0,0
75,03_F_14_41,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Dosuru,1198,0,0,0,0,1198,0,0,1198,0,0,0,0
