,,,,Command Area,,Non command Area,,Poor quality area,,
,,,,Residential,,Residential,,Residential,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total
1,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Allikhanudupalem,10,1,0,0,0,0,11
2,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Oderu,7,1,0,0,0,0,8
3,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Govada,39,2,0,0,0,0,41
4,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Cheemanapalle,42,3,0,0,0,0,45
5,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Rayapurajupeta,37,5,0,0,0,0,42
6,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Ambherupuram,32,3,0,0,0,0,35
7,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Venkannapalem,0,0,24,2,0,0,26
8,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Duddupalem,0,0,14,2,0,0,16
9,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Kottapalle,3,0,0,0,0,0,3
10,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Bhogapuram,0,0,20,1,0,0,21
11,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Muddurti,0,0,20,2,0,0,22
12,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Gandhavaram,0,0,16,3,0,0,19
13,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Adduru,0,0,37,3,0,0,40
14,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Chouduvada,0,0,58,6,0,0,64
15,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Garugubilli,0,0,14,1,0,0,15
16,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Gullepalle,0,0,16,3,0,0,19
17,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Pydammapeta,0,0,9,2,0,0,11
18,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Gondupalem,0,0,44,2,0,0,46
19,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Kintada,0,0,39,9,0,0,48
20,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,K.Kotapadu,0,0,37,4,0,0,41
21,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Singannadorapalem,0,0,26,3,0,0,29
22,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Dalivalasa,0,0,18,1,0,0,19
23,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Medicherla,0,0,18,3,0,0,21
24,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Surreddipalem,0,0,21,2,0,0,23
25,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Gavarapalem,0,0,11,2,0,0,13
26,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Jagannadhapuram,0,0,0,0,0,0,0
27,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Koruvada,0,0,17,2,0,0,19
28,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Kavi.Kondala Agraharam,10,1,0,0,0,0,11
29,03_F_14_89,VSP_F_14_C_SARADA-5_KOTAPADU,Mamidipalem,23,3,0,0,0,0,26
30,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Seemunapalle,0,0,0,0,0,0,0
31,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Deekshitula Agraharam,6,1,0,0,0,0,7
32,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Ramayogi Agraharam,14,1,0,0,0,0,15
33,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Rongalinaidupalem,14,2,0,0,0,0,16
34,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Rajakoduru,18,2,0,0,0,0,20
35,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Pudi,0,0,17,2,0,0,19
36,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Moturupalem,0,0,0,1,0,0,1
37,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Panchadarla,26,2,0,0,0,0,28
38,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Haripuram,0,0,24,2,0,0,26
39,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Gokivada,0,0,18,2,0,0,20
40,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Mulajampa,0,0,10,2,0,0,12
41,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Kavlapalli,0,0,0,0,0,0,0
42,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,RAMBILLI,0,0,50,7,0,0,57
