Gw Watershed name,Iwm basin name,Gw Village name,iwm village 
VSP_E_27_NC_SABARI-4_PEDABAYALU,VSP_E_27_SABARI-4_P BAYALU_AGENCY-MB,Laxmipuram,Laxmipuram  Agrm.
VSP_E_27_NC_SABARI-5_M.PUTTI,VSP_E_27_SABARI-5_M PUTTU_AGENCY-MB,Laxmipuram,Laxmipuram-7
VSP_E_27_NC_SABARI-5_M.PUTTI,VSP_E_27_SABARI-5_M PUTTU_AGENCY-MB,Laxmipuram,Laxmipuram-8
VSP_E_27_NC_SABARI-6_PADERU,VSP_E_27_SABARI-6_PADERU_AGENCY-MB,A.Bandaveedhi,A.Bandaveedhi
VSP_F_16_NC_TANDAVA-3_NATHAVARAM,VSP_F_16_ TANDAVA-3_NATAVARAM-MB,A.K.AGRAHARAM,A.K. Agraharam
VSP_F_14_C_SARADA-5_KOTAPADU,VSP_F_14_SARADA-5_KOTAPADU-MB,Allikhanudupalem,A.K. Palem
VSP_E_27_NC_SABARI-5_M.PUTTI,VSP_E_27_SABARI-5_M PUTTU_AGENCY-MB,A.Kotturu,A.Kotturu
VSP_E_27_NC_SABARI-2_CHINTAPALLI,VSP_E_27_SABARI-2_CHINTAPLLI_ AGENCY-MB,Adagarapalle,Adagarapalle
VSP_F_16_NC_TANDAVA-4_K.AGRAHARAM,VSP_F_16_TANDAVA-4_K.AGRAHARAM-MB,Adakula,Adakula
VSP_E_27_NC_SABARI-5_M.PUTTI,VSP_E_27_SABARI-5_M PUTTU_AGENCY-MB,Adalaput,Adalaput
VSP_E_27_NC_SABARI-5_M.PUTTI,VSP_E_27_SABARI-5_M PUTTU_AGENCY-MB,Adarladi,Adarladi
VSP_F_10_NC_GOSTHANI_1_BORRA_AGENCY,VSP_F_10_GOSTANI_ BORRA-MB,Adaru,Adaru-2
VSP_F_12_NC_NARAVA-1_SABBAVARAM,VSP_F_12_NARAVA-1   SABBAVARAM-MB,Ward No 39,ADAVIVARAM
VSP_F_12_NC_NARAVA-1_SABBAVARAM,VSP_F_12_NARAVA-1   SABBAVARAM-MB,Ward No72,ADAVIVARAM
VSP_F_14_NC_SARADA-8_KASIMKOTA,VSP_F_14_SARADA-8_KASIMKOTA-MB,Addam,Addam
VSP_F_15_C_VARAHA-SARPA_RAVIKAMATAM,VSP_F_15_VARAHA-SARPA_RAVIKAMATAM-MB,Addasara,Addasaram
VSP_F_14_NC_SARADA-2_PEDAKOTA,VSP_F_14_SARADA-2_PEDAKOTA_AGENCY-MB,Addategela,Addategela
VSP_F_14_C_SARADA-12_GADIRAI,VSP_F_14_ SARADA-12_GADIRAI-MB,Addulu,Addulu
VSP_E_27_NC_SABARI-7_HUKUMPETA,VSP_E_27_SABARI-7_HUKUMPETA_ AGENCY-MB,Addumanda,Addumanda
VSP_F_09_NC_CMPVT_GARUGUBILLI_PART-VZM,VSP_F_9_CHAMPAVATHI_GARUGUBILLI_AGENCY-MB,Addumanda,Addumanda-1
VSP_F_14_C_SARADA-5_KOTAPADU,VSP_F_14_SARADA-5_KOTAPADU-MB,Adduru,Adduru
VSP_F_11_NC_MMD_ANANDAPURAM,VSP_F_11_MMD_ ANANDAPURAM-MB,Ward No 1,Adiviram
VSP_F_12_NC_NARAVA-1_SABBAVARAM,VSP_F_12_NARAVA-1   SABBAVARAM-MB,Ward No 34,Adiviram
VSP_F_12_NC_NARAVA-1_SABBAVARAM,VSP_F_12_NARAVA-1   SABBAVARAM-MB,Ward No 37,Adiviram
VSP_E_27_NC_SABARI-5_M.PUTTI,VSP_E_27_SABARI-5_M PUTTU_AGENCY-MB,Adugulaputtu,Adugula puttu
VSP_F_14_NC_SARADA-10_CHEEDIKADA,VSP_F_14_SARADA-10_ CHEEDIKADA-MB,Adaviagraharam,Advi Agraharam
VSP_E_27_NC_SABARI-6_PADERU,VSP_E_27_SABARI-6_PADERU_AGENCY-MB,Agampadu,Agampadu
VSP_E_27_NC_SABARI-4_PEDABAYALU,VSP_E_27_SABARI-4_P BAYALU_AGENCY-MB,Agaruveedhi,Agaru veedhi
VSP_F_16_NC_TANDAVA-7_RAMARAJUPALEM,VSP_F_16_TANDAVA-7_RAMARAJUPALEM_ AGENCY-MB,A.L.PURAM,Agency Laxmipuram
VSP_E_27_NC_SABARI-1_G.K.VEEDHI,VSP_E_27_SABARI-1_ GKVEEDHI_AGENCY-MB,Agraharam,Agraharam-4
VSP_F_16_NC_TANDAVA-7_RAMARAJUPALEM,VSP_F_16_TANDAVA-7_RAMARAJUPALEM_ AGENCY-MB,Agraharam,Agraharam-6
VSP_F_16_NC_TANDAVA-8_KOYYURU,VSP_F_16_TANDAVA-8_KOYYURU-MB,Agraharam,Agraharam-5
VSP_14_F_NC_SARADA-9_BUTCHAYYAPETA,VSP_F_14_SARADA-9_BUTCHAYYAPETA-MB,Itampudi,Aithampudi
VSP_F_12_NC_NARAVA-1_SABBAVARAM,VSP_F_12_NARAVA-1   SABBAVARAM-MB,Ajanagiri,Ajanagiri
VSP_F_12_NC_NARAVA-1_SABBAVARAM,VSP_F_12_NARAVA-1   SABBAVARAM-MB,Ward No 42,Akkireddipalem
VSP_F_12_NC_NARAVA-1_SABBAVARAM,VSP_F_12_NARAVA-1   SABBAVARAM-MB,Ward No65,Akkireddipalem
VSP_E_27_NC_SABARI-5_M.PUTTI,VSP_E_27_SABARI-5_M PUTTU_AGENCY-MB,Alabeeru,Alabeeru
VSP_E_27_NC_SABARI-4_PEDABAYALU,VSP_E_27_SABARI-4_P BAYALU_AGENCY-MB,Alagam,Alagam
VSP_E_27_NC_SABARI-5_M.PUTTI,VSP_E_27_SABARI-5_M PUTTU_AGENCY-MB,Alamagundam,Alamagundam
VSP_F_14_NC_SARADA-4_DEVARAPALLI,VSP_F_14_ SARADA-4_DEVARAPALLI-MB,A.Bheemavaram,Alamanda Bheemavaram
VSP_F_14_NC_SARADA-4_DEVARAPALLI,VSP_F_14_ SARADA-4_DEVARAPALLI-MB,A.Kothapalli,Alamanda Kothapalle
VSP_F_14_NC_SARADA-4_DEVARAPALLI,VSP_F_14_ SARADA-4_DEVARAPALLI-MB,Alamanda,Alamanda-2
VSP_F_14_NC_SARADA-4_DEVARAPALLI,VSP_F_14_ SARADA-4_DEVARAPALLI-MB,A.Koduru,Alamandakoduru
VSP_E_27_NC_SABARI-5_M.PUTTI,VSP_E_27_SABARI-5_M PUTTU_AGENCY-MB,Allamdiputtu,Allangiputtu
VSP_E_27_NC_SABARI-5_M.PUTTI,VSP_E_27_SABARI-5_M PUTTU_AGENCY-MB,Allamputtu,Allam puttu
VSP_F_14_NC_SARADA-10_CHEEDIKADA,VSP_F_14_SARADA-10_ CHEEDIKADA-MB,Allamputtu,Allamputtu
VSP_E_27_NC_SABARI-6_PADERU,VSP_E_27_SABARI-6_PADERU_AGENCY-MB,Allamputtu,Allam puttu-1
VSP_E_27_NC_SABARI-5_M.PUTTI,VSP_E_27_SABARI-5_M PUTTU_AGENCY-MB,Allangipada,Allangipada
VSP_E_27_NC_SABARI-7_HUKUMPETA,VSP_E_27_SABARI-7_HUKUMPETA_ AGENCY-MB,Allivara,Allivara
VSP_F_14_C_SARADA-11_V.MADUGULA,VSP_F_14_SARADA-11_VMADUGULA-MB,Aluguru,Aluguru
VSP_E_27_NC_SABARI-4_PEDABAYALU,VSP_E_27_SABARI-4_P BAYALU_AGENCY-MB,Amadelu,Amadelu
VSP_E_27_NC_SABARI-5_M.PUTTI,VSP_E_27_SABARI-5_M PUTTU_AGENCY-MB,Amalaguda,Amalaguda
VSP_E_27_NC_SABARI-8_ARAKU VALLEY,VSP_E_27_SABARI-8_ARAKU VALLEY_AGENCY-MB,Amalaguda,Amalaguda-1
VSP_F_15_C_VARAHA-2_NARSIPATNAM,VSP_F_15_VARAHA-2_NARSIPATNAM-MB,Amalapuram,Amalapuram-1
VSP_F_10_NC_GOSTHANI_PADAMANABHAM,VSP_F_10_GOSTANI_ PADMANABHAM-MB,Amanam,Amanam
VSP_E_27_NC_SABARI-5_M.PUTTI,VSP_E_27_SABARI-5_M PUTTU_AGENCY-MB,Ambapada,Ambapada
VSP_E_27_NC_SABARI-5_M.PUTTI,VSP_E_27_SABARI-5_M PUTTU_AGENCY-MB,Ambapada,Ambapada-1
VSP_E_27_NC_SABARI-4_PEDABAYALU,VSP_E_27_SABARI-4_P BAYALU_AGENCY-MB,Ambeerupadu,Ambeeru padu
VSP_F_14_C_SARADA-5_KOTAPADU,VSP_F_14_SARADA-5_KOTAPADU-MB,Ambherupuram,Amberupuram
VSP_F_14_C_SARADA-12_GADIRAI,VSP_F_14_ SARADA-12_GADIRAI-MB,Ambalamamidi,Ambili Mamidi
VSP_F_14_C_SARADA-7_ELAMANCHILI,VSP_F_14_SARADA-7_ELAMANCHILI-MB,Ameersahebpeta,Ameensahebpeta
VSP_E_27_NC_SABARI-2_CHINTAPALLI,VSP_E_27_SABARI-2_CHINTAPLLI_ AGENCY-MB,AmmagariDarakonda,AmmagariDarakonda
