,,,,,,,, Command,,,,Non command,,,,Poor command,,,
SR.NO, GW Watershed name,Geo Specific Yield name,Specific Yield value as %,Rainfall infiltration Factor as %,Transmissivity as %,Storage Coefficient as %,Total area,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total
1,VSP_F_14_C_SARADA-12_GADIRAI,Weathered granite(Weathered granite),2.700,9.90,,,319.06,24.13,0.00,0.00,24.13,85.78,209.15,0.00,294.93,0.00,0.00,0.00,0.00
2,VSP_E_27_NC_SABARI-6_PADERU,Weathered gneiss(Weathered gneiss),2.600,9.30,,,369.01,0.00,0.00,0.00,0.00,161.03,207.98,0.00,369.01,0.00,0.00,0.00,0.00
3,VSP_F_16_NC_TANDAVA-3_NATHAVARAM,Weathered granite(Weathered granite),3.000,10.90,,,153.59,0.00,0.00,0.00,0.00,122.51,31.08,0.00,153.59,0.00,0.00,0.00,0.00
4,VSP_F_14_C_SARADA-5_KOTAPADU,Weathered granite(Weathered granite),3.986,11.64,,,190.85,53.06,4.80,0.00,57.86,120.19,12.80,0.00,132.99,0.00,0.00,0.00,0.00
5,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Weathered gneiss(Weathered gneiss),3.300,7.40,,,492.27,113.38,3.55,0.00,116.93,362.15,13.19,0.00,375.34,0.00,0.00,0.00,0.00
6,VSP_E_27_NC_SABARI-5_M.PUTTI,Weathered gneiss(Weathered gneiss),2.000,7.10,,,434.28,0.00,0.00,0.00,0.00,390.76,43.52,0.00,434.28,0.00,0.00,0.00,0.00
7,VSP_E_27_NC_SABARI-2_CHINTAPALLI,Weathered gneiss(Weathered gneiss),2.400,9.10,,,343.89,0.00,0.00,0.00,0.00,52.15,291.74,0.00,343.89,0.00,0.00,0.00,0.00
8,VSP_F_16_NC_TANDAVA-4_K.AGRAHARAM,Weathered granite(Weathered granite),2.900,10.70,,,174.84,0.00,0.00,0.00,0.00,73.16,101.68,0.00,174.84,0.00,0.00,0.00,0.00
9,VSP_14_NC_SARADA-1_ANANTHAGIRI,Weathered granite(Weathered granite),2.600,9.40,,,309.12,0.00,0.00,0.00,0.00,75.61,233.51,0.00,309.12,0.00,0.00,0.00,0.00
10,VSP_F_12_NC_NARAVA-1_SABBAVARAM,Weathered granite(Weathered granite),3.600,11.00,,,424.28,0.00,0.00,0.00,0.00,418.48,5.80,0.00,424.28,0.00,0.00,0.00,0.00
11,VSP_F_12_NC_NARAVA-2_PENDURTHI,Weathered granite(Weathered granite),2.998,11.00,,,293.33,0.00,0.00,0.00,0.00,289.93,3.40,0.00,293.33,0.00,0.00,0.00,0.00
12,VSP_F_14_NC_SARADA-8_KASIMKOTA,Weathered granite(Weathered granite),3.100,11.10,,,174.62,0.00,0.00,0.00,0.00,165.32,9.30,0.00,174.62,0.00,0.00,0.00,0.00
13,VSP_F_15_C_VARAHA-SARPA_RAVIKAMATAM,Weathered granite(Weathered granite),2.900,10.67,,,350.07,27.12,0.50,0.00,27.62,247.50,74.95,12.89,322.45,0.00,0.00,0.00,0.00
14,VSP_F_14_NC_SARADA-2_PEDAKOTA,Weathered granite(Weathered granite),2.300,7.40,,,135.25,0.00,0.00,0.00,0.00,62.36,72.89,0.00,135.25,0.00,0.00,0.00,0.00
15,VSP_E_27_NC_SABARI-7_HUKUMPETA,Weathered gneiss(Weathered gneiss),2.700,9.30,,,320.71,0.00,0.00,0.00,0.00,192.19,128.52,0.00,320.71,0.00,0.00,0.00,0.00
16,VSP_F_10_NC_GOSTHANI_1_BORRA_AGENCY,Weathered granite(Weathered granite),2.800,9.70,,,301.39,0.00,0.00,0.00,0.00,119.32,182.07,0.00,301.39,0.00,0.00,0.00,0.00
17,VSP_F_11_NC_MMD_ANANDAPURAM,Weathered granite(Weathered granite),4.400,12.00,,,235.56,0.00,0.00,0.00,0.00,228.06,7.50,0.00,235.56,0.00,0.00,0.00,0.00
18,VSP_F_14_NC_SARADA-10_CHEEDIKADA,Weathered granite(Weathered granite),2.700,9.90,,,346.37,0.00,0.00,0.00,0.00,291.49,54.88,0.00,346.37,0.00,0.00,0.00,0.00
19,VSP_E_27_NC_SABARI-4_PEDABAYALU,Weathered gneiss(Weathered gneiss),1.900,6.60,,,442.41,0.00,0.00,0.00,0.00,148.02,294.39,0.00,442.41,0.00,0.00,0.00,0.00
20,VSP_F_13_NC_ANAKAPALLI-1_PARAWADA,Weathered granite(Weathered granite),4.400,11.80,,,199.91,0.00,0.00,0.00,0.00,195.66,4.25,0.00,199.91,0.00,0.00,0.00,0.00
21,VSP_F_13_NC_ANANAKAPALLI-2_PGANTYADA,Weathered granite(Weathered granite),4.900,12.20,,,120.51,0.00,0.00,0.00,0.00,120.51,0.00,0.00,120.51,0.00,0.00,0.00,0.00
22,VSP_F_16_NC_TANDAVA-6_GOLUGONDA,Weathered granite(Weathered granite),2.900,10.70,,,183.54,0.00,0.00,0.00,0.00,92.44,91.10,0.00,183.54,0.00,0.00,0.00,0.00
23,VSP_F_16_NC_TANDAVA-7_RAMARAJUPALEM,Weathered granite(Weathered granite),2.801,10.20,,,265.65,0.00,0.00,0.00,0.00,84.29,181.36,0.00,265.65,0.00,0.00,0.00,0.00
24,VSP_E_27_NC_SABARI-1_G.K.VEEDHI,Weathered gneiss(Weathered gneiss),2.400,8.70,,,332.30,0.00,0.00,0.00,0.00,28.98,303.32,0.00,332.30,0.00,0.00,0.00,0.00
25,VSP_F_16_NC_TANDAVA-8_KOYYURU,Weathered granite(Weathered granite),2.855,10.40,,,266.61,0.00,0.00,0.00,0.00,103.70,162.91,0.00,266.61,0.00,0.00,0.00,0.00
26,VSP_14_F_NC_SARADA-9_BUTCHAYYAPETA,Weathered granite(Weathered granite),3.000,10.90,,,178.26,0.00,0.00,0.00,0.00,160.71,17.55,0.00,178.26,0.00,0.00,0.00,0.00
27,VSP_F_14_NC_SARADA-4_DEVARAPALLI,Weathered granite(Weathered granite),4.800,12.50,,,131.81,0.00,0.00,0.00,0.00,128.61,3.20,0.00,131.81,0.00,0.00,0.00,0.00
28,VSP_F_10_NC_GOSTHANI_PADAMANABHAM,Weathered granite(Weathered granite),7.300,14.40,,,302.41,0.00,0.00,0.00,0.00,282.29,20.12,0.00,302.41,0.00,0.00,0.00,0.00
29,VSP_F_16_NC_TANDAVA-5_GOLUGONDAPETA,Weathered granite(Weathered granite),2.300,8.20,,,42.50,0.00,0.00,0.00,0.00,33.25,9.25,0.00,42.50,0.00,0.00,0.00,0.00
