S.No,Watershed code,Watershed Name, Village Name,Artificial recharge structure [comand area],,,,,,,,,,Artificial recharge structure [Non-comand area],,,,,,,,,,Artificial recharge structure [Poor-comand area],,,,,,,,,
,,,,Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ form ponds,"Storage 
ha-m",other structures,Storage [ha.m]
1,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Oderu,,0,,0,,0,,,0,0,,0,,0,,0,,,0,0,,,,,,,,,,
2,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Govada,,0,,0,,0,,,0,0,,0,,0,4,0.4,,,0,0,,,,,,,,,,
3,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Cheemanapalle,,0,,0,,0,,,0,0,,0,,0,,0,,,0,0,,,,,,,,,,
4,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Rayapurajupeta,,0,,0,,0,,,1,0.01,,0,,0,,0,,,0,0,,,,,,,,,,
5,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Ambherupuram,,0,,0,,0,,,0,0,,0,,0,3,0.3,,,0,0,,,,,,,,,,
6,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Venkannapalem,,0,,0,,0,,,1,0.01,,0,,0,1,0.1,,,0,0,,,,,,,,,,
7,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Duddupalem,,0,,0,,0,,,0,0,,0,,0,,0,,,1,0.01,,,,,,,,,,
8,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Kottapalle,,0,,0,,0,,,0,0,,0,,0,,0,,,3,0.03,,,,,,,,,,
9,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Bhogapuram,,0,,0,,0,,,0,0,,0,,0,,0,,,2,0.02,,,,,,,,,,
10,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Muddurti,,0,,0,,0,,,0,0,,0,,0,,0,,,0,0,,,,,,,,,,
11,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Gandhavaram,,0,,0,,0,,,0,0,,0,,0,,0,,,0,0,,,,,,,,,,
12,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Adduru,,0,,0,,0,,,0,0,,0,,0,1,0.1,,,2,0.02,,,,,,,,,,
13,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Chouduvada,,0,,0,,0,,,0,0,1,0.2,,0,,0,,,1,0.01,,,,,,,,,,
14,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Garugubilli,,0,,0,,0,,,0,0,,0,,0,,0,,,2,0.02,,,,,,,,,,
15,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Gullepalle,,0,,0,,0,,,0,0,,0,,0,,0,,,0,0,,,,,,,,,,
16,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Pydammapeta,,0,,0,8,0.8,,,0,0,,0,,0,8,0.8,,,0,0,,,,,,,,,,
17,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Gondupalem,,0,,0,,0,,,0,0,,0,,0,,0,,,0,0,,,,,,,,,,
18,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Kintada,,0,,0,4,0.4,,,0,0,,0,,0,4,0.4,,,0,0,,,,,,,,,,
19,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,K.Kotapadu,,0,,0,3,0.3,,,0,0,,0,,0,3,0.3,,,0,0,,,,,,,,,,
20,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Singannadorapalem,,0,,0,1,0.1,,,0,0,,0,,0,1,0.1,,,0,0,,,,,,,,,,
21,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Dalivalasa,,0,,0,3,0.3,,,0,0,,0,,0,3,0.3,,,1,0.01,,,,,,,,,,
22,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Medicherla,,0,,0,,0,,,0,0,,0,1,0.1,,0,,,1,0.01,,,,,,,,,,
23,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Surreddipalem,,0,,0,,0,,,0,0,,0,,0,,0,,,0,0,,,,,,,,,,
24,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Gavarapalem,,0,,0,,0,,,0,0,,0,,0,,0,,,0,0,,,,,,,,,,
25,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Jagannadhapuram,,0,,0,,0,,,0,0,,0,,0,3,0.3,,,0,0,,,,,,,,,,
26,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Koruvada,,0,,0,,0,,,0,0,,0,,0,,0,,,0,0,,,,,,,,,,
27,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Kavi.Kondala Agraharam,,0,,0,,0,,,0,0,,0,,0,,0,,,0,0,,,,,,,,,,
28,03_F_14_89,VSP_F_14_C_SARADA-5_KOTAPADU,Mamidipalem,,0,,0,,0,,,,0,,0,,0,,0,,,,0,,,,,,,,,,
29,03_F_14_89,VSP_F_14_C_SARADA-5_KOTAPADU,Mamidipalem,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
30,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Deekshitula Agraharam,,0,,0,,0,,,,0,,0,,0,,0,,,,0,,,,,,,,,,
31,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Ramayogi Agraharam,,0,,0,,0,,2,,0,,0,,0,1,0.1,,,,0,,,,,,,,,,
32,03_F_14_25,VSP_F_14_C_SARADA-5_KOTAPADU,Rongalinaidupalem,,0,,0,,0,,,,0,,0,,0,,0,,,,0,,,,,,,,,,
33,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Rajakoduru,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
34,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Pudi,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
35,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Moturupalem,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
36,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Panchadarla,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
37,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Haripuram,0,0,,0,8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
38,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Gokivada,1,0.2,,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
39,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Mulajampa,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
40,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,Kavlapalli,1,0.2,,0,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
41,03_F_14_24,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,RAMBILLI,0,0,,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
