 ,,,,Irrigated with Groundwater,,,,,,,,,,,,Irrigated with Mi tanks,,,,,,,,,,,,Irrigated with surface water,,,,,,,,,,,
S.No,Watershed code,Watershed Name, Village Name,command area (ha),,,,"Non command area  (ha)
",,,,Poor GW Quality area,,,,command area,,,,"Non command area
 ",,,,Poor GW quality area,,,,command area,,,,"Non command area
 ",,,,Poor GW quality area,,,
,,,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,
,,,,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi
1,05_I_40_01,WG_I_Tammileru_Chintalapudi,Gurubhartlagudem,0,0,0,0,25,0,120,116,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,78,0,0,0,,,,,0,0,0,0
2,05_I_40_02,WG_I_Tammileru_Chintalapudi,Lingagudem,0,0,0,0,22,0,52,150,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
3,05_I_40_03,WG_I_Tammileru_Chintalapudi,Raghavapuram,0,0,0,0,590,4,110,1271,0,0,0,8,0,0,0,0,414,0,0,0,0,0,0,0,125,0,0,0,,,,,0,0,0,0
4,05_I_40_04,WG_I_Tammileru_Chintalapudi,Talarlapalli,0,0,0,0,16,0,8,176,0,0,0,0,10,0,0,0,13,0,0,0,0,0,0,0,48,0,0,0,,,,,0,0,0,0
5,05_I_40_05,WG_I_Tammileru_Chintalapudi,Venkatrayapuram,0,0,0,0,32,0,16,44,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
6,05_I_40_06,WG_I_Tammileru_Chintalapudi,Endapalli,0,0,0,0,57,2,167,822,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,152,0,0,0,,,,,0,0,0,0
7,05_I_40_07,WG_I_Tammileru_Chintalapudi,Yarrampalli,0,0,0,0,165,4,246,379,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,435,0,0,0,,,,,0,0,0,0
