"Sr.no",,,"Village name","T.Area (ha)","Watershed command area ",,,,"Watershed Non command Area",,,,"Watershed poor quality Area",,,
,"Water shed code","Watershed name",,,"Recghare","Hilly","Forest","Total","Recghare","Hilly","Forest","Total","Recghare","Hilly","Forest","Total"
1,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Gurubhartlagudem",305.6,0,0,0,0,305.6,0,0,305.6,0,0,0,0
2,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Lingagudem",377.6,0,0,0,0,377.6,0,0,377.6,0,0,0,0
3,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Raghavapuram",3614.8,0,0,0,0,3614.8,0,0,3614.8,0,0,0,0
4,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Talarlapalli",482.4,82,0,0,82,400,0,0,400,0,0,0,0
5,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Venkatrayapuram",139.2,0,0,0,0,139.2,0,0,139.2,0,0,0,0
6,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Endapalli",2219.2,0,0,0,0,2219.2,0,0,2219.2,0,0,0,0
7,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Yarrampalli",1044.8,45,0,0,45,1000,0,0,1000,0,0,0,0
8,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Amudalachalakka",108.8,0,0,0,0,108.8,0,0,108.8,0,0,0,0
9,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Chintalapudi ",3842.8,0,0,0,0,3842.8,0,0,3842.8,0,0,0,0
10,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Potunuru",440,0,0,0,0,440,0,0,440,0,0,0,0
11,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Mallayagudem",474.4,0,0,0,0,474.4,0,0,474.4,0,0,0,0
12,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Urlagudem",630.8,0,0,0,0,630.8,0,0,630.8,0,0,0,0
13,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Ayyaparajugudem",1302,0,0,0,0,1302,0,0,1302,0,0,0,0
14,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Bhogolu",2399,0,0,0,0,2399,0,0,2399,0,0,0,0
15,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Chandrannapalem",143,0,0,0,0,143,0,0,143,0,0,0,0
16,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Dharmajigudem",1291,0,0,0,0,1291,0,0,1291,0,0,0,0
17,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Kalarayanagudem",1285,0,0,0,0,1285,0,0,1285,0,0,0,0
18,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Kalyanampadu",716,16,0,0,16,700,0,0,700,0,0,0,0
19,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Konijarla",1070,0,0,0,0,1070,0,0,1070,0,0,0,0
20,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Kothapalli",1146,0,0,0,0,1146,0,0,1146,0,0,0,0
21,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Lingapalem",344,0,0,0,0,344,0,0,344,0,0,0,0
22,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Malleshwaram",377,0,0,0,0,377,0,0,377,0,0,0,0
23,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Mathamgudem",472,0,0,0,0,472,0,0,472,0,0,0,0
24,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Pochavaram",57,0,0,0,0,57,0,0,57,0,0,0,0
25,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Singagudem",1096,0,0,0,0,1096,0,0,1096,0,0,0,0
26,"05_I_40_01","WG_I_Tammileru_Chintalapudi","T.Ch.R.Palem",1226,26,0,0,26,1200,0,0,1200,0,0,0,0
27,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Mulagapalampadu",794,0,0,0,0,794,0,0,794,0,0,0,0
28,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Yadavalli",1125,200,0,0,200,925,0,0,925,0,0,0,0
29,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Bapirajugudem",1736,0,0,0,0,1736,0,0,1736,0,0,0,0
30,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Nadipalli",396,0,0,0,0,396,0,0,396,0,0,0,0
31,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Rajampalem",104,0,0,0,0,104,0,0,104,0,0,0,0
32,"05_I_37_03","WG_I_Yerrakalva 2_Devulapalli","Ch.potepalli",1124,0,0,0,0,1124,0,0,1124,0,0,0,0
33,"05_I_37_03","WG_I_Yerrakalva 2_Devulapalli","Dorasanipadu",684,0,0,0,0,684,0,0,684,0,0,0,0
34,"05_I_37_03","WG_I_Yerrakalva 2_Devulapalli","G.Kothapali",1530,0,0,0,0,1530,0,0,1530,0,0,0,0
35,"05_I_37_03","WG_I_Yerrakalva 2_Devulapalli","IS Jagannadhaprm",2207,0,0,0,0,2207,0,54,2207,0,0,0,0
36,"05_I_37_03","WG_I_Yerrakalva 2_Devulapalli","IS Raghavaprm ",1633,0,0,0,0,1633,0,759,1633,0,0,0,0
37,"05_I_37_03","WG_I_Yerrakalva 2_Devulapalli","Kodigudem",1253,0,0,0,0,1253,0,0,1253,0,0,0,0
38,"05_I_37_03","WG_I_Yerrakalva 2_Devulapalli","Gundagolanukunta",727,0,0,0,0,727,0,0,727,0,0,0,0
39,"05_I_37_03","WG_I_Yerrakalva 2_Devulapalli","Malleswaram",54,0,0,0,0,54,0,0,54,0,0,0,0
40,"05_I_37_03","WG_I_Yerrakalva 2_Devulapalli","Kommara (N)",596,0,0,0,0,596,0,0,596,0,0,0,0
41,"05_I_37_03","WG_I_Yerrakalva 2_Devulapalli","Kommara [S]",383,0,0,0,0,383,0,0,383,0,0,0,0
42,"05_I_37_03","WG_I_Yerrakalva 2_Devulapalli","Ammapalem",1047,0,0,0,0,1047,0,0,1047,0,0,0,0
43,"05_I_37_03","WG_I_Yerrakalva 2_Devulapalli","Devulapalli",853,0,0,0,0,853,0,0,853,0,0,0,0
44,"05_I_37_03","WG_I_Yerrakalva 2_Devulapalli","Lakkavaram ",1847,0,0,0,0,1847,0,0,1847,0,0,0,0
45,"05_I_37_03","WG_I_Yerrakalva 2_Devulapalli","Nimmalagudem",755,0,0,0,0,755,0,0,755,0,0,0,0
46,"05_I_37_03","WG_I_Yerrakalva 2_Devulapalli","KamavarapuKota  ",3646,0,0,0,0,3646,0,0,3646,0,0,0,0
47,"05_I_37_03","WG_I_Yerrakalva 2_Devulapalli","Kondagudem",360,0,0,0,0,360,0,0,360,0,0,0,0
