,,,,"Command Area",,,,,,,"Non-Command Area",,,,,,,"Poor GW quality area",,,,,,
,,,,"Irrigated",,,,,,,"Irrigated",,,,,,,"Irrigated",,,,,,
"Sr.no","Watershed code","GW watershed name","village name","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP"
1,"05_I_40_01","WG_I_Tammileru_Chintalapudi","Gurubhartlagudem",0,0,0,0,0,0,0,29,0,0,13,0,19,0,0,0,0,0,0,0,0
2,"05_I_40_02","WG_I_Tammileru_Chintalapudi","Lingagudem",0,0,0,0,0,0,0,14,0,0,9,0,15,0,0,0,0,0,0,0,0
3,"05_I_40_03","WG_I_Tammileru_Chintalapudi","Raghavapuram",0,0,0,0,0,0,0,63,0,0,106,0,117,0,0,0,0,0,0,0,0
4,"05_I_40_04","WG_I_Tammileru_Chintalapudi","Talarlapalli",0,0,15,0,0,0,0,15,0,0,14,0,21,0,0,,0,0,0,0,0
5,"05_I_40_05","WG_I_Tammileru_Chintalapudi","Venkatrayapuram",0,0,0,0,0,0,0,1,0,0,14,0,4,0,0,0,0,0,0,0,0
6,"05_I_40_06","WG_I_Tammileru_Chintalapudi","Endapalli",0,0,0,0,0,0,0,3,0,0,11,0,108,0,0,0,0,0,0,0,0
7,"05_I_40_07","WG_I_Tammileru_Chintalapudi","Yarrampalli",0,0,25,0,0,0,0,36,0,0,21,0,57,0,0,0,0,0,0,0,0
8,"05_I_40_08","WG_I_Tammileru_Chintalapudi","Amudalachalakka",0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0
9,"05_I_40_09","WG_I_Tammileru_Chintalapudi","Chintalapudi ",0,0,0,0,0,0,0,15,0,0,60,0,158,0,0,0,0,0,0,0,0
10,"05_I_40_10","WG_I_Tammileru_Chintalapudi","Potunuru",0,0,0,0,0,0,0,3,0,0,5,0,24,0,0,0,0,0,0,0,0
11,"05_I_40_11","WG_I_Tammileru_Chintalapudi","Mallayagudem",0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0
12,"05_I_40_12","WG_I_Tammileru_Chintalapudi","Urlagudem",0,0,0,0,0,0,0,4,0,0,9,0,17,0,0,0,0,0,0,0,0
13,"05_I_40_13","WG_I_Tammileru_Chintalapudi","Ayyaparajugudem",0,0,0,0,0,0,0,5,0,0,90,0,33,0,0,0,0,0,0,0,0
14,"05_I_40_14","WG_I_Tammileru_Chintalapudi","Bhogolu",0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0
15,"05_I_40_15","WG_I_Tammileru_Chintalapudi","Chandrannapalem",0,0,0,0,0,0,0,7,0,0,5,0,3,0,0,0,0,0,0,0,0
16,"05_I_40_16","WG_I_Tammileru_Chintalapudi","Dharmajigudem",0,0,0,0,0,0,0,1,0,0,0,0,133,0,0,0,0,0,0,0,0
17,"05_I_40_17","WG_I_Tammileru_Chintalapudi","Kalarayanagudem",0,0,0,0,0,0,0,0,0,0,106,0,37,0,0,0,0,0,0,0,0
18,"05_I_40_18","WG_I_Tammileru_Chintalapudi","Kalyanampadu",0,0,7,0,0,0,0,14,0,0,13,0,21,0,0,0,0,0,0,0,0
19,"05_I_40_19","WG_I_Tammileru_Chintalapudi","Konijarla",0,0,0,0,0,0,0,50,0,0,26,0,34,0,0,0,0,0,0,0,0
20,"05_I_40_20","WG_I_Tammileru_Chintalapudi","Kothapalli",0,0,0,0,0,0,0,32,0,0,79,0,212,0,0,0,0,0,0,0,0
21,"05_I_40_21","WG_I_Tammileru_Chintalapudi","Lingapalem",0,0,0,0,0,0,0,5,0,0,18,0,80,0,0,0,0,0,0,0,0
22,"05_I_40_22","WG_I_Tammileru_Chintalapudi","Malleshwaram",0,0,0,0,0,0,0,2,0,0,5,0,32,0,0,0,0,0,0,0,0
23,"05_I_40_23","WG_I_Tammileru_Chintalapudi","Mathamgudem",0,0,0,0,0,0,0,36,0,0,10,0,69,0,0,0,0,0,0,0,0
24,"05_I_40_24","WG_I_Tammileru_Chintalapudi","Pochavaram",0,0,0,0,0,0,0,1,0,0,6,0,9,0,0,0,0,0,0,0,0
