S.No,Watershed code,Watershed Name, Village Name,Length ,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor, No.of operating days of canal,, Recharge from canal (ha.m),,Annual Recharge
,,,,mts,mts,mts,( degrees ),mts,( m.sq mts.),( ha.m/d/m.sq.m ),Monsoon ,N-Monsoon,Monsoon ,Non-Monsoon,( ha.m )
1,05_I_40_01,WG_I_Tammileru_Chintalapudi,Gurubhartlagudem,0,0,0,0,0,0,3.4,0,0,0,0,0
2,05_I_40_02,WG_I_Tammileru_Chintalapudi,Lingagudem,0,0,0,0,0,0,3.4,0,0,0,0,0
3,05_I_40_03,WG_I_Tammileru_Chintalapudi,Raghavapuram,0,0,0,0,0,0,3.4,0,0,0,0,0
4,05_I_40_04,WG_I_Tammileru_Chintalapudi,Talarlapalli,2500,2,20,45,23.3941125497,0.0584852814,3.4,90,45,17.8964961005,8.9482480503,26.8447441508
5,05_I_40_05,WG_I_Tammileru_Chintalapudi,Venkatrayapuram,0,0,0,0,0,0,3.4,0,0,0,0,0
6,05_I_40_06,WG_I_Tammileru_Chintalapudi,Endapalli,0,0,0,0,0,0,3.4,0,0,0,0,0
7,05_I_40_07,WG_I_Tammileru_Chintalapudi,Yarrampalli,2500,2,20,45,23.3941125497,0.0584852814,3.4,90,45,0.0732275649,0.0366137825,0.1098413474
8,05_I_40_08,WG_I_Tammileru_Chintalapudi,Amudalachalakka,0,0,0,0,0,0,3.4,0,0,0,0,0
9,05_I_40_09,WG_I_Tammileru_Chintalapudi,Chintalapudi ,0,0,0,0,0,0,3.4,0,0,0,0,0
10,05_I_40_10,WG_I_Tammileru_Chintalapudi,Potunuru,0,0,0,0,0,0,3.4,0,0,0,0,0
11,05_I_40_11,WG_I_Tammileru_Chintalapudi,Mallayagudem,0,0,0,0,0,0,3.4,0,0,0,0,0
12,05_I_40_12,WG_I_Tammileru_Chintalapudi,Urlagudem,0,0,0,0,0,0,3.4,0,0,0,0,0
13,05_I_40_13,WG_I_Tammileru_Chintalapudi,Ayyaparajugudem,0,0,0,0,0,0,3.4,0,0,0,0,0
14,05_I_40_14,WG_I_Tammileru_Chintalapudi,Bhogolu,0,0,0,0,0,0,3.4,0,0,0,0,0
15,05_I_40_15,WG_I_Tammileru_Chintalapudi,Chandrannapalem,0,0,0,0,0,0,3.4,0,0,0,0,0
16,05_I_40_16,WG_I_Tammileru_Chintalapudi,Dharmajigudem,0,0,0,0,0,0,3.4,0,0,0,0,0
17,05_I_40_17,WG_I_Tammileru_Chintalapudi,Kalarayanagudem,0,0,0,0,0,0,3.4,0,0,0,0,0
18,05_I_40_18,WG_I_Tammileru_Chintalapudi,Kalyanampadu,2000,2,20,45,23.3941125497,0.0467882251,3.4,90,45,14.3171968804,7.1585984402,21.4757953206
19,05_I_40_19,WG_I_Tammileru_Chintalapudi,Konijarla,0,0,0,0,0,0,3.4,0,0,0,0,0
20,05_I_40_20,WG_I_Tammileru_Chintalapudi,Kothapalli,0,0,0,0,0,0,3.4,0,0,0,0,0
21,05_I_40_21,WG_I_Tammileru_Chintalapudi,Lingapalem,0,0,0,0,0,0,3.4,0,0,0,0,0
22,05_I_40_22,WG_I_Tammileru_Chintalapudi,Malleshwaram,0,0,0,0,0,0,3.4,0,0,0,0,0
23,05_I_40_23,WG_I_Tammileru_Chintalapudi,Mathamgudem,0,0,0,0,0,0,3.4,0,0,0,0,0
24,05_I_40_24,WG_I_Tammileru_Chintalapudi,Pochavaram,0,0,0,0,0,0,3.4,0,0,0,0,0
25,05_I_40_25,WG_I_Tammileru_Chintalapudi,Singagudem,0,0,0,0,0,0,3.4,0,0,0,0,0
