gw watershed name,microbasin name,village name,iwm village
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Gurubhartlagudem,Gurubhatlagudem
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Lingagudem,Lingagudem-1
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Raghavapuram,Raghavapuram-3
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Talarlapalli,Talarlapalle-1
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Venkatrayapuram,Venkatarayapuram
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Endapalli,Endapalle
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Yarrampalli,Errampalle
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Amudalachalakka,Amudalachalaka
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Chintalapudi ,Chintalapudi-4
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Potunuru,Pothunuru
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Mallayagudem,Mallayagudem
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Urlagudem,Urlagudem
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Ayyaparajugudem,Ayyaparajugudem
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Bhogolu,Bhogole
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Chandrannapalem,Chandrannapalem
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Dharmajigudem,Dharmajigudem-1
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Kalarayanagudem,Kalarayanagudem
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Kalyanampadu,Kalyanampadu
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Konijarla,Konijerla-1
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Kothapalli,Kothapalle-22
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Lingapalem,Lingapalem-2
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Malleshwaram,Malleswaram
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Mathamgudem,Mattamgudem
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Pochavaram,Pochavaram-4
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Singagudem,Singagudem
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,T.Ch.R.Palem,Juvvachalakarayudupalem
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Mulagapalampadu,Mulagalampadu
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Yadavalli,Yedavalli
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Bapirajugudem,Bapirajugudem
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Nadipalli,Nadupalle-1
WG_I_Tammileru_Chintalapudi,WG- TAMMILERUNORTH-01-MB,Rajampalem,Rajampalem-1
WG_I_Yerrakalva 2_Devulapalli,WG- DEVULAPALLI-03-MB,Ch.potepalli,Chelikanivanipothepalle
WG_I_Yerrakalva 2_Devulapalli,WG- DEVULAPALLI-03-MB,Dorasanipadu,Dorasanipadu
WG_I_Yerrakalva 2_Devulapalli,WG- DEVULAPALLI-03-MB,G.Kothapali,G.Kothapalle
WG_I_Yerrakalva 2_Devulapalli,WG- DEVULAPALLI-03-MB,IS Jagannadhaprm,I.S.Jagannadhapuram
WG_I_Yerrakalva 2_Devulapalli,WG- DEVULAPALLI-03-MB,IS Raghavaprm ,I.S.Raghavapuram-1
WG_I_Yerrakalva 2_Devulapalli,WG- DEVULAPALLI-03-MB,Kodigudem,Kodigudem
WG_I_Yerrakalva 2_Devulapalli,WG- DEVULAPALLI-03-MB,Gundagolanukunta,Gundugolanukunta
WG_I_Yerrakalva 2_Devulapalli,WG- DEVULAPALLI-03-MB,Malleswaram,Malleswaram-1
WG_I_Yerrakalva 2_Devulapalli,WG- DEVULAPALLI-03-MB,Kommara (N),Kommara(North)
WG_I_Yerrakalva 2_Devulapalli,WG- DEVULAPALLI-03-MB,Kommara [S],Kommara(South)
WG_I_Yerrakalva 2_Devulapalli,WG- DEVULAPALLI-03-MB,Ammapalem,Ammapalem-3
WG_I_Yerrakalva 2_Devulapalli,WG- DEVULAPALLI-03-MB,Devulapalli,Devulapalle-1
WG_I_Yerrakalva 2_Devulapalli,WG- DEVULAPALLI-03-MB,Lakkavaram ,Lakkavaram-2
WG_I_Yerrakalva 2_Devulapalli,WG- DEVULAPALLI-03-MB,Nimmalagudem,Nimmalagudem-1
