Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD
1,05_I_40_01,WG_I_Tammileru_Chintalapudi,01892600,Gurubhartlagudem,0,707.472,707.472,38910.96
2,05_I_40_01,WG_I_Tammileru_Chintalapudi,01892700,Lingagudem,0,1360.8432,1360.8432,74846.376
3,05_I_40_01,WG_I_Tammileru_Chintalapudi,0189300,Raghavapuram,0,5230.0908,5230.0908,287654.994
4,05_I_40_01,WG_I_Tammileru_Chintalapudi,01896000,Talarlapalli,0,91.5552,91.5552,5035.536
5,05_I_40_01,WG_I_Tammileru_Chintalapudi,01892900,Venkatrayapuram,0,0,0,0
6,05_I_40_01,WG_I_Tammileru_Chintalapudi,01892800,Endapalli,0,5039.6976,5039.6976,277183.368
7,05_I_40_01,WG_I_Tammileru_Chintalapudi,01896100,Yarrampalli,0,4107.4992,4107.4992,225912.456
8,05_I_40_01,WG_I_Tammileru_Chintalapudi,01893200,Amudalachalakka,0,251.7768,251.7768,13847.724
9,05_I_40_01,WG_I_Tammileru_Chintalapudi,01895400,Chintalapudi ,0,23442.2928,23442.2928,1289326.104
10,05_I_40_01,WG_I_Tammileru_Chintalapudi,01893100,Potunuru,0,1090.3392,1090.3392,59968.656
11,05_I_40_01,WG_I_Tammileru_Chintalapudi,01893300,Mallayagudem,0,980.0568,980.0568,53903.124
12,05_I_40_01,WG_I_Tammileru_Chintalapudi,01895500,Urlagudem,0,415.1196,415.1196,22831.578
13,05_I_40_01,WG_I_Tammileru_Chintalapudi,01898500,Ayyaparajugudem,0,3641.4,3641.4,200277
14,05_I_40_01,WG_I_Tammileru_Chintalapudi,01897900,Bhogolu,0,5624.4024,5624.4024,309342.132
15,05_I_40_01,WG_I_Tammileru_Chintalapudi,0189800,Chandrannapalem,0,361.0188,361.0188,19856.034
16,05_I_40_01,WG_I_Tammileru_Chintalapudi,01898400,Dharmajigudem,0,8586.4212,8586.4212,472253.166
17,05_I_40_01,WG_I_Tammileru_Chintalapudi,01898600,Kalarayanagudem,0,2419.9704,2419.9704,133098.372
18,05_I_40_01,WG_I_Tammileru_Chintalapudi,01896500,Kalyanampadu,0,406.7964,406.7964,22373.802
19,05_I_40_01,WG_I_Tammileru_Chintalapudi,01898300,Konijarla,0,1003.986,1003.986,55219.23
20,05_I_40_01,WG_I_Tammileru_Chintalapudi,01896900,Kothapalli,0,2899.5948,2899.5948,159477.714
21,05_I_40_01,WG_I_Tammileru_Chintalapudi,01896800,Lingapalem,0,3248.1288,3248.1288,178647.084
