,,7,Command area,,,,,,,,,,,,Non-Command area,,,,,,,,,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
1,WG_I_Tammileru_Chintalapudi,DW,0,,40,90,857.1428571429,,120,240,3571.4285714286,,120,240,3571.4285714286,,90,60,714.2857142857,,180,185,142.8571428571,,120,120,3857.1428571429,,40,90,,,,,3571.4285714286,,120,240
2,WG_I_Tammileru_Chintalapudi,DW+PS/DCB,7714.2857142857,,40,90,4285.7142857143,,120,240,7142.8571428572,,120,240,3571.4285714286,,90,50,714.2857142857,,180,185,714.2857142857,,120,120,7142.8571428572,,40,90,,,,,7142.8571428572,,120,240
3,WG_I_Tammileru_Chintalapudi,BWs,12571.4285714286,,40,90,5142.8571428572,,120,240,7142.8571428572,,120,240,5000,,40,90,1428.5714285714,,180,185,1428.5714285714,,120,120,14285.7142857143,,40,90,,,,,7142.8571428572,,120,240
4,WG_I_Tammileru_Chintalapudi,STW,15428.5714285714,,40,90,5142.8571428572,,120,240,7142.8571428572,,120,240,10000,,40,90,3571.4285714286,,180,185,3571.4285714286,,120,120,22000,,40,90,,,,,7142.8571428572,,120,240
5,WG_I_Tammileru_Chintalapudi,MTW,21428.5714285714,,40,90,10285.7142857143,,120,240,7142.8571428572,,120,240,15000,,40,90,3571.4285714286,,180,185,3571.4285714286,,120,120,45000,,40,90,,,,,7142.8571428572,,120,240
6,WG_I_Tammileru_Chintalapudi,Deep TW,28571.4285714286,,40,90,10285.7142857143,,120,240,14285.7142857143,,120,240,20000,,40,90,7142.8571428572,,180,185,7142.8571428572,,120,120,64285.7142857143,,40,90,,,,,14285.7142857143,,120,240
7,WG_I_Tammileru_Chintalapudi,Filter Points,14285.7142857143,,40,90,5142.8571428572,,120,240,7142.8571428572,,120,240,6000,,40,90,1428.5714285714,,180,185,1428.5714285714,,120,120,7142.8571428572,,40,90,,,,,7142.8571428572,,120,240
8,WG_I_Yerrakalva 2_Devulapalli,DW,0,,90,60,857.1428571429,,180,185,3571.4285714286,,120,120,3571.4285714286,,90,60,714.2857142857,,180,185,714.2857142857,,120,120,3857.1428571429,,40,90,,,,,3571.4285714286,,120,240
9,WG_I_Yerrakalva 2_Devulapalli,DW+PS/DCB,7714.2857142857,,90,50,4285.7142857143,,180,185,7142.8571428572,,120,120,3571.4285714286,,90,50,714.2857142857,,180,185,714.2857142857,,120,120,7142.8571428572,,40,90,,,,,7142.8571428572,,120,240
10,WG_I_Yerrakalva 2_Devulapalli,BWs,12571.4285714286,,40,60,5142.8571428572,,180,185,7142.8571428572,,120,120,5000,,40,60,1428.5714285714,,180,185,1428.5714285714,,120,120,14285.7142857143,,40,90,,,,,7142.8571428572,,120,240
11,WG_I_Yerrakalva 2_Devulapalli,STW,15428.5714285714,,40,70,5142.8571428572,,180,185,7142.8571428572,,120,120,10000,,40,70,3571.4285714286,,180,185,3571.4285714286,,120,120,22000,,40,90,,,,,7142.8571428572,,120,240
12,WG_I_Yerrakalva 2_Devulapalli,MTW,21428.5714285714,,40,90,10285.7142857143,,180,185,7142.8571428572,,120,120,15000,,40,90,3571.4285714286,,180,185,3571.4285714286,,120,120,45000,,40,90,,,,,7142.8571428572,,120,240
13,WG_I_Yerrakalva 2_Devulapalli,Deep TW,28571.4285714286,,40,70,10285.7142857143,,180,185,14285.7142857143,,120,120,20000,,40,70,7142.8571428572,,180,185,7142.8571428572,,120,120,64285.7142857143,,40,90,,,,,14285.7142857143,,120,240
14,WG_I_Yerrakalva 2_Devulapalli,Filter Points,14285.7142857143,,40,90,5142.8571428572,,180,185,7142.8571428572,,120,240,6000,,40,90,1428.5714285714,,180,185,1428.5714285714,,120,120,7142.8571428572,,40,90,,,,,7142.8571428572,,120,240
15,WG_E_Kondrukota (Polavaram),DW,3571.4285714286,,90,60,714.2857142857,,180,180,714.2857142857,,120,120,1428.5714285714,,90,60,714.2857142857,,180,185,714.2857142857,,120,120,3857.1428571429,,40,90,,,,,3571.4285714286,,120,240
16,WG_E_Kondrukota (Polavaram),DW+PS/DCB,3571.4285714286,,90,50,714.2857142857,,180,180,714.2857142857,,120,120,3571.4285714286,,90,90,714.2857142857,,180,185,714.2857142857,,120,120,7142.8571428572,,40,90,,,,,7142.8571428572,,120,240
17,WG_E_Kondrukota (Polavaram),BWs,5000,,40,60,1428.5714285714,,180,180,1428.5714285714,,120,120,5000,,40,90,1428.5714285714,,180,185,1428.5714285714,,120,120,14285.7142857143,,40,90,,,,,7142.8571428572,,120,240
