, IWM Basin Name                         , location_id 
, SKL_F_01_ICHAPURAM-MB                        ,8038
, SKL_F_02_MANDASA-MB                          ,8039
, SKL_F_03_PALASA-MB                           ,8040
, SKL_F_04_NANDIGAM-MB                         ,8041
, SKL_F_04_SANTABOMMALI-MB                     ,8042
, SKL_F_04_KOTABOMMALY-MB                      ,8043
, SKL_F_05_NARASANNAPETA-MB                    ,8044
, VZM_NAGI_KEDARIPURAM-MB                      ,8045
, SKL_F_05_BHAMINT-MB                          ,8046
, SKL_F_05_MELIAPUTTY-MB                       ,8047
, SKL_F_05_HIRAMANDALAM-MB                     ,8048
, SKL_F_05_SARUBUJJILI-MB                      ,8049
, SKL_F_05_GARA-MB                             ,8050
, SKL_F_06_SRIKAKULAM-MB                       ,8051
, VZM_NAG _JANJAVATHI-MB                       ,8052
, VZM_NAG _GUMMIDIGEDDA-MB                     ,8053
, VZM_NAG _VOTTIGEDDA-MB                       ,8054
, SKL_F_06_VEERAGHATTAM-MB                     ,8055
, VZM_NAG_SVMK _GOMUKHI-MB                     ,8056
, VZM_NAG_SVMK _BODURUGEDDA-MB                 ,8057
, VZM_NAG_SVMK _SEETHANAGARAM-MB               ,8058
, VZM_NAG_SVMK _ANTIPETA-MB                    ,8059
, VZM_NAG_VEG _PEDDAGEDDA-MB                   ,8060
, VZM_NAG_VEG _VOTTIGEDDA-MB                   ,8061
, VZM_NAG_VEG _BOBBILI-MB                      ,8062
, VZM_NAG_VEG _THERLAM-MB                      ,8063
, SKL_F_06_VANGARA-MB                          ,8064
, SKL_F_06_RAJAM-MB                            ,8065
, SKL_F_07_G.SIGADAM-MB                        ,8066
, SKL_F_08_P.B.VARAM-MB                        ,8067
, VZM_ KANDIVALASAGEDDA-MB                     ,8068
, VSP_F_10_GOSTANI_ BORRA-MB                   ,8069
, VSP_F_9_CHAMPAVATHI_GARUGUBILLI_AGENCY-MB    ,8070
, VZM_CMP _PEDDAGEDDA-MB                       ,8071
, VZM_CMP _GADIGEDDA-MB                        ,8072
, VZM_CMP _VIZIANAGARAM-MB                     ,8073
, VZM_CMP_KUMILI-MB                            ,8074
, VSP_E_27_SABARI-10_THOTAVALASA_ AGENCY-MB    ,8075
, VZM_GOST _POLIPALLI-MB                       ,8076
, VZM_CMP_EDUVAMPULAGEDDA-MB                   ,8077
, VSP_F_14_SARADA-1_ANANTAGIRI_ AGENCY-MB      ,8078
, VZM_GOST _TATIPUDI-MB                        ,8079
, VZM_GOST _GANTYADA-MB                        ,8080
, VZM_GOST _L.KOTA-MB                          ,8081
, VZM_GOST _ALAMANDA-MB                        ,8082
, VSP_F_10_GOSTANI_ PADMANABHAM-MB             ,8083
, VSP_F_11_MMD_ ANANDAPURAM-MB                 ,8084
, VZM _MEHADRIGEDDA-MB                         ,8085
, VSP_F_12_NARAVA-2  _PENDURTY-MB              ,8086
, VSP_F_12_NARAVA-1   SABBAVARAM-MB            ,8087
, VSP_F_13_AKP-1_PARAWADA-MB                   ,8088
, VSP_F_13_AKP-2_P GANTYADA-MB                 ,8089
, VSP_F_14_SARADA-2_PEDAKOTA_AGENCY-MB         ,8090
, VSP_F_14_ SARADA-3_GANGAVARAM-MB             ,8091
, VSP_F_14_ SARADA-4_DEVARAPALLI-MB            ,8092
, VSP_F_14_SARADA-10_ CHEEDIKADA-MB            ,8093
, VSP_F_14_SARADA-11_VMADUGULA-MB              ,8094
, VSP_F_14_ SARADA-12_GADIRAI-MB               ,8095
, VSP_F_14_SARADA-5_KOTAPADU-MB                ,8096
, VSP_F_14_SARADA-9_BUTCHAYYAPETA-MB           ,8097
, VSP_F_14_SARADA-8_KASIMKOTA-MB               ,8098
, VSP_F_SARADA-6_ATCHUTAPURAM-MB               ,8099
, VSP_F_14_SARADA-7_ELAMANCHILI-MB             ,8100
, VSP_F_15_VARAHA-1_ROLUGUNTA-MB               ,8101
, VSP_F_15_VARAHA-2_NARSIPATNAM-MB             ,8102
, VSP_F_15_VARAHA-SARPA_RAVIKAMATAM-MB         ,8103
, VSP_F_15_VARAHA-3_S.R.VARAM-MB               ,8104
, VSP_F_16_TANDAVA-7_RAMARAJUPALEM_ AGENCY-MB  ,8105
, VSP_F_16_TANDAVA-6_GOLUGONDA-MB              ,8106
, VSP_F_16_TANDAVA-4_K.AGRAHARAM-MB            ,8107
, VSP_F_16_ TANDAVA-3_NATAVARAM-MB             ,8108
, VSP_F_16_TANDAVA-5_GOLUGONDAPETA-MB          ,8109
, VSP_F_16_TANDAVA-1_NAKKAPALLI-MB             ,8110
, VSP_F_16_TANDAVA-2_PAYAKARAOPETA-MB          ,8111
, EG-MHG-THW-TUNI-MB                           ,8112
, EG-MHG-THE-KOTANANDURU-MB                    ,8113
, EG-MHG-PP-SANKHAVARAM-MB                     ,8114
, EG-MHG-SG-PRATHIPADU-MB                      ,8115
, EG-MHG-PD-Y RAMAVARAM-MB                     ,8116
, EG-MHG-MG-ADDATEEGALA-MB                     ,8117
, EG-MHG-MD-JADDANGI-MB                        ,8118
, EG-MHG-YLE-KIRLAMPUDI-MB                     ,8119
, EG-MHG-DG-BORNAGUDEM-MB                      ,8120
, EG-MHG-YLW-ELESWARAM-MB                      ,8121
, VSP_F_16_TANDAVA-9_MATTAMBHEMVARAM_AGENCY-MB ,8122
, VSP_F_16_TANDAVA-8_KOYYURU-MB                ,8123
, PKM_C-56-CHEERALA-MB                         ,8124
, PKM_C-56-BALLIKURVA-MB                       ,8125
, PKM_C-56-PARCHURU-MB                         ,8126
, PKM_C-56-J.PANGALURU-MB                      ,8127
, PKM_C-56-INKOLLU-MB                          ,8128
, PKM_C-56-VETAPALEM-MB                        ,8129
, PKM_C-56-KARAMCHEDU-MB                       ,8130
, PKM_C-57-KONAPALLI-MB                        ,8131
, PKM_C-57-B.PETA-MB                           ,8132
, PKM_C-57-RACHERLA-MB                         ,8133
, PKM_C-57-ARTHAVEEDU-MB                       ,8134
