IWM_Village_Name,Location_ID
(Shro) Thirumalapuram,13950
113 Thalluru,18086
14 Mile Stone,23209
155.Kammapalle,17209
184.Gollapalle,17118
190.Ramapuram,17155
197.Ramapuram,17187
29 -A. Chinta -Makulapalle,16615
48 Basivireddipalle,16881
5.Lakshmambapuram,17151
50 Basivireddipalle,16875
50 Kannikapuram,16894
52 Kannikapuram,16916
56 Kannikapuram,16927
59-Kothurupadu,19293
64-Kothurupadu,19359
75-Tyallur,17878
A. Kothapalle,19548
A. Mallavaram,19276
A. Veeravaram,19485
A. Vemavaram,20988
A.Bandaveedhi,22975
A.Channamambapuram,15040
A.Gokavaram,20405
A.Gokulapadu,11036
A.Gonehal,11712
A.I.Bheemavaram,21128
A.K. Agraharam,18765
A.K. Palem,28718
A.Konduru,17529
A.Kothakota,16718
A.Kothapalle,13216
A.Kotturu,22337
A.Ramachandrapuram,14239
A.V.Nagaram,19665
Abaka,15991
Abbanagudavalli,21798
Abbarajupalem,17843
Abbavaram (Rural),14967
Abbaya Palem,10995
Abbedoddi,12618
Abbirajukunta,11284
Abburu,17965
Abbusahebpeta,13582
Abdullapuram,11201
Abdullapuram-1,12827
Abicherla,24189
Abiri,24903
Abothulapeta,27039
Achamma Agraharam,16680
Achanta Vemavaram,21078
Achanta-1,20977
Acharlaparlapalle,15154
Achavaram,21209
Achuthapuram,24280
Adadakulapalle,15005
Adagarapalle,23488
Adakula,18708
Adalaput,22156
Adali,25873
Adapaka,27381
Adapamudi,15890
Adapur,14617
Adaram,16280
Adaripadu,26848
Adarladi,22080
Adaru,25310
Adaru-1,25898
Adaru-2,27335
Adavaram,16369
Adavaram-1,26409
Adavi Budugur,17460
Adavikolanu,20736
Adavikothuru,16771
ADAVIKOTTURU,25039
Adavimulakapalle,17464
ADAVIVARAM,28673
Adavuladeevi,28852
Addada,21581
Addakulaguda,25870
Addalamarri,14542
Addam,28806
Addampalle,20552
Addangi,25708
Addangijangidi Bhadra,24447
Addanki (North) (U),11054
Addanki (PT),10942
Addanki (South) (U),11073
Addapuseela,25149
Addarivalasa,24003
Addasaram,23961
Addateega,27738
Addateegala-1,19063
Addategela,28057
Addepalle,14862
Addepalli,21819
Addepudi,15448
Addukonda,25747
Addulu,23266
Addumanda,22802
Addumanda-1,27174
Adduripeta,26433
Adduru,28648
Adduruvalasa,25115
Adenapalle,16598
Adhvanna Punarayanakattubadi,14848
Adigoppula,17955
Adilakshmamba Puram,17161
