,,,,Irrigated with Groundwater,,,,,,,,,,,,Irrigated with Mi tanks,,,,,,,,,,,,Irrigated with surface water,,,,,,,,,,,
S.No,Watershed code,Watershed Name, Village Name,command area (ha),,,,"Non command area  (ha)
",,,,Poor GW Quality area,,,,command area,,,,"Non command area
 ",,,,Poor GW quality area,,,,command area,,,,"Non command area
 ",,,,Poor GW quality area,,,
,,,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,
,,,,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi
1,10-C-74-41,Ctr-Swarna-Poli-Poli,Anantapadmanabhapuram,0,0,0,0,1,10,77,90,,,,,0,0,0,0,0,18,0,,,,,,0,0,0,0,,,,,,,,
2,10-C-74-41,Ctr-Swarna-Poli-Poli,Appalayagunta,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,,,
3,10-C-74-41,Ctr-Swarna-Poli-Poli,Bahudur venkatapuram,0,0,0,0,1,13,26,22,,,,,0,0,0,0,0,29,0,,,,,,,0,,,,,,,,,,
4,10-C-74-41,Ctr-Swarna-Poli-Poli,Bhimavaram,0,0,0,0,8,24,510,328,,,,,0,0,0,0,0,26,0,,,,,,,0,,,,,,,,,,
5,10-C-74-41,Ctr-Swarna-Poli-Poli,Poli,0,0,0,0,9,11,467,291,,,,,0,0,0,0,0,28,11,,,,,,,0,,,,,,,,,,
6,10-C-74-41,Ctr-Swarna-Poli-Poli,Vampalle,0,0,0,0,12,17,893,571,,,,,0,0,0,0,0,31,32,,,,,,,0,,,,,,,,,,
7,10-C-74-41,Ctr-Swarna-Poli-Poli,Chemuru,0,0,0,0,34,42,683,400,,,,,0,0,0,0,18,124,174,,,,,,,0,,,,,,,,,,
8,10-C-74-41,Ctr-Swarna-Poli-Poli,Chiyyavaram,0,0,0,0,17,22,384,200,,,,,0,0,0,0,0,47,4,,,,,,,0,,,,,,,,,,
9,10-C-74-41,Ctr-Swarna-Poli-Poli,Kondachenukandriga,0,5,517,352,0,0,0,0,,,,,0,0,0,139,0,0,0,,,,,,,0,,,,,,,,,,
