Sr.no,,,Village name,T.Area (ha),Watershed command area ,,,,Watershed Non command Area,,,,Watershed poor quality Area,,,,,,,,,,,,,,,,,
,Water shed code,Watershed name,,,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Water shed code,Watershed name,DIS code,district,mandal code,mandal,janmaboomi code,village code,,,,,,
1,10-C-74-41,Ctr-Swarna-Poli-Poli,Anantapadmanabhapuram,58,0,,,0,58,0,0,58,0,,,,,,Swarnamukhi,Poli,,10-C-74-41,Ctr-Swarna-Poli-Poli,10,Chittoor,14,Sri Kalahasti,10135140350123,35,Anantapadmanabhapuram
2,10-C-74-41,Ctr-Swarna-Poli-Poli,Appalayagunta,163,0,,,0,76,87,0,163,0,,,,,,Swarnamukhi,Poli,,10-C-74-41,Ctr-Swarna-Poli-Poli,10,Chittoor,14,Sri Kalahasti,10135140490199,49,Appalayagunta
3,10-C-74-41,Ctr-Swarna-Poli-Poli,Bahudur venkatapuram,829,0,,,0,826,3,0,829,0,,,,,,Swarnamukhi,Poli,,10-C-74-41,Ctr-Swarna-Poli-Poli,10,Chittoor,14,Sri Kalahasti,10135140190114,19,Bahudur venkatapuram
4,10-C-74-41,Ctr-Swarna-Poli-Poli,Bhimavaram,337,0,,,0,337,0,105,337,0,,,,,,Swarnamukhi,Poli,,10-C-74-41,Ctr-Swarna-Poli-Poli,10,Chittoor,14,Sri Kalahasti,10135140120110,12,Bhimavaram
5,10-C-74-41,Ctr-Swarna-Poli-Poli,Poli,1272,0,,,0,1272,0,833,1272,0,,,,,,Swarnamukhi,Poli,,10-C-74-41,Ctr-Swarna-Poli-Poli,10,Chittoor,14,Sri Kalahasti,10135140110110,11,Poli
6,10-C-74-41,Ctr-Swarna-Poli-Poli,Vampalle,235,0,,,0,235,0,206,235,0,,,,,,Swarnamukhi,Poli,,10-C-74-41,Ctr-Swarna-Poli-Poli,10,Chittoor,14,Sri Kalahasti,10135140090110,,Vampalle
7,10-C-74-41,Ctr-Swarna-Poli-Poli,Chemuru,879,0,,,0,879,0,0,879,0,,,,,,Swarnamukhi,Poli,,10-C-74-41,Ctr-Swarna-Poli-Poli,10,Chittoor,15,Thottambedu,10135150040102,5,Chemuru
8,10-C-74-41,Ctr-Swarna-Poli-Poli,Chiyyavaram,648,0,,,0,648,0,0,648,0,,,,,,Swarnamukhi,Poli,,10-C-74-41,Ctr-Swarna-Poli-Poli,10,Chittoor,15,Thottambedu,10135150030102,3,Chiyyavaram
9,10-C-74-41,Ctr-Swarna-Poli-Poli,Kondachenukandriga,22,16,6,,22,0,0,0,0,0,0,,,,,Swarnamukhi,Poli,,10-C-74-41,Ctr-Swarna-Poli-Poli,10,Chittoor,15,Thottambedu,10135150060102,6,Kondachenukandriga
10,10-C-74-41,Ctr-Swarna-Poli-Poli,Dainedu,275,275,0,0,275,0,,,0,0,,,,,,Swarnamukhi,Poli,,10-C-74-41,Ctr-Swarna-Poli-Poli,10,Chittoor,15,Thottambedu,10135150100104,10,Dainedu
11,10-C-74-41,Ctr-Swarna-Poli-Poli,Pillamedu,157,118,39,0,157,0,,,0,0,,,,,,Swarnamukhi,Poli,,10-C-74-41,Ctr-Swarna-Poli-Poli,10,Chittoor,15,Thottambedu,10135150090104,9,Pillamedu
