,,,,"Command Area",,,,,,,,"Non-Command Area",,,,,,,,"Poor GW quality area",,,,,,,
,,,,"Irrigated",,,,,,,,"Irrigated",,,,,,,,"Irrigated",,,,,,,
"Sr.no","Watershed code","GW watershed name","village name","DW","DW PS","BW","STW","MTW","DTW","FP","Total","DW","DW PS","BW","STW","MTW","DTW","FP","Total","DW","DW PS","BW","STW","MTW","DTW","FP","Total"
1,"10-C-74-41","Ctr-Swarna-Poli-Poli","Anantapadmanabhapuram",0,0,0,,,,0,0,0,2,3,,,,0,5,,,,,,,,0
2,"10-C-74-41","Ctr-Swarna-Poli-Poli","Appalayagunta",0,0,0,,,,0,0,0,1,2,,,,1,4,,,,,,,,0
3,"10-C-74-41","Ctr-Swarna-Poli-Poli","Bahudur venkatapuram",0,0,0,,,,0,0,0,7,13,,,,1,21,,,,,,,,0
4,"10-C-74-41","Ctr-Swarna-Poli-Poli","Bhimavaram",0,0,0,,,,0,0,0,7,14,,,,2,23,,,,,,,,0
5,"10-C-74-41","Ctr-Swarna-Poli-Poli","Poli",0,0,0,,,,0,0,0,6,11,,,,2,19,,,,,,,,0
6,"10-C-74-41","Ctr-Swarna-Poli-Poli","Vampalle",0,0,0,,,,0,0,0,7,13,,,,1,21,,,,,,,,0
7,"10-C-74-41","Ctr-Swarna-Poli-Poli","Chemuru",0,0,0,,,,0,0,0,45,85,,,,3,133,,,,,,,,0
8,"10-C-74-41","Ctr-Swarna-Poli-Poli","Chiyyavaram",0,0,0,,,,0,0,0,66,96,,,,1,163,,,,,,,,0
9,"10-C-74-41","Ctr-Swarna-Poli-Poli","Kondachenukandriga",0,0,0,,,,0,0,0,1,2,,,,0,3,,,,,,,,0
10,"10-C-74-41","Ctr-Swarna-Poli-Poli","Dainedu",0,11,19,,,,2,32,0,0,0,,,,0,0,,,,,,,,0
11,"10-C-74-41","Ctr-Swarna-Poli-Poli","Pillamedu",0,13,26,,,,1,40,0,0,0,,,,0,0,,,,,,,,0
12,"10-C-74-41","Ctr-Swarna-Poli-Poli","Mamidigunta",0,11,19,,,,4,34,0,0,0,,,,0,0,,,,,,,,0
13,"10-C-74-41","Ctr-Swarna-Poli-Poli","Kasaram",0,37,56,,,,1,94,0,0,0,,,,0,0,,,,,,,,0
14,"10-C-74-41","Ctr-Swarna-Poli-Poli","Rambatlapalli",0,7,14,,,,1,22,0,0,0,,,,0,0,,,,,,,,0
15,"10-C-74-41","Ctr-Swarna-Poli-Poli","Gottipudi",0,9,17,,,,1,27,0,0,0,,,,0,0,,,,,,,,0
16,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Peddakanaparthi",,33,131,,,,5,169,,0,0,,,,0,0,,,,,,,,0
17,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Thottambedu",,0,0,,,,0,0,,54,3,,,,6,63,,,,,,,,0
18,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","CRN kandriga",,0,0,,,,0,0,,4,4,,,,4,12,,,,,,,,0
19,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Edulagunta",,2,5,,,,1,8,,0,0,,,,0,0,,,,,,,,0
20,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Poyya",,31,52,,,,5,88,,0,0,,,,0,0,,,,,,,,0
21,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Karlapudi",,3,4,,,,1,8,,0,0,,,,0,0,,,,,,,,0
22,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Tatiparti",,6,4,,,,5,15,,0,0,,,,0,0,,,,,,,,0
23,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Gurukulapalem",,19,38,,,,1,58,,0,0,,,,0,0,,,,,,,,0
24,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Gummadigaunta",,0,0,,,,0,0,,10,3,,,,1,14,,,,,,,,0
25,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Chinnasingamala",,6,3,,,,1,10,,0,0,,,,0,0,,,,,,,,0
26,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Pudi",,0,0,,,,0,0,,0,60,,,,35,95,,,,,,,,0
27,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","I laganuru",,11,26,,,,2,39,,0,0,,,,0,0,,,,,,,,0
28,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Konathaneri",,0,0,,,,0,0,,45,52,,,,1,98,,,,,,,,0
29,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Pennela Padu",,0,0,,,,0,0,,10,20,,,,10,40,,,,,,,,0
30,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Konnali",,12,45,,,,1,58,,0,0,,,,0,0,,,,,,,,0
31,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Peddakannali",,70,30,,,,40,140,,0,0,,,,0,0,,,,,,,,0
32,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Sambaiahpalem",,0,0,,,,0,0,,8,3,,,,1,12,,,,,,,,0
33,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Basavaiahpalem",,0,0,,,,0,0,,10,3,,,,1,14,,,,,,,,0
34,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Forest",,0,0,,,,,0,,0,0,,,,0,0,,,,,,,,0
35,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Chukkalanidigallu",,0,0,,,,0,0,,32,3,,,,1,36,,,,,,,,0
36,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Ramapuram",,0,0,,,,0,0,,32,2,,,,4,38,,,,,,,,0
37,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Sahasralingeswarapuram",,0,0,,,,0,0,,1,1,,,,0,2,,,,,,,,0
38,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Sri Kalahasthi",,0,0,,,,0,0,,42,10,,,,1,53,,,,,,,,0
39,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Vedam",,0,0,,,,0,0,,50,18,,,,2,70,,,,,,,,0
40,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Modugulapalem",,0,0,,,,0,0,,41,35,,,,1,77,,,,,,,,0
