Sr.no,,,Village name,T.Area (ha),Watershed command area ,,,,Watershed Non command Area,,,,Watershed poor quality Area,,,
,Water shed code,Watershed name,,,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total
1,02 - F - 10 - 03,VZM_GOST_GANTYADA,KOTHAVELAGADA,470,470,0,0,470,0,0,,,0,,,
2,02 - F - 10 - 03,VZM_GOST_GANTYADA,VASADI,238,238,0,0,238,0,0,,,0,,,
3,02 - F - 10 - 03,VZM_GOST_GANTYADA,BURADAPADU,214,214,0,0,214,0,0,,,0,,,
4,02 - F - 10 - 03,VZM_GOST_GANTYADA,REGUBILLI,245,245,0,0,245,0,0,,,0,,,
5,02 - F - 10 - 03,VZM_GOST_GANTYADA,PENTASRIRAMPURAM,555,555,0,0,555,0,0,,,0,,,
6,02 - F - 10 - 03,VZM_GOST_GANTYADA,POLLANKI,223,223,0,0,223,0,0,,,0,,,
7,02 - F - 10 - 03,VZM_GOST_GANTYADA,KORLAM,604,604,0,0,604,0,0,,,0,,,
8,02 - F - 10 - 03,VZM_GOST_GANTYADA,VASANTHA,652,652,0,0,652,0,0,,,0,,,
9,02 - F - 10 - 03,VZM_GOST_GANTYADA,VENNE,351.4170040486,351.4170040486,0,0,351.4170040486,0,0,,,0,,,
10,02 - F - 10 - 03,VZM_GOST_GANTYADA,SASANAPALLE,260.7287449393,260.7287449393,0,0,260.7287449393,0,0,,,0,,,
11,02 - F - 10 - 03,VZM_GOST_GANTYADA,SOMAYAJULAPALEM,68.8259109312,68.8259109312,0,0,68.8259109312,0,0,,,0,,,
12,02 - F - 10 - 03,VZM_GOST_GANTYADA,DEVUPALLI(p),1200,1057.2,142.8,238,1200,0,,,,0,,,
13,02 - F - 10 - 03,VZM_GOST_GANTYADA,KONDATHAMARAPALLI,386,386,0,0,386,0,0,,,0,,,
14,02 - F - 10 - 03,VZM_GOST_GANTYADA,PEDAMAJJIPALEM,208,208,0,0,208,0,0,,,0,,,
15,02 - F - 10 - 03,VZM_GOST_GANTYADA,YARAKANNAMDORA SR.PURAM,80,0,0,,,80,0,0,80,0,,,
16,02 - F - 10 - 03,VZM_GOST_GANTYADA,GANTYADA,862,0,0,,,862,0,0,862,0,,,
