,,,,Command Area,,Non command Area,,Poor quality area,,
,,,,Residential,,Residential,,Residential,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total
1,02 - F - 10 - 03,VZM_GOST_GANTYADA,KOTHAVELAGADA,9,1,0,0,,,10
2,02 - F - 10 - 03,VZM_GOST_GANTYADA,VASADI,16,1,0,0,,,17
3,02 - F - 10 - 03,VZM_GOST_GANTYADA,BURADAPADU,9,1,0,0,,,10
4,02 - F - 10 - 03,VZM_GOST_GANTYADA,REGUBILLI,11,1,0,0,,,12
5,02 - F - 10 - 03,VZM_GOST_GANTYADA,PENTASRIRAMPURAM,14,1,0,0,,,15
6,02 - F - 10 - 03,VZM_GOST_GANTYADA,POLLANKI,13,1,0,0,,,14
7,02 - F - 10 - 03,VZM_GOST_GANTYADA,KORLAM,22,2,0,0,,,24
8,02 - F - 10 - 03,VZM_GOST_GANTYADA,VASANTHA,21,2,0,0,,,23
9,02 - F - 10 - 03,VZM_GOST_GANTYADA,VENNE,6,1,0,0,,,7
10,02 - F - 10 - 03,VZM_GOST_GANTYADA,SASANAPALLE,7,2,0,0,,,9
11,02 - F - 10 - 03,VZM_GOST_GANTYADA,SOMAYAJULAPALEM,6,1,0,0,,,7
12,02 - F - 10 - 03,VZM_GOST_GANTYADA,DEVUPALLI(p),54,2,0,0,,,56
13,02 - F - 10 - 03,VZM_GOST_GANTYADA,KONDATHAMARAPALLI,11,1,0,0,,,12
14,02 - F - 10 - 03,VZM_GOST_GANTYADA,PEDAMAJJIPALEM,23,1,0,0,,,24
15,02 - F - 10 - 03,VZM_GOST_GANTYADA,YARAKANNAMDORA SR.PURAM,0,0,3,0,,,3
16,02 - F - 10 - 03,VZM_GOST_GANTYADA,GANTYADA,0,0,38,3,,,41
17,02 - F - 10 - 03,VZM_GOST_GANTYADA,LAKHIDAM,0,0,25,2,,,27
18,02 - F - 10 - 03,VZM_GOST_GANTYADA,CHANDRAMPETA,0,0,14,1,,,15
19,02 - F - 10 - 03,VZM_GOST_GANTYADA,CHINATAMARAPALLI,0,0,11,0,,,11
20,02 - F - 10 - 03,VZM_GOST_GANTYADA,GRAHAPATI AGRAHARAM,0,0,11,0,,,11
21,02 - F - 10 - 03,VZM_GOST_GANTYADA,MULAPADU KARRIVANIPALEM,0,0,6,0,,,6
22,02 - F - 10 - 03,VZM_GOST_GANTYADA,VEDURUVADA,0,0,18,0,,,18
23,02 - F - 10 - 03,VZM_GOST_GANTYADA,GUMADAM,0,0,18,0,,,18
24,02 - F - 10 - 03,VZM_GOST_GANTYADA,KOTHAPALEM,0,0,12,0,,,12
25,02 - F - 10 - 03,VZM_GOST_GANTYADA,MARUVADA,0,0,11,0,,,11
26,02 - F - 10 - 03,VZM_GOST_GANTYADA,MARUVADA KOTHAVALASA,0,0,8,0,,,8
27,02 - F - 10 - 03,VZM_GOST_GANTYADA,BUDATANAPALLE RAJERU,0,0,15,1,,,16
28,02 - F - 10 - 03,VZM_GOST_GANTYADA,GINJERU,0,0,11,1,,,12
29,02 - F - 10 - 03,VZM_GOST_GANTYADA,CHINAMANAPURAM,0,0,11,1,,,12
30,02 - F - 10 - 03,VZM_GOST_GANTYADA,BUDATANAPALLI,0,0,26,2,,,28
31,02 - F - 10 - 03,VZM_GOST_GANTYADA,KONDAKINDAM,0,0,9,0,,,9
32,02 - F - 10 - 03,VZM_GOST_GANTYADA,OMPALLI,0,0,10,1,,,11
33,02 - F - 10 - 03,VZM_GOST_GANTYADA,VENDRAM,0,0,11,0,,,11
34,02 - F - 10 - 03,VZM_GOST_GANTYADA,GODIYADA,0,0,19,1,,,20
35,02 - F - 10 - 03,VZM_GOST_GANTYADA,KIRTUBARTI,0,0,12,2,,,14
36,02 - F - 10 - 03,VZM_GOST_GANTYADA,PENASAM,0,0,11,1,,,12
37,02 - F - 10 - 03,VZM_GOST_GANTYADA,NEELAVATHI,0,0,21,2,,,23
38,02 - F - 10 - 03,VZM_GOST_GANTYADA,MURAPAKA,0,0,13,1,,,14
39,02 - F - 10 - 03,VZM_GOST_GANTYADA,SIRIPURAM,0,0,10,2,,,12
40,02 - F - 10 - 03,VZM_GOST_GANTYADA,RAVIVALASA,0,0,13,1,,,14
41,02 - F - 10 - 03,VZM_GOST_GANTYADA,KOTARUBILLI,0,0,7,0,,,7
42,02 - F - 10 - 03,VZM_GOST_GANTYADA,JAGGAPURAM,0,0,8,0,,,8
43,02 - F - 10 - 03,VZM_GOST_GANTYADA,NANDAM,0,0,8,0,,,8
44,02 - F - 10 - 03,VZM_GOST_GANTYADA,NARAVA,0,0,12,1,,,13
45,02 - F - 10 - 03,VZM_GOST_GANTYADA,RAMAVARAM,0,0,13,0,,,13
46,02 - F - 10 - 03,VZM_GOST_GANTYADA,KARAKAVALASA,0,0,8,0,,,8
47,02 - F - 10 - 03,VZM_GOST_GANTYADA,ATTADA,0,0,14,1,,,15
48,02 - F - 10 - 03,VZM_GOST_GANTYADA,GUNKALAM,0,0,12,0,,,12
