,,,,CA,NCA,PQA,
,,,,Industrial,Industrial,Industrial,
Sr.no,Watershed code,GW watershed name,village name,Industrial Wells,Industrial Wells,Industrial Wells,Total 
1,02 - F - 10 - 03,VZM_GOST_GANTYADA,KOTHAVELAGADA,0,0,,0
2,02 - F - 10 - 03,VZM_GOST_GANTYADA,VASADI,0,0,,0
3,02 - F - 10 - 03,VZM_GOST_GANTYADA,BURADAPADU,0,0,,0
4,02 - F - 10 - 03,VZM_GOST_GANTYADA,REGUBILLI,0,0,,0
5,02 - F - 10 - 03,VZM_GOST_GANTYADA,PENTASRIRAMPURAM,0,0,,0
6,02 - F - 10 - 03,VZM_GOST_GANTYADA,POLLANKI,0,0,,0
7,02 - F - 10 - 03,VZM_GOST_GANTYADA,KORLAM,0,0,,0
8,02 - F - 10 - 03,VZM_GOST_GANTYADA,VASANTHA,0,0,,0
9,02 - F - 10 - 03,VZM_GOST_GANTYADA,VENNE,0,0,,0
10,02 - F - 10 - 03,VZM_GOST_GANTYADA,SASANAPALLE,0,0,,0
11,02 - F - 10 - 03,VZM_GOST_GANTYADA,SOMAYAJULAPALEM,0,0,,0
12,02 - F - 10 - 03,VZM_GOST_GANTYADA,DEVUPALLI(p),0,0,,0
13,02 - F - 10 - 03,VZM_GOST_GANTYADA,KONDATHAMARAPALLI,0,0,,0
14,02 - F - 10 - 03,VZM_GOST_GANTYADA,PEDAMAJJIPALEM,0,0,,0
15,02 - F - 10 - 03,VZM_GOST_GANTYADA,YARAKANNAMDORA SR.PURAM,0,0,,0
16,02 - F - 10 - 03,VZM_GOST_GANTYADA,GANTYADA,0,0,,0
17,02 - F - 10 - 03,VZM_GOST_GANTYADA,LAKHIDAM,0,0,,0
18,02 - F - 10 - 03,VZM_GOST_GANTYADA,CHANDRAMPETA,0,0,,0
19,02 - F - 10 - 03,VZM_GOST_GANTYADA,CHINATAMARAPALLI,0,0,,0
20,02 - F - 10 - 03,VZM_GOST_GANTYADA,GRAHAPATI AGRAHARAM,0,0,,0
21,02 - F - 10 - 03,VZM_GOST_GANTYADA,MULAPADU KARRIVANIPALEM,0,0,,0
22,02 - F - 10 - 03,VZM_GOST_GANTYADA,VEDURUVADA,0,0,,0
23,02 - F - 10 - 03,VZM_GOST_GANTYADA,GUMADAM,0,0,,0
24,02 - F - 10 - 03,VZM_GOST_GANTYADA,KOTHAPALEM,0,0,,0
25,02 - F - 10 - 03,VZM_GOST_GANTYADA,MARUVADA,0,0,,0
26,02 - F - 10 - 03,VZM_GOST_GANTYADA,MARUVADA KOTHAVALASA,0,0,,0
27,02 - F - 10 - 03,VZM_GOST_GANTYADA,BUDATANAPALLE RAJERU,0,0,,0
28,02 - F - 10 - 03,VZM_GOST_GANTYADA,GINJERU,0,0,,0
29,02 - F - 10 - 03,VZM_GOST_GANTYADA,CHINAMANAPURAM,0,0,,0
30,02 - F - 10 - 03,VZM_GOST_GANTYADA,BUDATANAPALLI,0,0,,0
31,02 - F - 10 - 03,VZM_GOST_GANTYADA,KONDAKINDAM,0,0,,0
32,02 - F - 10 - 03,VZM_GOST_GANTYADA,OMPALLI,0,0,,0
33,02 - F - 10 - 03,VZM_GOST_GANTYADA,VENDRAM,0,0,,0
34,02 - F - 10 - 03,VZM_GOST_GANTYADA,GODIYADA,0,0,,0
35,02 - F - 10 - 03,VZM_GOST_GANTYADA,KIRTUBARTI,0,0,,0
36,02 - F - 10 - 03,VZM_GOST_GANTYADA,PENASAM,0,0,,0
37,02 - F - 10 - 03,VZM_GOST_GANTYADA,NEELAVATHI,0,0,,0
38,02 - F - 10 - 03,VZM_GOST_GANTYADA,MURAPAKA,0,0,,0
39,02 - F - 10 - 03,VZM_GOST_GANTYADA,SIRIPURAM,0,0,,0
40,02 - F - 10 - 03,VZM_GOST_GANTYADA,RAVIVALASA,0,0,,0
41,02 - F - 10 - 03,VZM_GOST_GANTYADA,KOTARUBILLI,0,0,,0
42,02 - F - 10 - 03,VZM_GOST_GANTYADA,JAGGAPURAM,0,0,,0
43,02 - F - 10 - 03,VZM_GOST_GANTYADA,NANDAM,0,0,,0
44,02 - F - 10 - 03,VZM_GOST_GANTYADA,NARAVA,0,0,,0
45,02 - F - 10 - 03,VZM_GOST_GANTYADA,RAMAVARAM,0,0,,0
46,02 - F - 10 - 03,VZM_GOST_GANTYADA,KARAKAVALASA,0,0,,0
