S.No,Watershed code,Watershed Name, Village Name,Length ,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor, No.of operating days of canal,, Recharge from canal (ha.m),,Annual Recharge
,,,,mts,mts,mts,( degrees ),mts,( m.sq mts.),( ha.m/d/m.sq.m ),Monsoon ,N-Monsoon,Monsoon ,Non-Monsoon,( ha.m )
1,02 - F - 10 - 03,VZM_GOST_GANTYADA,KOTHAVELAGADA,0,6.7,2.4,45,13.7702770415,0,3.5,90,90,0,0,0
2,02 - F - 10 - 03,VZM_GOST_GANTYADA,VASADI,0,5.5,3,45,12.3338095117,0,3.5,30,90,0,0,0
3,02 - F - 10 - 03,VZM_GOST_GANTYADA,BURADAPADU,0,5,3,45,11.4852813742,0,3.5,30,90,0,0,0
4,02 - F - 10 - 03,VZM_GOST_GANTYADA,REGUBILLI,0,2,5,45,8.3941125497,0,3.5,30,90,0,0,0
5,02 - F - 10 - 03,VZM_GOST_GANTYADA,PENTASRIRAMPURAM,0,2,5,45,8.3941125497,0,3.5,30,90,0,0,0
6,02 - F - 10 - 03,VZM_GOST_GANTYADA,POLLANKI,0,1,5,45,6.6970562748,0,3.5,30,90,0,0,0
7,02 - F - 10 - 03,VZM_GOST_GANTYADA,KORLAM,0,0,0,45,0,0,3.5,30,90,0,0,0
8,02 - F - 10 - 03,VZM_GOST_GANTYADA,VASANTHA,0,0,0,45,0,0,3.5,30,90,0,0,0
9,02 - F - 10 - 03,VZM_GOST_GANTYADA,VENNE,0,0,0,45,0,0,3.5,30,30,0,0,0
10,02 - F - 10 - 03,VZM_GOST_GANTYADA,SASANAPALLE,300,3,5,45,10.0911688245,0.0030273506,15,30,30,1.3623077913,1.3623077913,2.7246155826
11,02 - F - 10 - 03,VZM_GOST_GANTYADA,SOMAYAJULAPALEM,400,3,5,45,10.0911688245,0.0040364675,15,30,30,1.8164103884,1.8164103884,3.6328207768
12,02 - F - 10 - 03,VZM_GOST_GANTYADA,DEVUPALLI(p),200,3,5,45,10.0911688245,0.0020182338,15,30,30,0.9082051942,0.9082051942,1.8164103884
13,02 - F - 10 - 03,VZM_GOST_GANTYADA,KONDATHAMARAPALLI,500,3,5,45,10.0911688245,0.0050455844,15,30,30,2.2705129855,2.2705129855,4.541025971
14,02 - F - 10 - 03,VZM_GOST_GANTYADA,PEDAMAJJIPALEM,,,,,0,0,,,,0,0,0
15,02 - F - 10 - 03,VZM_GOST_GANTYADA,YARAKANNAMDORA SR.PURAM,,,,,0,0,,,,0,0,0
16,02 - F - 10 - 03,VZM_GOST_GANTYADA,GANTYADA,,,,,0,0,,,,0,0,0
17,02 - F - 10 - 03,VZM_GOST_GANTYADA,LAKHIDAM,,,,,0,0,,,,0,0,0
18,02 - F - 10 - 03,VZM_GOST_GANTYADA,CHANDRAMPETA,,,,,0,0,,,,0,0,0
19,02 - F - 10 - 03,VZM_GOST_GANTYADA,CHINATAMARAPALLI,,,,,0,0,,,,0,0,0
