GW Watershed Name,Iwm basin names,GW Village Name,iwm village names
VZM_NAG_VEG_THERLAM,VZM_NAG_VEG _THERLAM-MB,AKULAKATTA,Akulakatta
VZM_NAG_VEG_THERLAM,VZM_NAG_VEG _THERLAM-MB,ANAVARAM,Anavaram
VZM_NAG_VEG_THERLAM,VZM_NAG_VEG _THERLAM-MB,BADANGI,Badangi-1
VZM_CMP_Eduvampulagedda,VZM_CMP_EDUVAMPULAGEDDA-MB,BALABHADRA RAJAPURAM,Koduru-7
VZM_NAG_VEG_THERLAM,VZM_NAG_VEG _THERLAM-MB,BHEEMAVARAM,Bheemavaram-12
VZM_NAG_VEG_THERLAM,VZM_NAG_VEG _THERLAM-MB,BUTCHAMPETA,Butchampeta-1
VZM_CMP_Eduvampulagedda,VZM_CMP_EDUVAMPULAGEDDA-MB,CHINACHAMALAPALLE,Krishnapuram-22
VZM_NAG_VEG_THERLAM,VZM_NAG_VEG _THERLAM-MB,D.VENKAYYAPETA,D.Venkayyapeta
VZM_CMP_Eduvampulagedda,VZM_CMP_EDUVAMPULAGEDDA-MB,DASUPETA,Dasupeta
VZM_CMP_Eduvampulagedda,VZM_CMP_EDUVAMPULAGEDDA-MB,GADASAM,Gadasam
VZM_CMP_Eduvampulagedda,VZM_CMP_EDUVAMPULAGEDDA-MB,GOBHYAM,Gobhyam
VZM_NAG_VEG_THERLAM,VZM_NAG_VEG _THERLAM-MB,GOLLADI,Golladi
VZM_NAG_VEG_THERLAM,VZM_NAG_VEG _THERLAM-MB,GOPALAKRISHNA R.PURAM,Gopalakrishnarangarayapuram
VZM_NAG_VEG_THERLAM,VZM_NAG_VEG _THERLAM-MB,GUDEPUVALASA,Gudepuvalasa
VZM_NAG_VEG_THERLAM,VZM_NAG_VEG _THERLAM-MB,KAMANNAVALASA,Kamannavalasa
VZM_CMP_Eduvampulagedda,VZM_CMP_EDUVAMPULAGEDDA-MB,KANNAM,Kannam
VZM_NAG_VEG_THERLAM,VZM_NAG_VEG _THERLAM-MB,KOTIPALLE,Kotipalle-3
VZM_NAG_VEG_THERLAM,VZM_NAG_VEG _THERLAM-MB,MALLAMPETA,Mallampeta-2
VZM_NAG_VEG_THERLAM,VZM_NAG_VEG _THERLAM-MB,MUGADA,mugada
VZM_NAG_VEG_THERLAM,VZM_NAG_VEG _THERLAM-MB,P.VENKAMPETA,P.Venkampeta
VZM_NAG_VEG_THERLAM,VZM_NAG_VEG _THERLAM-MB,PALTHERU,Paltheru
