,,,,,,,, Command,,,,Non command,,,,Poor command,,,
SR.NO, GW Watershed name,Geo Specific Yield name,Specific Yield value as %,Rainfall infiltration Factor as %,Transmissivity as %,Storage Coefficient as %,Total area sq.km,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total
1,VZM_CHAMPAVATI,granite -gneisses,3,11,,,266.0096925836,23.9520647773,1.17,1.95,25.1220647773,222.2696278062,18.618,31.03,240.8876278062,0,0,0,0
2,VZM_CMP_Eduvampulagedda,granite -gneisses,3,11,,,608.7125388664,76.6206882591,18.06,30.1,94.6806882591,472.4939706073,41.53788,69.2298,514.0318506073,0,0,0,0
3,VZM_CMP_KUMILI,granite -gneisses,3,11,,,194.2901707,78.71725382,5.926,9.81,84.64325382,107.136692488,2.510224392,4.18370732,109.64691688,0,0,0,0
4,VZM_CMP_PEDDAGEDDA,granite -gneisses,3,11,,,217.7405263158,109.1223238866,7.548,12.58,116.6703238866,78.4823643725,22.5878380567,37.6463967611,101.0702024292,0,0,0,0
5,VZM_CMP_VIZIANAGARAM,Granites,3,11,,,323.2502675,101.07472912,2.05,0,103.12472912,209.021675572,11.103862808,13.97310468,220.12553838,0,0,0,0
6,VZM_GOST_ALAMANDA,granite -gneisses,3,11,,,86.2219797571,15.5060728745,0,0,15.5060728745,70.7159068826,0,0,70.7159068826,0,0,0,0
7,VZM_GOST_GANTYADA,granite -gneisses,3,11,,,288.1673279352,55.3317165992,1.428,2.38,56.7597165992,220.343611336,11.064,18.44,231.407611336,0,0,0,0
8,VZM_GOST_L.KOTA,granite -gneisses,3,11,,,350.6581404858,39.5506072874,0,0,39.5506072874,295.8061331984,15.3014,20.95,311.1075331984,0,0,0,0
9,VZM_GOST_POLIPALLI,granite -gneisses,3,11,,,82.6613834008,12.92,0.36,0,13.28,67.8913834008,1.49,0,69.3813834008,0,0,0,0
10,VZM_GOST_TATIPUDI,Granites,3,11,,,192.7012595142,74.3155595142,0.77,0,75.0855595142,91.8113666667,25.8043333333,12.5254,117.6157,0,0,0,0
11,VZM_KANDIVALASAGEDDA,granite -gneisses,3,11,,,311.8605302,68.53,0,0.7,68.53,243.3305302,0,0,243.3305302,0,0,0,0
12,VZM_MEHADRIGEDDA,granite -gneisses,3,11,,,118.45,0,0,0,0,118.45,0,14.44,118.45,0,0,0,0
13,VZM_NAG_GUMMIDIGEDDA,granite -gneisses,3,11,,,224.098368,0,0,0,0,199.9302514,24.1681166,25.753161,224.098368,0,0,0,0
14,VZM_NAG_JANJAVATHI,granite -gneisses,3,11,,,403.320772,0,0,0,0,379.0069642,24.3138078,40.523013,403.320772,0,0,0,0
15,VZM_NAG_KEDARIPURAM,granite -gneisses,3,11,,,248.6487,0,0,0,0,212.4589692,36.1897308,60.316218,248.6487,0,0,0,0
16,VZM_NAG_SVMK_ANTIPETA,granite -gneisses,3,11,,,186.51097298,130.18368278,21.09,11.83778606,151.27368278,32.1172902,3.12,5.2,35.2372902,0,0,0,0
17,VZM_NAG_SVMK_BODURUGEDDA,granite -gneisses.Alluvial,6.5,14,,,100.52,25.08,4.94,0.8,30.02,59.258,11.242,14.37,70.5,0,0,0,0
18,VZM_NAG_SVMK_GOMUKHI,Granites_Alluvial,6.5,14,,,251.07,84.58,11.69,12,96.27,114.36,40.44,76.17,154.8,0,0,0,0
19,VZM_NAG_SVMK_SEETHANAGARAM,Granites,3,11,,,318.09023322,32.598516004,2.076364356,3.46060726,34.67488036,266.57935286,16.836,23.86644556,283.41535286,0,0,0,0
20,VZM_NAG_VEG_BOBBILI,Granites,3,11,,,325.08,141.13,1.49,2.51,142.62,172.94,9.52,16.62,182.46,0,0,0,0
21,VZM_NAG_VEG_PEDDAGEDDA,granite -gneisses_alluvial,6.5,14,,,307.82,100.13,12.62,24,112.75,115.99,79.08,123.7,195.07,0,0,0,0
22,VZM_NAG_VEG_THERLAM,(granite -gneisses,3,11,,,381.9547,0,0,0,0,0,35.02,0,131.69,0,345.2067,1.728,0
23,VZM_NAG_VEG_VOTTIGEDDA,granite -gneisses_ Alluvial/valley vill material,6.5,14,,,197.4087,16.85,0,0,16.85,156.5587,24,40,180.5587,0,0,0,0
24,VZM_NAG_VOTTIGEDDA,granite -gneisses,3,11,,,420.5855,121.9103,2.064,2.5633,123.9743,125.0935,171.5223,177.334772,296.6158,0,0,0,0
