sr.no,,,village name,No. M.I.Tanks command area,,Number of M.I.Tanks [Non command area],,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,Watershed code ,GW watershed name,,Number,spread ha,Number,spread ha,Number,spread ha
1,02 - F - 10 - 03,VZM_GOST_GANTYADA,KOTHAVELAGADA,3,4,0,0,,
2,02 - F - 10 - 03,VZM_GOST_GANTYADA,VASADI,0,0,0,0,,
3,02 - F - 10 - 03,VZM_GOST_GANTYADA,BURADAPADU,0,0,0,0,,
4,02 - F - 10 - 03,VZM_GOST_GANTYADA,REGUBILLI,0,0,0,0,,
5,02 - F - 10 - 03,VZM_GOST_GANTYADA,PENTASRIRAMPURAM,3,7,0,0,,
6,02 - F - 10 - 03,VZM_GOST_GANTYADA,POLLANKI,0,0,0,0,,
7,02 - F - 10 - 03,VZM_GOST_GANTYADA,KORLAM,13,38,0,0,,
8,02 - F - 10 - 03,VZM_GOST_GANTYADA,VASANTHA,2,8,0,0,,
9,02 - F - 10 - 03,VZM_GOST_GANTYADA,VENNE,0,0,0,0,,
10,02 - F - 10 - 03,VZM_GOST_GANTYADA,SASANAPALLE,0,0,0,0,,
11,02 - F - 10 - 03,VZM_GOST_GANTYADA,SOMAYAJULAPALEM,0,0,0,0,,
12,02 - F - 10 - 03,VZM_GOST_GANTYADA,DEVUPALLI(p),0,0,0,0,,
13,02 - F - 10 - 03,VZM_GOST_GANTYADA,KONDATHAMARAPALLI,6,14,0,0,,
14,02 - F - 10 - 03,VZM_GOST_GANTYADA,PEDAMAJJIPALEM,0,0,0,0,,
15,02 - F - 10 - 03,VZM_GOST_GANTYADA,YARAKANNAMDORA SR.PURAM,0,0,0,0,,
16,02 - F - 10 - 03,VZM_GOST_GANTYADA,GANTYADA,0,0,25,36,,
17,02 - F - 10 - 03,VZM_GOST_GANTYADA,LAKHIDAM,0,0,16,36,,
18,02 - F - 10 - 03,VZM_GOST_GANTYADA,CHANDRAMPETA,0,0,8,31,,
19,02 - F - 10 - 03,VZM_GOST_GANTYADA,CHINATAMARAPALLI,0,0,0,0,,
20,02 - F - 10 - 03,VZM_GOST_GANTYADA,GRAHAPATI AGRAHARAM,0,0,0,0,,
21,02 - F - 10 - 03,VZM_GOST_GANTYADA,MULAPADU KARRIVANIPALEM,0,0,0,0,,
22,02 - F - 10 - 03,VZM_GOST_GANTYADA,VEDURUVADA,0,0,0,0,,
23,02 - F - 10 - 03,VZM_GOST_GANTYADA,GUMADAM,0,0,0,0,,
24,02 - F - 10 - 03,VZM_GOST_GANTYADA,KOTHAPALEM,0,0,0,0,,
25,02 - F - 10 - 03,VZM_GOST_GANTYADA,MARUVADA,0,0,0,0,,
26,02 - F - 10 - 03,VZM_GOST_GANTYADA,MARUVADA KOTHAVALASA,0,0,0,0,,
27,02 - F - 10 - 03,VZM_GOST_GANTYADA,BUDATANAPALLE RAJERU,0,0,16,46,,
28,02 - F - 10 - 03,VZM_GOST_GANTYADA,GINJERU,0,0,10,17,,
29,02 - F - 10 - 03,VZM_GOST_GANTYADA,CHINAMANAPURAM,0,0,8,13,,
30,02 - F - 10 - 03,VZM_GOST_GANTYADA,BUDATANAPALLI,0,0,16,46,,
31,02 - F - 10 - 03,VZM_GOST_GANTYADA,KONDAKINDAM,0,0,0,0,,
32,02 - F - 10 - 03,VZM_GOST_GANTYADA,OMPALLI,0,0,0,0,,
33,02 - F - 10 - 03,VZM_GOST_GANTYADA,VENDRAM,0,0,0,0,,
34,02 - F - 10 - 03,VZM_GOST_GANTYADA,GODIYADA,0,0,5,11,,
35,02 - F - 10 - 03,VZM_GOST_GANTYADA,KIRTUBARTI,0,0,12,26,,
36,02 - F - 10 - 03,VZM_GOST_GANTYADA,PENASAM,0,0,12,20,,
37,02 - F - 10 - 03,VZM_GOST_GANTYADA,NEELAVATHI,0,0,0,0,,
38,02 - F - 10 - 03,VZM_GOST_GANTYADA,MURAPAKA,0,0,10,18,,
39,02 - F - 10 - 03,VZM_GOST_GANTYADA,SIRIPURAM,0,0,21,43,,
40,02 - F - 10 - 03,VZM_GOST_GANTYADA,RAVIVALASA,0,0,6,10,,
41,02 - F - 10 - 03,VZM_GOST_GANTYADA,KOTARUBILLI,0,0,10,26,,
42,02 - F - 10 - 03,VZM_GOST_GANTYADA,JAGGAPURAM,0,0,0,0,,
43,02 - F - 10 - 03,VZM_GOST_GANTYADA,NANDAM,0,0,21,22,,
44,02 - F - 10 - 03,VZM_GOST_GANTYADA,NARAVA,0,0,11,18,,
45,02 - F - 10 - 03,VZM_GOST_GANTYADA,RAMAVARAM,0,0,16,30,,
46,02 - F - 10 - 03,VZM_GOST_GANTYADA,KARAKAVALASA,0,0,18,40,,
47,02 - F - 10 - 03,VZM_GOST_GANTYADA,ATTADA,0,0,2,8,,
48,02 - F - 10 - 03,VZM_GOST_GANTYADA,GUNKALAM,0,0,27,60,,
49,02 - F - 10 - 03,VZM_GOST_GANTYADA,DWARAPUDI,0,0,18,73,,
50,02 - F - 10 - 03,VZM_GOST_GANTYADA,SIRIYALLAPETA,0,0,6,26,,
51,02 - F - 10 - 03,VZM_GOST_GANTYADA,RAKODU,0,0,9,27,,
