Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD
1,02 - F - 10 - 03,VZM_GOST_GANTYADA,012,KOTHAVELAGADA,1229,,1229,67595
2,02 - F - 10 - 03,VZM_GOST_GANTYADA,016,VASADI,1338,,1338,73590
3,02 - F - 10 - 03,VZM_GOST_GANTYADA,020,BURADAPADU,824,,824,45320
4,02 - F - 10 - 03,VZM_GOST_GANTYADA,021,REGUBILLI,1200,,1200,66000
5,02 - F - 10 - 03,VZM_GOST_GANTYADA,022,PENTASRIRAMPURAM,2620,,2620,144100
6,02 - F - 10 - 03,VZM_GOST_GANTYADA,023,POLLANKI,768,,768,42240
7,02 - F - 10 - 03,VZM_GOST_GANTYADA,024,KORLAM,2726,,2726,149930
8,02 - F - 10 - 03,VZM_GOST_GANTYADA,034,VASANTHA,2397,,2397,131835
9,02 - F - 10 - 03,VZM_GOST_GANTYADA,008,VENNE,1066,,1066,58630
10,02 - F - 10 - 03,VZM_GOST_GANTYADA,009,SASANAPALLE,2058,,2058,113190
11,02 - F - 10 - 03,VZM_GOST_GANTYADA,012,SOMAYAJULAPALEM,368,,368,20240
12,02 - F - 10 - 03,VZM_GOST_GANTYADA,001,DEVUPALLI(p),4000,,4000,220000
13,02 - F - 10 - 03,VZM_GOST_GANTYADA,017,KONDATHAMARAPALLI,1711,,1711,94105
14,02 - F - 10 - 03,VZM_GOST_GANTYADA,018,PEDAMAJJIPALEM,1945,,1945,106975
15,02 - F - 10 - 03,VZM_GOST_GANTYADA,025,YARAKANNAMDORA SR.PURAM,,9,9,495
16,02 - F - 10 - 03,VZM_GOST_GANTYADA,032,GANTYADA,,3294,3294,181170
17,02 - F - 10 - 03,VZM_GOST_GANTYADA,033,LAKHIDAM,,3791,3791,208505
18,02 - F - 10 - 03,VZM_GOST_GANTYADA,035,CHANDRAMPETA,,1047,1047,57585
19,02 - F - 10 - 03,VZM_GOST_GANTYADA,007,CHINATAMARAPALLI,,1067,1067,58685
20,02 - F - 10 - 03,VZM_GOST_GANTYADA,008,GRAHAPATI AGRAHARAM,,917,917,50435
21,02 - F - 10 - 03,VZM_GOST_GANTYADA,009,MULAPADU KARRIVANIPALEM,,22,22,1210
22,02 - F - 10 - 03,VZM_GOST_GANTYADA,010,VEDURUVADA,,895,895,49225
23,02 - F - 10 - 03,VZM_GOST_GANTYADA,011,GUMADAM,,1417,1417,77935
24,02 - F - 10 - 03,VZM_GOST_GANTYADA,012,KOTHAPALEM,,1236,1236,67980
25,02 - F - 10 - 03,VZM_GOST_GANTYADA,013,MARUVADA,,711,711,39105
26,02 - F - 10 - 03,VZM_GOST_GANTYADA,014,MARUVADA KOTHAVALASA,,1845,1845,101475
27,02 - F - 10 - 03,VZM_GOST_GANTYADA,015,BUDATANAPALLE RAJERU,,2012,2012,110660
28,02 - F - 10 - 03,VZM_GOST_GANTYADA,019,GINJERU,,1571,1571,86405
29,02 - F - 10 - 03,VZM_GOST_GANTYADA,028,CHINAMANAPURAM,,783,783,43065
30,02 - F - 10 - 03,VZM_GOST_GANTYADA,029,BUDATANAPALLI,,3440,3440,189200
31,02 - F - 10 - 03,VZM_GOST_GANTYADA,026,KONDAKINDAM,,982,982,54010
32,02 - F - 10 - 03,VZM_GOST_GANTYADA,027,OMPALLI,,1667,1667,91685
33,02 - F - 10 - 03,VZM_GOST_GANTYADA,028,VENDRAM,,1032,1032,56760
34,02 - F - 10 - 03,VZM_GOST_GANTYADA,026,GODIYADA,,1451,1451,79805
35,02 - F - 10 - 03,VZM_GOST_GANTYADA,027,KIRTUBARTI,,1031,1031,56705
36,02 - F - 10 - 03,VZM_GOST_GANTYADA,030,PENASAM,,1800,1800,99000
37,02 - F - 10 - 03,VZM_GOST_GANTYADA,031,NEELAVATHI,,2007,2007,110385
38,02 - F - 10 - 03,VZM_GOST_GANTYADA,037,MURAPAKA,,857,857,47135
39,02 - F - 10 - 03,VZM_GOST_GANTYADA,038,SIRIPURAM,,1431,1431,78705
40,02 - F - 10 - 03,VZM_GOST_GANTYADA,039,RAVIVALASA,,872,872,47960
41,02 - F - 10 - 03,VZM_GOST_GANTYADA,040,KOTARUBILLI,,1250,1250,68750
42,02 - F - 10 - 03,VZM_GOST_GANTYADA,041,JAGGAPURAM,,1095,1095,60225
43,02 - F - 10 - 03,VZM_GOST_GANTYADA,042,NANDAM,,981,981,53955
44,02 - F - 10 - 03,VZM_GOST_GANTYADA,043,NARAVA,,2854,2854,156970
45,02 - F - 10 - 03,VZM_GOST_GANTYADA,044,RAMAVARAM,,2061,2061,113355
46,02 - F - 10 - 03,VZM_GOST_GANTYADA,045,KARAKAVALASA,,1413,1413,77715
47,02 - F - 10 - 03,VZM_GOST_GANTYADA,010,ATTADA,,1564,1564,86020
48,02 - F - 10 - 03,VZM_GOST_GANTYADA,001,GUNKALAM,,3759,3759,206745
49,02 - F - 10 - 03,VZM_GOST_GANTYADA,002,DWARAPUDI,,3116,3116,171380
50,02 - F - 10 - 03,VZM_GOST_GANTYADA,008,SIRIYALLAPETA,,10,10,550
51,02 - F - 10 - 03,VZM_GOST_GANTYADA,009,RAKODU,,1842,1842,101310
52,02 - F - 10 - 03,VZM_GOST_GANTYADA,010,PINAVEMALI,,1120,1120,61600
53,02 - F - 10 - 03,VZM_GOST_GANTYADA,011,KORUKONDA,,5100,5100,280500
54,02 - F - 10 - 03,VZM_GOST_GANTYADA,012,SARIKA,,4166,4166,229130
55,02 - F - 10 - 03,VZM_GOST_GANTYADA,013,JAGANNADHAPURAM,,3069,3069,168795
56,02 - F - 10 - 03,VZM_GOST_GANTYADA,014,DUPPADA,,3522,3522,193710
57,02 - F - 10 - 03,VZM_GOST_GANTYADA,015,VIZIANAGARAM BIT-II,,0,0,0
58,02 - F - 10 - 03,VZM_GOST_GANTYADA,016,VIZIANAGARAM BIT-I,,0,0,0
59,02 - F - 10 - 03,VZM_GOST_GANTYADA,017,HAJISAHEBPETA,,11,11,605
60,02 - F - 10 - 03,VZM_GOST_GANTYADA,020,VANTITADI AGRAHARAM,,0,0,0
61,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,001,GULIVINDADA AGRAHARAM,,5301,5301,291555
62,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,002,CHEEPURUPALLI,,14847,14847,816585
63,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,003,SUMITRAPURAM,,0,0,0
64,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,004,RAMALINGAPURAM,,1472,1472,80960
65,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,005,PURREYAVALASA,,1242,1242,68310
66,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,006,VISWANADHAPURAM,,627,627,34485
67,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,007,ALAJANGI,,1853,1853,101915
68,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,008,ANJANEYAPURAM,,2552,2552,140360
69,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,009,VIJAYARAMPURAM,,2619,2619,144045
70,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,010,ARIDIVALASA,,629,629,34595
71,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,011,METTAPALLI,,475,475,26125
72,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,012,KARLAM,,3474,3474,191070
73,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,013,SANKUPALEM,,4583,4583,252065
74,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,014,KARAKAM,,487,487,26785
75,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,015,PERIPI,,1148,1148,63140
76,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,016,PURUSHOTHAMA S.L.PURAM,,2385,2385,131175
77,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,017,PARLA,,734,734,40370
78,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,018,POTHAYAVALASA,,1824,1824,100320
79,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,019,ITIKARLAPALLI,,390,390,21450
80,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,020,PEDANADIPALLI,,1130,1130,62150
81,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,021,GATCHALAVALASA,,1839,1839,101145
82,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,022,PATHIKAYAVALASA,,773,773,42515
83,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,023,NIMMALAVALASA,,1730,1730,95150
84,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,024,SIVARAMPURAM,,1291,1291,71005
85,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,025,DEVARAPODILAM,,0,0,0
86,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,026,GUNIDAM,,1384,1384,76120
87,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,027,BHOOLOKAPATHIVARAKATTU,,805,805,44275
88,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,028,CHINNANADIPALLI,,1835,1835,100925
89,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,029,GOLLALAMULAGAM,,725,725,39875
90,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,030,P.K.PALAVALASA,,2089,2089,114895
91,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,031,GOLLALAPALEM,,2152,2152,118360
92,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,032,BURRAVARIGOLLALAPALEM,,1013,1013,55715
93,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,013,MANDIRAVALASA,,768,768,42240
94,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,014,KODURU,,1099,1099,60445
95,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,030,SIVARAM,,823,823,45265
96,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,034,DEVADA,,3093,3093,170115
97,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,035,DUMMEDA,,2863,2863,157465
98,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,036,KONURU,,1481,1481,81455
99,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,037,ARTHAMURU,,2490,2490,136950
100,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,038,KONDASAMBHAM,,2009,2009,110495
101,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,011,KAPUSAMBHAM,,990,990,54450
102,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,012,NAGALLAVALASA,,1947,1947,107085
103,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,023,SADANANDAPURAM,,1353,1353,74415
104,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,024,RAGOLU,,646,646,35530
105,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,025,GOLAGAM,,1491,1491,82005
106,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,026,PINATHARIMI,,1176,1176,64680
107,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,026,VALLURU,246,265,511,28105
108,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,028,GUSHINI,1876,2012,3888,213840
109,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,022,ALUGOLU,,3190,3190,175450
110,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,023,MADHUPADA,,4144,4144,227920
111,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,024,SATHIVADA,,427,427,23485
112,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,025,BOPPADAM,,3040,3040,167200
113,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,027,PEDATHARIMI,,2350,2350,129250
114,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,029,MALYADA,,532,532,29260
115,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,030,VOMMI,,1421,1421,78155
116,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,031,NANDIGAMA ALTHIPALAM,,2281,2281,125455
117,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,032,THAMMAPURAM,,303,303,16665
118,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,033,KANIMELLA,,795,795,43725
119,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,003,KAMAVARAM,1313,,1313,72215
120,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,004,ALLADAPALEM,875,,875,48125
121,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,005,KANDIVALASA,1125,,1125,61875
122,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,006,KANIMETTA,1731,,1731,95205
123,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,007,GAITULA CHODAVARAM,1600,,1600,88000
124,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,008,PORAM,464,,464,25520
125,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,014,CHODAMMA AGRAHARAM,717,,717,39435
126,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,015,KOVVADA AGRAHARAM,2313,,2313,127215
127,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,016,GUMPAM,1932,,1932,106260
128,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,017,GOVINDAPURAM,1420,,1420,78100
129,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,018,LANKALAPALLIPALEM,1591,,1591,87505
130,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,019,CHOWDUVADA,1013,,1013,55715
131,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,020,KONAYYAPALEM,326,,326,17930
132,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,021,CHINTAPALLE,539,,539,29645
133,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,022,KRISHNAPURAM,5717,,5717,314435
134,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,023,BHARANIKAM,587,,587,32285
135,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,024,ROLUCHAPPIDI,557,,557,30635
136,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,025,PATHIVADA,641,,641,35255
137,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,026,THOTTADAM,4109,,4109,225995
138,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,027,VEMPADAM,913,,913,50215
139,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,028,PALANKI,3566,,3566,196130
140,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,035,KOLLAYAVALASA,309,,309,16995
141,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,036,NARAYANAPURAM,1549,,1549,85195
142,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,006,PADAMAYAVALASA,4490,,4490,246950
