,,7,Command area,,142.8571428571,,,,,,,,,,Non-Command area,,,,,,,,,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
1,VZM_GOST_GANTYADA,DW,2857.1428571429,58.4,40,90,214.2857142857,48,120,240,3571.4285714286,0,120,240,3571.4285714286,373.6,40,90,285.7142857143,118.4,120,240,3571.4285714286,0,120,240,3857.1428571429,0,40,90,,,,,3571.4285714286,,40,90
2,VZM_GOST_GANTYADA,DW+PS/DCB,4285.7142857143,58.4,40,90,0,48,120,240,7142.8571428572,0,120,240,5000,373.6,40,90,0,118.4,120,240,7142.8571428572,0,120,240,7142.8571428572,0,40,90,,,,,7142.8571428572,,40,90
3,VZM_GOST_GANTYADA,BWs,5000,58.4,40,90,714.2857142857,48,120,240,7142.8571428572,0,120,240,5000,373.6,40,90,857.1428571429,118.4,120,240,7142.8571428572,0,120,240,14285.7142857143,0,40,90,,,,,7142.8571428572,,40,90
4,VZM_GOST_GANTYADA,STW,5714.2857142857,58.4,40,90,0,48,120,240,7142.8571428572,0,120,240,5714.2857142857,373.6,40,90,0,118.4,120,240,7142.8571428572,0,120,240,22000,0,40,90,,,,,7142.8571428572,,40,90
5,VZM_GOST_GANTYADA,MTW,0,58.4,40,90,0,48,120,240,7142.8571428572,0,120,240,0,373.6,40,90,0,118.4,120,240,7142.8571428572,0,120,240,45000,0,40,90,,,,,7142.8571428572,,40,90
6,VZM_GOST_GANTYADA,Deep TW,0,58.4,40,90,0,48,120,240,14285.7142857143,0,120,240,0,373.6,40,90,0,118.4,120,240,14285.7142857143,0,120,240,64285.7142857143,0,40,90,,,,,14285.7142857143,,40,90
7,VZM_GOST_GANTYADA,Filter Points,6428.5714285714,58.4,40,90,0,31.2,120,240,7142.8571428572,0,120,240,5714.2857142857,1035.4,40,90,0,118.4,120,240,7142.8571428572,0,120,240,7142.8571428572,0,40,90,,,,,7142.8571428572,,40,90
8,VZM_KANDIVALASAGEDDA,DW,2571.4285714286,341.8,40,90,142.8571428571,31.2,120,240,0,0,120,240,2142.8571428572,1035.4,40,90,142.8571428571,104.4,120,240,0,0,120,240,0,0,40,90,,,,,0,,40,90
9,VZM_KANDIVALASAGEDDA,DW+PS/DCB,2857.1428571429,341.8,40,90,285.7142857143,31.2,120,240,0,0,120,240,2571.4285714286,1035.4,40,90,428.5714285714,104.4,120,240,0,0,120,240,0,0,40,90,,,,,0,,40,90
10,VZM_KANDIVALASAGEDDA,BWs,4000,341.8,40,90,714.2857142857,31.2,120,240,0,0,120,240,4000,1035.4,40,90,714.2857142857,104.4,120,240,0,0,120,240,0,0,40,90,,,,,0,,40,90
11,VZM_KANDIVALASAGEDDA,STW,5714.2857142857,341.8,40,90,1428.5714285714,31.2,120,240,0,0,120,240,5428.5714285714,1035.4,40,90,0,104.4,120,240,0,0,120,240,0,0,40,90,,,,,0,,40,90
12,VZM_KANDIVALASAGEDDA,MTW,0,341.8,40,90,0,31.2,120,240,0,0,120,240,0,1035.4,40,90,0,104.4,120,240,0,0,120,240,0,0,40,90,,,,,0,,40,90
13,VZM_KANDIVALASAGEDDA,Deep TW,0,341.8,40,90,0,31.2,120,240,0,0,120,240,0,1035.4,40,90,0,104.4,120,240,0,0,120,240,0,0,40,90,,,,,0,,40,90
14,VZM_KANDIVALASAGEDDA,Filter Points,6428.5714285714,341.8,40,90,2857.1428571429,73,120,240,0,0,120,240,5714.2857142857,53,40,90,2142.8571428572,104.4,120,240,0,0,120,240,0,0,40,90,,,,,0,,40,90
15,VZM_NAG_SVMK_ANTIPETA,DW,2857.1428571429,162.2,40,90,142.8571428571,73,120,240,3571.4285714286,0,120,240,2857.1428571429,53,40,90,285.7142857143,18.2,120,240,3571.4285714286,0,120,240,3857.1428571429,0,40,90,,,,,3571.4285714286,,40,90
16,VZM_NAG_SVMK_ANTIPETA,DW+PS/DCB,3571.4285714286,162.2,40,90,571.4285714286,73,120,240,7142.8571428572,0,120,240,3571.4285714286,53,40,90,714.2857142857,18.2,120,240,7142.8571428572,0,120,240,7142.8571428572,0,40,90,,,,,7142.8571428572,,40,90
17,VZM_NAG_SVMK_ANTIPETA,BWs,5000,162.2,40,90,857.1428571429,73,120,240,7142.8571428572,0,120,240,5000,53,40,90,714.2857142857,18.2,120,240,7142.8571428572,0,120,240,14285.7142857143,0,40,90,,,,,7142.8571428572,,40,90
