S.no,GW watershed  name,IWM Micro basin,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,Dependancy factor nca,Dependancy factor ca,Normal annual rainfall mm,Normal Monsoon rainfall mm,Normal Non-monsoon rainfall mm,Annual rainfall for the year of assessment mm,Monsoon rainfall for the year of assessment mm,Non-monsoon rainfall for the year of assessment mm
1,VZM_MEHADRIGEDDA,VZM _MEHADRIGEDDA-MB,5.23,1.64,5.18,,,,,,1,,1219,702,517,1596,931.8,664.2
2,VZM_NAG_GUMMIDIGEDDA,VZM_NAG _GUMMIDIGEDDA-MB,11.43,2.12,9.96,,,,,,0.98,,1200,824,376,1335,887.2,447.8
3,VZM_NAG_JANJAVATHI,VZM_NAG _JANJAVATHI-MB,8.75,3.56,8,5,,,,,0.98,,1191,808,383,1048.6,722.4,326.2
4,VZM_NAG_KEDARIPURAM,VZM_NAGI_KEDARIPURAM-MB,7.05,3.28,5.76,,,,,,0.9,,1405.4,880.6,524.8,1623.8,956.6,667.2
5,VZM_GOST_GANTYADA,VZM_GOST _GANTYADA-MB,5.08,1.32,4.63,,2.84,1.76,3,,0.9,0.9,1374.1,668,706.1,1463.1,821.7,641.4
6,VZM_KANDIVALASAGEDDA,VZM_ KANDIVALASAGEDDA-MB,5.54,6.64,10.18,8.7,11.1,6.94,10.3,,0.9,0.9,719,442,277,1594.4,655.8,938.6
7,VZM_NAG_SVMK_ANTIPETA,VZM_NAG_SVMK _ANTIPETA-MB,4.39,1.3,4.4,,7.2,0.75,3.33,,0.9,0.9,1190,754,436,1219.2,697.4,521.8
8,VZM_NAG_SVMK_BODURUGEDDA,VZM_NAG_SVMK _BODURUGEDDA-MB,3.25,5.85,9.85,,5.31,4.08,7.19,,0.9,0.9,1112,725,387,1444.8,763.6,681.2
9,VZM_NAG_SVMK_GOMUKHI,VZM_NAG_SVMK _GOMUKHI-MB,1.8,1.35,6.19,,7.24,2.91,5.79,,0.9,0.9,1112,725,387,1361.8,805.4,556.4
10,VZM_NAG_SVMK_SEETHANAGARAM,VZM_NAG_SVMK _SEETHANAGARAM-MB,4.95,0.96,6.2,,7.2,1.3,7.2,3.08,0.9,0.9,1190,754,436,1048.6,722.4,326.2
11,VZM_NAG_VEG_BOBBILI,VZM_NAG_VEG _BOBBILI-MB,6.15,2,4.72,,3.7,1.25,5.22,,0.9,0.9,1074,686,388,1361.8,805.4,556.4
12,VZM_NAG_VEG_PEDDAGEDDA,VZM_CMP _PEDDAGEDDA-MB,4.98,0.3,3.6,,4.98,0.3,3.6,,0.9,0.9,1061,630,431,1383,678.4,704.6
13,VZM_NAG_VEG_THERLAM,VZM_NAG_VEG _THERLAM-MB,10.07,1.15,5.48,,5.11,0.95,5.95,2.02,0.9,0.9,1061,667,394,990.2,533.8,456.4
14,VZM_NAG_VEG_VOTTIGEDDA,VZM_NAG_VEG _VOTTIGEDDA-MB,6.41,4.4,6.2,,3.25,5.85,9.85,,0.9,0.9,1061,630,431,1383,678.4,704.6
15,VZM_NAG_VOTTIGEDDA,VZM_NAG _VOTTIGEDDA-MB,5.95,3.43,6.4,,3.88,2.75,4.95,3.32,0.9,0.9,981,684,297,1335,887.2,447.8
16,VZM_CMP_Eduvampulagedda,VZM_CMP_EDUVAMPULAGEDDA-MB,7.21,1.89,5.15,,8.63,0.96,4.45,1.49,0.9,0.9,1026,607,419,1385.6,904.6,481
17,VZM_CHAMPAVATI,VZM_CMP _GADIGEDDA-MB,9.63,1.58,4.53,,5.73,1.8,4.65,3.67,0.9,0.9,1133,685,448,1239.4,844.8,394.6
18,VZM_CMP_KUMILI,VZM_CMP_KUMILI-MB,7.44,2.23,3.9,,5.04,1.75,4.1,,1,1,1018,585,433,944.2,424.4,519.8
19,VZM_CMP_PEDDAGEDDA,VZM_NAG_VEG _PEDDAGEDDA-MB,3.25,5.85,9.85,,3.25,5.85,9.85,,0.9,0.9,1003,600,403,1153.8,703.2,450.6
20,VZM_CMP_VIZIANAGARAM,VZM_CMP _VIZIANAGARAM-MB,5.52,3.46,7.12,,7.77,2.09,5.68,,0.9,0.9,1139,677,462,1450,810,640
21,VZM_GOST_ALAMANDA,VZM_GOST _ALAMANDA-MB,6.56,0.66,4.79,,3.93,0.73,4.51,1.81,0.9,0.9,1219,702,517,1596,931.8,664.2
22,VZM_GOST_L.KOTA,VZM_GOST _L.KOTA-MB,3.5,1.21,2.95,,3.5,1.21,2.95,,0.9,0.9,1319,733,586,1422.4,796.6,625.8
23,VZM_GOST_POLIPALLI,VZM_GOST _POLIPALLI-MB,5.99,1.09,4.46,,9.54,3.08,6.89,,0.9,0.9,1071,651,420,1027.4,549,478.4
24,VZM_GOST_TATIPUDI,VZM_GOST _TATIPUDI-MB,3.5,1.21,2.95,,6.19,1.45,5.53,2.03,0.9,0.9,1239,703,536,1594.4,908,686.4
