S.No,Watershed code,Watershed Name, Village Name,Artificial recharge structure [comand area],,,,,,,,,,Artificial recharge structure [Non-comand area],,,,,,,,,,Artificial recharge structure [Poor-comand area],,,,,,,,,
,,,,Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ form ponds,"Storage 
ha-m",other structures,Storage [ha.m]
1,02 - F - 10 - 03,VZM_GOST_GANTYADA,DEVUPALLI(p),2,16.00,2,1.00,12,1.30,12,3.00,10,1.00,,,,,,,,,,,,,,,,,,,,
2,02 - F - 10 - 03,VZM_GOST_GANTYADA,KONDATHAMARAPALLI,,,,,,,,,,,1,10.00,1,0.50,6,0.60,3,0.30,10,1.00,1,10.00,1,0.50,6,0.60,3,0.30,10,1.00
3,02 - F - 10 - 03,VZM_GOST_GANTYADA,PEDAMAJJIPALEM,6,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,02 - F - 10 - 03,VZM_GOST_GANTYADA,YARAKANNAMDORA SR.PURAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,02 - F - 10 - 03,VZM_GOST_GANTYADA,GANTYADA,5,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,02 - F - 10 - 03,VZM_GOST_GANTYADA,LAKHIDAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,02 - F - 10 - 03,VZM_GOST_GANTYADA,CHANDRAMPETA,,,,,,,,,,,3,,,,7,,,,7,,,,,,,,,,,
8,02 - F - 10 - 03,VZM_GOST_GANTYADA,CHINATAMARAPALLI,,,,,,,,,,,,,,,9,,,,1,,,,,,,,,,,
9,02 - F - 10 - 03,VZM_GOST_GANTYADA,GRAHAPATI AGRAHARAM,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
10,02 - F - 10 - 03,VZM_GOST_GANTYADA,MULAPADU KARRIVANIPALEM,8,4.00,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,
